プリンセスワルツ
分離, 飛沫 白 Inori.wav
格闘(攻撃), 振る武器突撃 -.bmp
格闘(命中), @戦闘アニメ_格闘攻撃;格闘
格闘(命中), @戦闘アニメ_打突攻撃;打撃
格闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
木刀, 木刀
クリスの剣, 竜剣
王子の剣, 竜剣
連続斬り(準備), 竜剣
連続斬り(攻撃), 連斬撃
連続斬り(命中), 連斬撃
七央剣(準備), 同時粒子集中 白;同時粒子集中 赤;同時粒子集中 桃;同時粒子集中 青;同時粒子集中 黒;同時粒子集中 紫;同時粒子集中 黄 Charge(High).wav;光巨大剣
七央剣(攻撃), 光巨大剣突撃;同時振り下ろし
七央剣(命中), 超斬撃 Explode(Nuclear).wav
七央剣(イーリス)(準備), 粒子集中 白;粒子集中 赤;粒子集中 桃;粒子集中 青;粒子集中 黒;粒子集中 紫;粒子集中 黄 Charge(High).wav;光巨大剣
七央剣(イーリス)(攻撃), 光巨大剣突撃;振り下ろし
七央剣(イーリス)(命中), 超斬撃 Explode(Nuclear).wav
イーリスの剣, 竜剣
舞踏剣(準備), 竜剣
舞踏剣(攻撃), 竜剣突撃;連斬撃
舞踏剣(命中), 連斬撃;@戦闘アニメ_斬撃攻撃 -.bmp;クリティカル斬撃
舞踏真剣(準備), オーラ上昇 白;竜剣
舞踏真剣(攻撃), 竜剣突撃;なぎ払い
舞踏真剣(命中), 連続なぎ払い;@戦闘アニメ_振り下ろし攻撃 -.bmp;凍斬撃 Explode.wav
剛剣(準備), 竜剣
剛剣(攻撃), スーパーパンチ 橙
剛剣(命中), 大刺突 橙 Warship.wav
金剛剣(準備), オーラ上昇 橙;竜剣
金剛剣(攻撃), 竜剣突撃
金剛剣(命中), 連打 Whip.wav;@戦闘アニメ_振り下ろし攻撃 -.bmp;雷斬撃 Warship.wav
流一閃(準備), オーラ上昇 紫;竜剣
流一閃(攻撃), 竜剣突撃
流一閃(命中), @戦闘アニメ_なぎ払い攻撃 -.bmp;超斬撃
アイスストリング(準備), 粒子集中 青
アイスストリング(攻撃), 小ビーム 青 Storm.wav
アイスストリング(命中), 小ビーム 青
ウォーターウィップ(準備), ビームソード 青
ウォーターウィップ(攻撃), 振る武器突撃 -.bmp;振り上げ Swing(2).wav
ウォーターウィップ(命中), 連打 青 Whip.wav
エルディ＝アーク(準備), オーラ上昇 白;粒子集中 白 Charge(High).wav;光巨大剣 白
エルディ＝アーク(攻撃), 光巨大剣突撃 白;振り下ろし
