



ＨＯＳＨＩＧＡＭＩ
########      基本武器      ########
指輪, 打突
ブーメラン, ブーメラン
短剣, ナイフ
モーニングスター, モーニングスター
弓, 弓矢
剣, 剣
槍, スピア
斧, 片刃斧
########      スキル      ########
威嚇攻撃, 剣
防具破壊攻撃, 剣
武器破壊攻撃, 剣
色目攻撃, スピア
睡魔攻撃, スピア
筋切り攻撃, ナイフ
デコイン攻撃, 片刃斧
ＡＣＳ破壊攻撃, 片刃斧
コイン破壊攻撃, 片刃斧
毒攻撃, 打突
目くらまし攻撃, モーニングスター


汎用
########      ＜クロマブランドの武器＞      ########
七支刀, 剣
ブリューナク, スピア
アームブレイカ, ナイフ
月神ブーメラン, ブーメラン
死神の鎌, 大鎌
プロミスリング, 打突
ガードイータ, モーニングスター
ジュエルイータ, 弓矢
########      ＜精霊の武器＞      ########
アムの剣, 剣
霊槍ゼネス, スピア
カシスの念, ナイフ
カシスブーメラン, ブーメラン
サンソノバの斧, 片刃斧
エマリング, 打突
ゴートの怒り, モーニングスター
ゴートの大弓, 弓矢
########      ＜星神の武器＞      ########
星剣, 剣
星神の指輪, 打突
########      ＜炎系ＣＦ＞      ########
グルーラ(攻撃), 粒子集中 赤 相手ユニットＩＤ
グルーラ(命中), 炎
グレイス, 火炎放射
グルネド(攻撃), 拡散ビーム 赤 Breath.wav
グルネド(命中), 連続爆発 赤
グレン(攻撃), 実弾発射 Bullet\EFFECT_GroundCutter(Red)01.bmp 32 Fire.wav
グレン(命中), 炎
グレアム, ＭＡＰ炎
########      ＜水系ＣＦ＞      ########
ブリス, 氷柱
ブリスタ, つらら
ブレン, 大氷柱
ブーリア, 吹雪;つらら
ブルゼネス, ＭＡＰ氷結
########      ＜風系ＣＦ＞      ########
ゼル, 風
ゼファード(攻撃), 粒子集中 緑 相手ユニットＩＤ
ゼファード(命中), 煙 白 Storm.wav
ゼフィン, 光柱 Storm.wav
ゼノ(攻撃), 竜巻 緑
ゼノ(命中), 竜巻 緑
ゼノカシス, ＭＡＰ強風 Storm.wav
########      ＜爆発系ＣＦ＞      ########
ボンガ(攻撃), 粒子集中 黄 相手ユニットＩＤ
ボンガ(命中), 爆発 黄
ボンデス(攻撃), 粒子集中 黄 相手ユニットＩＤ
ボンデス(命中), 連続爆発 黄
ボンデオ(攻撃), 粒子集中 黄 相手ユニットＩＤ
ボンデオ(命中), 大爆発 黄
ボルンガ(攻撃), 粒子集中 黄 相手ユニットＩＤ
ボルンガ(命中), 超爆発 黄
ボンソノバ(攻撃), ＭＡＰビーム 黄;ＭＡＰ大爆発
ボンソノバ(命中), ダメージ
########      ＜地系ＣＦ＞     ########
ガイガ(攻撃), 粒子集中 橙 相手ユニットＩＤ
ガイガ(命中), 煙 橙 FightHit(1).wav
ガイズ, 石柱
ガルフォ, 落盤 橙
ガイン, 岩柱
ガルエマ, ＭＡＰ落盤 FightHit(1).wav
########      ＜雷系ＣＦ＞     ########
ライラ, 落雷 紫
ライクル, 破壊光線 Thunder.wav
ライズン, 球電
ライニード, ショックビーム 紫 Thunder.wav
ライゴート, ＭＡＰ落雷
########      ＜ＳＴ異常系ＣＦ＞     ########
ポズン, 泡 紫
スピカ(攻撃), 発光 黄 相手ユニットＩＤ EvilEye.wav
スピカ(命中), ダメージ
デピン, 拡散ビーム 青 EvilEye.wav
テラー, 煙噴射 黒
ミンタル, 音波
コンティ(攻撃), 光子魚雷 黄 EvilEye.wav
コンティ(命中), ダメージ
デコイン(攻撃), 粒子集中 白 相手ユニットＩＤ
デコイン(命中), 魔法陣 白 相手ユニットＩＤ
デスペイン, ＭＡＰブラックホール 黒
########      ＜装備破壊系ＣＦ＞     ########
オラバン(攻撃), 粒子集中 橙 相手ユニットＩＤ
オラバン(命中), 爆発
アバン(攻撃), 粒子集中 赤 相手ユニットＩＤ
アバン(命中), 爆発
エルバン(攻撃), 回転発射 Hit\EFFECT_SwingHit01.bmp 48
エルバン(命中), 振り下ろし Saber.wav
ディバン(攻撃), 粒子集中 赤 相手ユニットＩＤ
ディバン(命中), 魔法陣 赤 相手ユニットＩＤ
バンフレア, ＭＡＰオーラ 黒
########      ＜回復系ＣＦ＞     ########
キュア, 回復魔法
キュアレ, 回復魔法
キュアズ, 回復魔法
リキュア, 回復魔法
########      ＜復活系ＣＦ＞     ########
リバイン, 光柱 相手ユニットＩＤ
リバイア, 光柱 相手ユニットＩＤ
リバイブ, 光柱 相手ユニットＩＤ
########      ＜ＳＴ回復系ＣＦ＞     ########
リピュア, 回復魔法泡
リライト, 回復魔法泡
リムーブ, 回復魔法泡
リラクス, 回復魔法泡
リレイク, 回復魔法泡
リテイン, 回復魔法泡
リコイン, 回復魔法泡
スターラ, 回復魔法泡
########      ＜行動補助系ＣＦ＞     ########
ガーシュ, エネルギーフィールド展開 相手ユニットＩＤ
レジス, エネルギーフィールド展開 相手ユニットＩＤ



