
セブン＝フォートレス
## 武器 ##
ブロードソード, 剣
ヴァスクラッフ, 剣
ヴァスクラッフ(命中), 斬撃;吸収 緑 BeamShot.wav
リブレイドストライカー, ビームナイフ 白
ニムリング, サーベル
ニムリング(命中), 凍斬撃
ニムリング(クリティカル), 凍結;行動不能
ゾルリング, 黒剣
ゾルリング(命中), 黒斬撃
ディネガー, 杖
カニアーマーの足(攻撃), 斬撃乱舞
カニアーマーの足(命中), 乱打 Punch.wav
シーサーペントウィップ(準備), 鞭
シーサーペントウィップ(攻撃), 斬撃
シーサーペントウィップ(命中), 打撃 Whip.wav;放電
ブレード, サーベル
マンゴーシュ, ナイフ
スコップ, スコップ
シャドウブレード改(準備), エナジーブレード 黒
シャドウブレード改, 黒斬撃
ダガーオブフレイム, ナイフ
スタッフ, 杖
ウッドスタッフ, 杖
フランベルジュ, フランベルジュ
チェーンウィップ(準備), チェーン
チェーンウィップ(攻撃), 斬撃
チェーンウィップ(命中), 打撃 Whip.wav
ラプンツェルの弓(準備), 弓
ラプンツェルの弓(攻撃), 大ビーム 青 LaserGun.wav
ラプンツェルの弓(命中), 大ビーム 青 LaserGun.wav;連続爆発 3;大爆発
サシャの魔剣, 大剣
スヴェルヴェン＝クレア, ビームサーベル 黄
星の錫杖, 杖
## 剣技・闘気法・その他物理 ##
招力放翔(準備), 粒子集中 緑 Charge.wav
招力放翔(攻撃), スーパータックル 緑 Jet.wav
招力放翔(命中), スーパータックル乱舞 緑 Slash.wav
操球(攻撃), ４ＷＡＹ射出 Beam.wav
操球(命中), 小ビーム 白 ランダム方向;小ビーム 白 ランダム方向;_
小ビーム 白 ランダム方向;小ビーム 白 ランダム方向
急所突き(攻撃), 刺突
急所突き(命中), 刺突
渾身の一撃(攻撃), 振る武器突撃 -.bmp
渾身の一撃(命中), @戦闘アニメ_振り下ろし攻撃;唐竹割り
二刀流(攻撃), 斬撃 Swing.wav 二刀流
二刀流(命中), 斬撃 二刀流
居合い(攻撃), なぎ払い
居合い(命中), 刺突 Slash.wav
水竜闘気斬(準備), 音再生 Reload(4).wav;2;粒子集中 青
水竜闘気斬(攻撃), 振り下ろし;実弾発射 Anime\Bullet\EFFECT_GroundCutter(Blue)01.bmp 残像 Whiz.wav
水竜闘気斬(命中), クリティカル斬撃;2;大刺突 Slash.wav
神雷招(準備), 音再生 Reload(4).wav;2;粒子集中 青 Charge.wav
神雷招(攻撃), 振り下ろし;音再生 Thunder.wav;1;White.bmp 480 480;Clear
神雷招(命中), @戦闘アニメ_落雷攻撃 相手ユニットＩＤ
降竜激震斬(準備), 粒子集中 青 Charge.wav;2;粒子集中 青 Charge.wav;粒子集中 青 Charge.wav
降竜激震斬(攻撃), @戦闘アニメ_光噴出準備 青;2;斬撃;大ビーム 青 Explode(Far).wav
降竜激震斬(命中), 大ビーム 青 Explode(Far).wav;超斬撃 -.wav
デザイア(準備), 粒子集中 青
デザイア(攻撃), 斬撃
デザイア(命中), ビームサーベル 青 Slash.wav
魔闘剣(準備), 粒子集中 緑 Charge.wav
魔闘剣(攻撃), 斬撃
魔闘剣(命中), ビームサーベル 緑 Slash(2).wav
紫電(攻撃), 振る武器突撃 -.wav
紫電(命中), @戦闘アニメ_刺突攻撃;刺突 Slash.wav
闇影四重陣(準備), 粒子集中 黒
闇影四重陣(攻撃), @戦闘アニメ_光噴出準備 黒;@戦闘アニメ_転移 Whiz.wav
闇影四重陣(命中), スーパータックル 黒;ビームサーベル 黒;黒斬撃;黒斬撃
黒竜震壊斬(準備), 粒子集中 黒
黒竜震壊斬(攻撃), 黒斬撃
黒竜震壊斬(命中), ビームサーベル 黒
闇薙竜尾斬(準備), 粒子集中 黒
闇薙竜尾斬(攻撃), 斬撃;実弾発射 Anime\Bullet\EFFECT_GroundCutter(Blue)01.bmp 残像 BeamSaber.wav
闇薙竜尾斬(命中), ハイパービームサーベル 黒;黒斬撃 -.wav
爆砕剣(攻撃), 振る武器突撃 -.bmp
爆砕剣(命中), @戦闘アニメ_刺突攻撃;ダメージ Explode.wav
昇竜挙, アッパー
ベガ夫流格闘術(攻撃), 振る武器突撃 -.bmp
ベガ夫流格闘術(命中), @戦闘アニメ_打突攻撃;打撃 FightHit(1).wav
ベガ夫流格闘術(命中), @戦闘アニメ_連打攻撃;連打 FightHit(1).wav
ベガ夫流格闘術(命中), @戦闘アニメ_アッパー攻撃;アッパー FightHit(1).wav
ベガ帽子(攻撃), Swing.wav
ベガ帽子(命中), 斬撃
目から怪光線, 怪光線
ダブル○ープレス(攻撃), 浴びせ蹴り Whiz.wav
ダブル○ープレス(命中), 打撃 Punch.wav;振り下ろし -.wav;強打 Punch.wav
ベガミサイル, ミサイル
サイコ○ラッシャー, スーパータックル 黒
隙間撃ち(準備), Hittyuu.wav
隙間撃ち(攻撃), 振る武器突撃 -.bmp
隙間撃ち(命中), 刺突;ダメージ -.wav
闘気一点集中(準備), 粒子集中 赤 Charge.wav
闘気一点集中(攻撃), スーパータックル 赤
闘気一点集中(命中), スーパータックル 赤;粒子集中 赤;大爆発
チャージ(攻撃), 振る武器突撃 -.bmp
チャージ(命中), 強打 Crash.wav
粉砕(準備), 粒子集中 白
粉砕(攻撃), スーパータックル 白
粉砕(命中), スーパータックル 白;超斬撃
パセリ, 連斬撃
ブラックボックス(準備), 粒子集中 白;大剣
ブラックボックス(攻撃), 振る武器突撃 -.bmp
ブラックボックス(命中), @戦闘アニメ_斬撃攻撃;大斬撃;@戦闘アニメ_振り下ろし攻撃;唐竹割り
魔剣融合(準備), ;_
大剣;2;振る武器転送 Anime\Weapon\EFFECT_Flamberge01.bmp;2;粒子集中 赤;発光 赤;2;巨大剣
魔剣融合(攻撃), 振り下ろし
魔剣融合(命中), ハイパービームサーベル 白;超斬撃 Explode(Nuclear).wav;1;White.bmp 480 480;Clear
力の紋章(準備), 粒子集中 白;光噴出 黒
力の紋章(攻撃), 地表衝撃波 黒
力の紋章(命中), 連続爆発 3;大爆発
白銀の光(準備), 魔法集中 白;光噴出 白 -.wav;ハイパービームサーベル 白
白銀の光(攻撃), 斬撃
白銀の光(命中), ハイパービームサーベル 白;超斬撃 -.wav;1;White.bmp 480 480;Clear
命の引き替え(攻撃), 粒子集中 桃
命の引き替え(命中), 飛沫 桃 Inori.wav
プレシャス・ディープ(攻撃), 魔法放射 青 大 AntiShipMissile.wav
プレシャス・ディープ(命中), 魔法集中 青 大 MicroMissile.wav;飛沫 青 -.wav
サウザンド・ブレード(準備), Reload(4).wav
サウザンド・ブレード(攻撃), 乱突
サウザンド・ブレード(命中), 乱突 Slash.wav
サウザンド・ウェイブ(準備), 弓
サウザンド・ウェイブ(攻撃), ＭＡＰビーム 青
サウザンド・ウェイブ(命中), 拡散ビーム 青
