
リグル＝ナイトバグ
キック(命中),                             スーパーキック

八坂神奈子
諏訪大戦(攻撃),                           ホーミングレーザー 緑 AntiAirMissile.wav チャージなし;_
                                          チャクラム partner(1);チャクラム partner(1);チャクラム partner(1)
諏訪大戦(命中),                           乱突;乱突

洩矢諏訪子
諏訪大戦(攻撃),                           ホーミングレーザー 緑 AntiAirMissile.wav partner(1) チャージなし;_
                                          チャクラム;チャクラム;チャクラム
諏訪大戦(命中),                           乱突;乱突

東方プロジェクト
#
### 博麗霊夢 ###
#
攻撃無効化(二重結界),                     @二重結界 Interference.wav
分身(夢想天生),                           緊急テレポート Wind.wav 夢想天生
封魔陣(攻撃),                             @封魔陣 Interference.wav
封魔陣(命中),                             -
ホーミングアミュレット(攻撃),             同時ホーミング弾 Anime\EFFECT_EPS_HomingAmulet.bmp 16 個数=2 角度範囲=90 速 Whiz.wav
ホーミングアミュレット(命中),             点打 赤 Explode.wav
パスウェイジョンニードル(攻撃),           実弾発射 Anime\EFFECT_EPS_Hari.bmp 32 Bow.wav;_
                                          実弾発射 Anime\EFFECT_EPS_Hari.bmp 32 Bow.wav
パスウェイジョンニードル(命中),           刺突
妖怪バスター(攻撃),                       大拡散ビーム 桃 Whiz.wav チャージなし
妖怪バスター(命中),                       拡散ビーム 桃
陰陽印(攻撃),                             回転発射 Anime\EFFECT_EPS_Onmyoudama48.bmp 48 Cannon.wav 発光 遅;_
                                          回転発射 Anime\EFFECT_EPS_Onmyoudama48.bmp 48 Cannon.wav 発光 遅
陰陽印(命中),                             強打;小爆発
夢想封印(命中),                           @夢想封印;発光 白 Inori.wav;発光 白 Inori.wav
退魔符乱舞(攻撃),                         発射連続描画 エフェクト画像=拡散ビーム命中連続描画(青) 64 5 3 MultipleRocketLauncher(Light).wav
退魔符乱舞(命中),                         拡散ビーム 青
#
### 霧雨魔理沙 ###
#
スーパーショートウェーブ(攻撃),           実弾発射 武器画像=風刃(橙) 24 Whiz.wav 残像;_
                                          実弾発射 武器画像=風刃(橙) 24 Whiz.wav 残像
スーパーショートウェーブ(命中),           点打 赤 Explode.wav
マジックミサイル(攻撃),                   火炎弾 緑;火炎弾 緑 MultipleRocketLauncher.wav
マジックミサイル(命中),                   連続爆発
イリュージョンレーザー(攻撃),             @イリュージョンレーザー
イリュージョンレーザー(命中),             中ビーム 白
コールドインフェルノ(攻撃),               火炎放射 青 Breath.wav
コールドインフェルノ(命中),               火炎放射 青 Fire.wav
スターダストレヴァリエ(攻撃),             @スターダストレヴァリエ
スターダストレヴァリエ(命中),             飛沫;飛沫;飛沫
Ｎ・Ｄ・レーザー(解説),                   $(ユニット)はノンディレクショナルレーザーの呪文を唱えた。
Ｎ・Ｄ・レーザー(攻撃),                   @ノンディレクショナルレーザー 50 RGB(255,255,0)
Ｎ・Ｄ・レーザー(命中),                   中ビーム 黄
マスタースパーク(攻撃),                   @M拡扇マスタースパーク 10
マスタースパーク(命中),                   超爆発
ブレイジングスター(攻撃),                 光噴出 黄 EvilEye.wav 対象ユニットＩＤ;急降下
ブレイジングスター(命中),                 @ブレイジングスター Breath.wav;@東方ホワイトイン 50 Explode(Nuclear).wav;透明化 対象ユニットＩＤ 解除
ブレイジングスター(回避),                 @ブレイジングスター(ミス) Breath.wav
#
### ルーミア
#
レーザー,                                 小ビーム 白
ムーンライトレイ(攻撃),                   ２連小ビーム 白
ムーンライトレイ(命中),                   ２連小ビーム 白
ナイトバード(攻撃),                       Whiz.wav;1;Whiz.wav;1;粒子噴射 緑 Whiz.wav
ナイトバード(命中),                       光球 緑 Glass.wav
ディマーケイション(攻撃),                 重力弾
ディマーケイション(命中),                 重力弾;光球 黒 Glass.wav
ダークサイドオブザムーン(攻撃),           オーラ 黄;８ＷＡＹ射出
ダークサイドオブザムーン(命中),           飛沫 赤 Glass.wav
ミッドナイトバード(攻撃),                 ホーミングレーザー 緑 Whiz.wav
ミッドナイトバード(命中),                 ホーミングレーザー 緑 Whiz.wav
#
### 大妖精
#
全方位弾(攻撃),                           ８ＷＡＹ射出 Cannon.wav;８ＷＡＹ射出 Cannon.wav
全方位弾(命中),                           拡散ビーム 青 Beamvalcan.wav
誘導氷弾(攻撃),                           ホーミングレーザー 白 Beamvalcan.wav
誘導氷弾(命中),                           ホーミングレーザー 白 Beamvalcan.wav
#
### チルノ
#
阻止(パーフェクトフリーズ),               回復魔法 Ice.wav
パーフェクトフリーズ(武装)(攻撃),         光球 黄 Whiz.wav;光球 緑 Whiz.wav;光球 青 Whiz.wav;センタリング 相手ユニットＩＤ Glass.wav 5
パーフェクトフリーズ(武装)(命中),         煙 白 -.wav;@パーフェクトフリーズ
アイシクルフォール(攻撃),                 ８ＷＡＹ射出 Whiz.wav
アイシクルフォール(命中),                 つらら;つらら
フロストコラムス(攻撃),                   小ビーム 青 Beamvalcan.wav;ベアリング GunPod.wav
フロストコラムス(命中),                   小ビーム 青 Beamvalcan.wav
フロストコラムス(命中),                   ベアリング GunPod.wav
ヘイルストーム(攻撃),                     ベアリング Storm.wav
ヘイルストーム(命中),                     ベアリング Storm.wav
