ロマサガ３
なぎ払い(命中), Saber.wav
かすみ二段, 1;Swing.wav;2;Swing.wav
かすみ二段(命中), 4;Swing.wav;3;Saber.wav
龍尾返し, 2;Swing.wav;2;Swing.wav
龍尾返し(命中), 2;Slash.wav;2;Slash.wav
黄龍剣, 4;Whiz.wav;3;Charge.wav
黄龍剣(命中), 1;Slash.wav;4;Explode(Far).wav
十文字斬り, 2;Swing.wav;2;Swing.wav
十文字斬り(命中), 2;Slash.wav;2;Slash.wav
分身剣(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
亜空間斬り, Charge.wav
亜空間斬り(命中), -.wav
バックスタッブ, -.wav
五月雨斬り(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
スターバースト, Charge.wav
デミルーンエコー, 1;Swing.wav;2;Storm.wav
ムーランルージュ(命中), Bubble.wav
乱れ雪月花(命中), 4;Flair.wav;6;Saber.wav;5;Glass.wav
地走り, MultipleRocketLauncher(Light).wav
スマッシュ(命中), Shock(Low).wav
ブルクラッシュ(命中), Explode(Small).wav
霧氷剣, Wind.wav
トマホーク, Swing.wav
トマホーク(命中), Stab.wav
メガホーク, 1;Swing.wav;1;Swing.wav;1;Swing.wav
メガホーク(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
ヨーヨー, Swing.wav
ヨーヨー(命中), 2;Slash.wav;2;Swing.wav;2;Slash.wav;2;Swing.wav;2;Slash.wav;2;Swing.wav;2;Slash.wav
スカイドライブ, 4;Whiz.wav;2;Swing.wav
スカイドライブ(命中), Slash.wav
マキ割ダイナミック, Whiz.wav
マキ割ダイナミック(命中), Warship.wav
次元断, Charge.wav
ジンギスカン(命中), Combo.wav
ハイパーハンマー(命中), Shock(low).wav
デッドリースピン(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
ファイナルストライク, 2;Glass.wav;4;Charge(Long).wav
かめごうら割り(命中), Clash.wav
大震撃, GunPod.wav
削岩撃(命中), Punch(4).wav
グランドスラム, MicroMissile.wav
スネークショット(命中), AntiAirMissile.wav
ファイナルレター(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
アクセルスナイパー(準備), Flair.wav
アクセルスナイパー(命中), Stab.wav
サザンクロス(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
フェイント, Swing.wav
反射(マタドール), 1;Cannon.wav;2;Stab.wav
ライトニングピアス(命中), Thunder.wav
スクリュードライバー(命中), Dril.wav
蛇剣(命中), AntiAirMissile.wav
足払い, Swing.wav
足払い(命中), Breakoff.wav
大車輪, Storm.wav
二段突き, 2;Swing.wav;2;Swing.wav
二段突き(命中), 2;Slash.wav;2;Slash.wav
ミヅチ(命中), AntiAirMissile.wav
エイミング(準備), Flair.wav
無双三段(命中), 2;Punch.wav;2;Slash.wav;2;Swing.wav;4;Bomb.wav;3;Shock(Low).wav
石突き(命中), Combo.wav
風車(命中), Drill.wav
双龍破, 1;AntiAirMissile.wav;1;AntiAirMissile.wav
流星衝, Beam.wav
