グランディア
スパークボルト, BeamCoat.wav
スパークボルト(命中), Thunder.wav
サンダースプリット, BeamCoat.wav
サンダースプリット(命中), Thunder.wav
天魔竜陣剣, Explode(Nuclear).wav
真っ向唐竹割り(命中), Crash.wav
回転斬り, 1;Swing.wav;1;Swing.wav;Swing.wav
回転斬り(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
旋風斬, Storm.wav
旋風斬(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
大噴火斬り(準備), Fire.wav
大噴火斬り(命中), Explode.wav
ソニックセイバー, Whiz.wav
ソニックセイバー(命中), 1;Saber.wav;Saber.wav
スマッシュ(命中), Slash.wav
ショックウエーブ, Whiz.wav
ショックウエーブ(命中), 2;Bazooka.wav;Explode.wav
ローゼンスラッシュ(命中), MultipleRocketLauncher(Light).wav
ナイトメアボール(クリティカル), Bubble.wav
メイス(命中), Punch.wav
ブラスターボム(命中), Bazooka.wav
フィストバースト(命中), Breath.wav
タイタンナックル(命中), Explode.wav
エクスプロージョン(命中), Explode(Nuclear).wav
影縛り(クリティカル), BreakOff.wav
マルチプルナイフ(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
ナイフ投げ, 1;Bow.wav;1;Bow.wav;Bow.wav
ナイフ投げ(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
天空剣, 1;Swing.wav;1;Swing.wav;Swing.wav
天空剣(命中), Crash.wav
ディスカッター, Whiz.wav
ディスカッター(命中), 1;Slash.wav;Slash.wav
幻影剣(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
兜割り(命中), Crash.wav
螺旋撃, Storm.wav
螺旋撃(命中), Combo.wav
金剛撃, Splash.wav
金剛撃(命中), Explode.wav
大回転投げ(命中), 5;Slash.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;5;Whiz.wav;Shock(Low).wav
回転あたっく, 1;Swing.wav;1;Swing.wav;Swing.wav
回転あたっく(命中), Combo.wav
凍える乱射, 1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
凍える乱射(命中), Glass.wav
すーぱー氷結砕き, 1;Swing.wav;1;Swing.wav;Swing.wav
すーぱー氷結砕き(命中), Glass.wav
鬼蜘蛛(クリティカル), BreakOff.wav
ストライクエッジ(命中), Stab.wav
流星剣, MultipleRocketLauncher.wav
流星剣(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
閃空剣, 2;Swing.wav;2;Swing.wav;Swing.wav
閃空剣(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
幻武昇竜斬(命中), 2;Slash.wav;2;Slash.wav;Crash.wav
ソニックウェーブ, Whiz.wav
ソニックウェーブ(命中), 1;Whip.wav;Whip.wav
魔神剣(準備), Charge.wav
魔神剣, Explode.wav
メテオプリッツ, Missile.wav
メテオプリッツ(命中), Explode.wav
デズン, Whiz.wav
デズン(命中), Explode.wav
真・魔神剣(準備), Charge.wav
真・魔神剣, Explode(Nuclear).wav
瞑竜天翔牙(命中), Breath.wav

