吸血鬼
拳,打突
ラッシュ,連打
猛ラッシュ,乱打
吸血,噛み付き
爪,爪撃
ＰＢ[ShotMode],刺突
ＰＢ[BurstMode](攻撃),刺突
ＰＢ[BurstMode](命中),刺突;Ｂｕｒｓｔ Ｍｏｄｅ;爆発
ＰＢ[ElectricMode](攻撃),刺突
ＰＢ[ElectricMode](命中),刺突;Ｓｅｔ ｕｐ……Ｒｅａｄｙ・Ｃｈａｒｇｅ……;Ｅｌｅｃｔｒｉｃ Ｍｏｄｅ;大放電
格闘,格闘
硫酸,ビン
牙,噛み付き
バズーカ砲,バズーカ
蹴り,キック
リボルバー,リボルバー
ナタ,中華包丁
電撃棒,スタンロッド
対吸血鬼用拳銃,ニューナンブ
微細触手,多触手 黒
触手,多触手 黒
巨大触手,触手 黒
高速攻撃,飛びかかり
真空の刃(準備),巨大剣
真空の刃(攻撃),斬撃;波動放射 白
真空の刃(命中),飛沫 白
漆黒の刃,巨大剣突撃
本気の一撃,巨大剣
木の根,刺突
阻止(銃弾弾き), 切り払い
阻止(銃弾弾き)(解説), しずるは手甲で$(相手武器)の弾を弾いた

吸血鬼ハンター
照明弾,閃光手榴弾
GLOCK26,ニューナンブ
手榴弾,手榴弾
爆薬(攻撃),チョーク
爆薬(命中),爆発
ＰＢ[ShotMode],刺突
ＰＢ[BurstMode](攻撃),刺突
ＰＢ[BurstMode](命中),刺突;Ｂｕｒｓｔ Ｍｏｄｅ;爆発
ＰＢ[ElectricMode](攻撃),刺突
ＰＢ[ElectricMode](命中),刺突;Ｓｅｔ ｕｐ……Ｒｅａｄｙ・Ｃｈａｒｇｅ……;Ｅｌｅｃｔｒｉｃ Ｍｏｄｅ;大放電
拳銃,ピストル
対吸血鬼用拳銃,ニューナンブ
大口径マグナム,ピストル
トンファー,トンファー 二刀流
バーストトンファー(準備),トンファー 二刀流
バーストトンファー(攻撃),トンファー 二刀流
バーストトンファー(命中),爆発
アトミックショット,光球;ＭＡＰ大爆発
爪,爪撃
アイスピック,刺突
斬馬刀,巨大剣
