ＢＯＭＢＥＲＧＩＲＬ
ハイヒールキック, キック
夜叉丸, トンファー 二刀流
夜叉丸・SMG・MODE(準備), トンファー 二刀流
夜叉丸・SMG・MODE(攻撃), サブマシンガン
夜叉丸・SMG・MODE(命中), サブマシンガン;サブマシンガン;サブマシンガン
夜叉丸・DOS・MODE(準備), ドス 二刀流
夜叉丸・DOS・MODE(攻撃), 斬撃乱舞
夜叉丸・DOS・MODE(命中), 斬撃乱舞
羅生門流格闘術(命中), @戦闘アニメ_キック攻撃;「エミーちゃん」;バックドライバー;「エミーちゃんシュタイナー♪」
羅生門流格闘術(命中), 「羅生門流トンファー術」;立ち固め;「羅漢卍固め！！」
羅生門流格闘術(命中), ジャンプバスター;「らしょーもんバックブリーカー！」
羅生門流格闘術(命中), @戦闘アニメ_ドス準備 二刀流;横大斬撃;唐竹割り;斬撃乱舞;「羅生門流阿鼻叫喚二十文字切りーーー！」
羅生門流格闘術(命中), @戦闘アニメ_トンファー準備 二刀流;「この羅生門流ダブルトンファー術、大量虐殺三段攻撃を食らうがいいわ！」;「墓石砕きー！」;超打;超打;「鬼切斬ー！」;回転斬撃;@戦闘アニメ_サブマシンガン準備;サブマシンガン;サブマシンガン;サブマシンガン;「害虫駆除ー！！」
ぶちかましバージョン, ＭＡＰタックル
シャーペンの芯, ニードル連射
青い三角定規, シュートカッター;シュートカッター;シュートカッターシュート;カッター;シュートカッター;シュートカッター
ミサイル絨毯爆撃, ＭＡＰミサイル
もんがー爆弾(準備), 召喚 Unit\TMM_MongarU.bmp
もんがー爆弾(攻撃), 実弾発射 Unit\TMM_MongarU.bmp 発光 遅 残像;ＭＡＰ大爆発
ダブル・ストライカー(攻撃), 格闘
ダブル・ストライカー(命中), 立ち固め 1;スピンキック;乱打
反転散弾脚(攻撃), 飛びかかり;スピンキック
反転散弾脚(命中), 乱打
麻酔弾, リボルバー
クリーミーツインマグナム, リボルバー
元春アタック, スーパータックル乱舞 白
怪しい仕掛け, 音符 piyopiyo.wave
水中銃, クロスボウ Weapon\EFFECT_ShotGun01.bmp
恐怖のキャットファイト, 乱打;スーパーパンチ
デルタ・インパクト, ボルトアクションライフル
デルタ・インパクト(とどめ), @戦闘アニメ_バラ準備 赤;@戦闘アニメ_バラ吹雪命中
白蛇鞭, 鞭
白蛇鞭・放電(準備), 鞭
白蛇鞭・放電(攻撃), 鞭
白蛇鞭・放電(命中), 鞭;放電
全方位ビーム, 全拡散ビーム 青
全方位ビーム<M>, マップ持続ビーム 青
股間のバルカン, ガトリング
トルネードシックル, 錨
トルネードシックル(準備), 錨
トルネードシックル(攻撃), 錨;旋風 白
トルネードシックル(命中), 斬撃乱舞
セメントスライム, 泡
ニトロスライム, 火炎弾 青
自らの体をｽﾗｲﾑ化する法, ＭＡＰオーラ 青
スカーフブレード(縛), ビームソード 赤
スカーフブレード, ビームソード 赤
紙巻笛, リボン
風船爆弾(攻撃), 連気弾 赤
風船爆弾(命中), 連続爆発
マインドコントロール, 音波
まごころ拳, 格闘
仕込み刃蹴り(攻撃), キック
仕込み刃蹴り(命中), 斬撃
マッチョファイト, アッパー
オイルレスリング(攻撃), 同時格闘
オイルレスリング(命中), 立ち固め
暴行, 飛びかかり
巨大バサミ, ククリ 二刀流
暴力, 格闘
歯車ベアハッグ(攻撃), タックル
歯車ベアハッグ(命中), 立ち固め 6;飛沫 赤
濃酸ミルク, 水鉄砲 NONDATA.bmp
ゴッドゴーガン, アーチェリーボウ連射
我が姉妹(攻撃), 触手乱舞
我が姉妹(命中), 噛み付き;噛み付き;噛み付き;噛み付き;噛み付き;噛み付き
ショータイム, 音波
自殺シーン(攻撃), 音波
自殺シーン(命中), 音波;クリティカル斬撃;飛沫 赤
童貞食い(攻撃), 周囲回転 Common\EFFECT_Heart01.bmp Sharara.wav 対象ユニットＩＤ;飛びかかり
童貞食い(命中), 飛びかかり;フォール
槍, スピア
棍棒, モール

重装甲・立花さん
ガトリング砲, ガトリング
レーザー, 小ビーム 白
大型ミサイル, スーパーミサイル 
一斉砲撃, ＭＡＰスーパーミサイル;ＭＡＰビーム 白

重装甲・吉本くん
怪力一辺倒, 立ち固め
