ＴＯＨ
剣のソーマ, ソード
疾風閃(準備), ソード
疾風閃(攻撃), 刺突突撃
疾風閃(命中), 刺突
空裂閃(準備), ソード
空裂閃(攻撃), 光弾 黄
空裂閃(命中), 刺突
地砕衝(準備), ソード
地砕衝(攻撃), 振り下ろし
地砕衝(命中), 振り下ろし
翔星刃(準備), ソード
翔星刃(攻撃), 刺突突撃
翔星刃(命中), 刺突
星影連波(準備), ソード
星影連波(攻撃), ３連スラッシュビーム 黄
星影連波(命中), ３連スラッシュビーム 黄
星塵絶破(準備), ソード
星塵絶破(攻撃), スーパータックル 黄
星塵絶破(命中), スーパータックル 黄
思刃金剛波(準備), ソード
思刃金剛波(攻撃), 斬撃乱舞
思刃金剛波(命中), 斬撃乱舞
翔旺神影斬(準備), ソード
翔旺神影斬(攻撃), -
翔旺神影斬(命中), ｢輝け！ 俺のスピリア！｣;スーパータックル乱舞 黄;｢これで終わりだ！ 翔旺神影斬！｣;スーパーダイブ 黄
バトンのソーマ, 棒
キック, 打突
火旋輪, 大炎斬撃
紅蓮皇輪, 火炎弾
鳳凰天駆(攻撃), スーパータックル 赤
鳳凰天駆(命中), 炎
紅雅曝炎舞, 大炎斬撃;振り上げ大炎斬撃
殺劇舞荒拳(準備), -
殺劇舞荒拳(攻撃), -
殺劇舞荒拳(命中), ｢舞踊れ！ 桜花千爛の花吹雪！ 彼岸！ 霞！ 八重！ 枝垂！｣;桜吹雪;乱打;｢これがわたしのっ殺劇舞荒拳ッ！！｣;スーパーダイブ 赤;光大噴出 赤
ボウガンのソーマ, ２連光弾 緑
荒鷹, 気弾 緑
舞鶉, 光大噴出 緑
槍鴎, 大拡散ビーム 緑
銃狗鷲・番風(準備), -
銃狗鷲・番風(攻撃), ｢痛ぇじゃすまねぇぞゴルァッ！！受けやがれェッ！｣;超ビーム 緑
銃狗鷲・番風(命中), ｢限界突破の烈風閃！ 番風！ 消し飛びやがぁれぇぇぇっ！｣;超ビーム 緑
ピコハン, 投擲武器 Weapon\EFFECT_PicopicoHammer01.bmp 32
絵筆のソーマ, 殴打武器 EFFECT_TOH_Brush.bmp 32
アイスニードル, 氷弾
スラッシュからぁず, 気弾 青
もえさかリボン, 大炎斬撃
グランドダッシャー, 岩柱
クレイジーコメット(準備), -
クレイジーコメット(攻撃), ｢降臨きゅぴぃ?ん！ 大陸カチ割るドリーム彗星！｣;隕石
クレイジーコメット(命中), ｢クレイジーコメット！｣;連続爆発
クレイジーコメット(とどめ), ｢もいっちょぉ?！ プリンセス・オブ・マーメイド！｣;連続着弾
巨刃のソーマ, 斬撃武器 EFFECT_TOH_Bigedge.bmp 48
アンクルプレス(準備), 振る武器 EFFECT_TOH_Bigedge.bmp 48
アンクルプレス(攻撃), タックル
アンクルプレス(命中), 強打
ペルセシャーク(準備), 振る武器 EFFECT_TOH_Bigedge.bmp 48
ペルセシャーク(攻撃), 連打
ペルセシャーク(命中), 連打
マーメイドグリフ,　タックル;斬撃
ネプチューヌレイジ(準備), -
ネプチューヌレイジ(攻撃), ｢安心して……きもちよぉ?く逝かせてあげる｣;竜炎 青
ネプチューヌレイジ(命中), ｢ただし行き先は……地獄の底よッ！ ネプテューヌレイジ！｣;竜炎 青
偽似腕のソーマ, 連打
烈空斬, 回転斬撃
