
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Spider.bmp
#　EFFECT_Bone.bmp

ＦＦＵＳＡ
猫の爪, 格闘
妖精の爪, 格闘
青龍の爪, ロケットパンチ
ミスリルソード, 剣
勇者の剣, 剣
エクスカリバー, 剣
トマホーク, トマホーク
バトルアクス, 両刃斧
魔神の斧, 両刃斧
爆弾, 爆弾
火炎爆弾, 焼夷手榴弾
手投げ爆弾, 手榴弾
風魔手裏剣, 手裏剣
ロビンフッドの弓, 弓
モーニングスター, モーニングスター
ブリザド, 吹雪
ファイア, 炎
クエイク, ＭＡＰ地震
サンダー, 落雷
メテオ, 隕石
ホーリー(攻撃), 粒子集中 白
ホーリー(命中), 爆発
フレア(攻撃), 粒子集中 赤
フレア(命中), 爆発
エアロ, 竜巻
エスナ, 回復魔法
ケアル, 回復魔法
マヒにらみ(攻撃), @戦闘アニメ_死神とどめ
電撃, 放電
アイアンメルト, -
王の杖, 杖
エルフの弓, 弓
ミラーソード, 大剣
クエイクアクス, 斧;ＭＡＰ地震
ダークサーバー, 黒剣;電撃
アイスサーバー, 剣;吹雪
ファイアソード, 大剣;炎
金の糸, ネット
銀の糸, ネット
子グモ, 実弾発射 EFFECT_Spider.bmp
ダークホーリー(攻撃), @戦闘アニメ_死神とどめ;粒子集中 白
ダークホーリー(命中), 爆発
アシュラ(攻撃), 粒子集中 赤
アシュラ(命中), 爆発
レーザーアイズ, 小レーザー;電撃
眠りの粉, 煙噴射
ボーンミサイル, 実弾発射 EFFECT_Bone.bmp
二本の牙, 噛み付き
くいちぎる, 噛み付き
さいみん, 音波
吹雪, 吹雪
メガトンパンチ, 打突
アイスブロック, 岩弾
ふみつける, 踏み潰し
アクスボンバー, 格闘
石化ブレス, 煙噴射
パラライズブレス, 煙噴射
ポイズンブレス, 煙噴射 緑
のしかかる, 踏み潰し
ファイアブレス, 火炎放射
石化くちばし, @戦闘アニメ_死神とどめ
パイルドライバー, ドライバー
ハリケーン, 竜巻
スカイアタック, スーパータックル
ストーム, 竜巻
