ファントム・キングダム
## 固有技 ###########################################################
ゼタソード, ソード
オメガドライブ(準備), オーラ上昇;ソード
オメガドライブ(攻撃), アッパー Whiz.wav;アッパー Whiz.wav;アッパー Whiz.wav;アッパー Whiz.wav
オメガドライブ(命中), 斬撃乱舞 AntiAirMissile.wav;「ふんっ！！」;@戦闘アニメ_振り下ろし攻撃;2;-.wav;超打 Crash.wav
ゼタビーム, ２連小ビーム 黄
オメガドライブ(本)(準備), オーラ上昇
オメガドライブ(本)(攻撃), アッパー Whiz.wav;アッパー Whiz.wav;アッパー Whiz.wav;アッパー Whiz.wav
オメガドライブ(本)(命中), 斬撃乱舞 AntiAirMissile.wav;「ふんっ！！」;@戦闘アニメ_振り下ろし攻撃;2;-.wav;超打 Crash.wav
罪業の短剣, ナイフ
ブラックプリズン(準備), 粒子集中 黒
ブラックプリズン(攻撃), 魔法放射 黒
ブラックプリズン(命中), 重力圧縮 BeamSaber.wav;飛沫 黒;飛沫 黒;飛沫 黒;飛沫 黒 Crash.wav;2;-.wav;羽
ホワイトレイジ(準備), 光噴出 白 Whiz.wav;魔法集中 白 Charge.wav
ホワイトレイジ(攻撃), 光球
ホワイトレイジ(命中), 飛沫 白 Explode(Far).wav
魔神太鼓(攻撃), 落雷
魔神太鼓(命中), 放電
ライジングボルト(準備), 放電
ライジングボルト(攻撃), アッパー;2;-.wav;大落雷
ライジングボルト(命中), 超爆発
村正(準備), 日本刀
村正(攻撃), 斬撃
村正(命中), 斬撃 Slash(4).wav
冥王剣無明返し(準備), 日本刀
冥王剣無明返し(攻撃), 突く武器急降下 Weapon\EFFECT_JapaneseBlade01.bmp
冥王剣無明返し(命中), 突く武器急降下 Weapon\EFFECT_Estoc01.bmp -.wav;唐竹割り Slash(3).wav;2;-.wav;オーラ上昇 黒 Fold.wav
ラストリゾート, ライトセイバー 白
Ｖ・ダイナミック(準備), 炎 白 Glass.wav
Ｖ・ダイナミック(攻撃), 格闘;地表衝撃波 白
Ｖ・ダイナミック(命中), 光柱 Explode(Far).wav
ハイパーモード(覚醒), 炎 白 Charge.wav
ウォーフレイル, モーニングスター
アブソリュート０(準備), 粒子集中 白
アブソリュート０(攻撃), 魔法放射 白
アブソリュート０(命中), 吹雪 Storm.wav;氷柱 Ice.wav;飛沫 白
ゴールドハンマー, ハンマー
メンズパッション(準備), 炎
メンズパッション(攻撃), 急降下;瞬間変形 -.bmp
メンズパッション(命中), @戦闘アニメ_炎打ち下ろし攻撃;超爆発
## 武器技 ###########################################################
組み打ち, 格闘
スラッシュ, ソード
氷牙斬(準備), 日本刀
氷牙斬(攻撃), 斬撃;地表衝撃波 白
氷牙斬(命中), 凍結 Ice.wav
秘技・魔剣王気(準備), ソード
秘技・魔剣王気(攻撃), 斬撃;大ビーム 白 Breath.wav
秘技・魔剣王気(命中), 大ビーム 白 Breath.wav
月光心眼閃(準備), ソード
月光心眼閃(攻撃), 急降下
月光心眼閃(命中), 急降下;強打 Crash.wav
ダークネスアーク(準備), ソード
ダークネスアーク(攻撃), 振り上げ;実弾発射 Weapon\EFFECT_Estoc01.bmp 32 Swing(2).wav;実弾発射 Weapon\EFFECT_Estoc01.bmp 32 Swing(2).wav
ダークネスアーク(命中), 連続大爆発
ゾディアック(準備), ソード
ゾディアック(攻撃), スーパータックル 黄
ゾディアック(命中), スーパータックル 黄;飛沫 黄 Explode(Far).wav
トリックブレード(準備), ナイフ
トリックブレード(攻撃), 斬撃乱舞
トリックブレード(命中), 斬撃乱舞
凶牙四連殺(準備), ナイフ
凶牙四連殺(攻撃), 分身斬撃
凶牙四連殺(命中), 分身斬撃;連斬撃
氷炎斬(準備), ナイフ
氷炎斬(攻撃), 分身斬撃
氷炎斬(命中), 分身斬撃;炎;飛沫 白
スカルクラッシュ, 鉄の斧
スピンブレイク(準備), 鉄の斧
スピンブレイク(攻撃), 振り下ろし
スピンブレイク(命中), 強打 Crash.wav
ロックユー(準備), 鉄の斧
ロックユー(攻撃), 岩
ロックユー(命中), ダメージ Explode.wav
マルチウェイ, スピア
スカイハイ, 投げ槍
サンダーボルト(準備), スピア
サンダーボルト(攻撃), 投げ槍
サンダーボルト(命中), 刺突;大電撃
ブックショック(準備), 本
ブックショック(攻撃), 気弾
ブックショック(命中), ダメージ Explode.wav
エアロハリケーン(準備), 本
エアロハリケーン(攻撃), 竜巻
エアロハリケーン(命中), 竜巻
ブルーノヴァ(準備), 本
ブルーノヴァ(攻撃), 津波
ブルーノヴァ(命中), 津波
雷太鼓(攻撃), 落雷
雷太鼓(命中), 放電
天神雷轟, 球電 Thunderbolt.wav
雷神遊輪(攻撃), 白兵回転 Thunder.wav
雷神遊輪(命中), 雷斬撃 Thunderbolt.wav
雷神変化(攻撃), 急降下;瞬間変形 -.bmp;4;-.wav;落雷
雷神変化(命中), 大放電
ビームスラッシュ, ライトセイバー 白
ツインセイバー, ライトセイバー 白 二刀流
エンゼルウイング, ハイパービームサーベル 白
オメガフォース(準備), ライトセイバー 白
オメガフォース(攻撃), 振り上げ
オメガフォース(命中), アッパー Explode.wav;スーパータックル乱舞 白 Explode.wav;3;-.wav;飛沫 白 Explode(Far).wav
グレネード, バズーカ
シャドウハインド(攻撃), 格闘
シャドウハインド(命中), 強打;@戦闘アニメ_バズーカ攻撃;3;-.wav;爆発
ジオプロージョン(準備), バズーカ
ジオプロージョン(攻撃), 手持ち発射 Weapon\EFFECT_Bazooka01.bmp 32 対象ユニットＩＤ Bullet\EFFECT_Missile01.bmp 32
ジオプロージョン(命中), 超爆発
クレーンキャッチ, フックロープ
インプラント(攻撃), ソーサー
インプラント(命中), ダメージ
銀閃(準備), 日本刀
銀閃(攻撃), 斬撃
銀閃(命中), 斬撃 Slash(4).wav
絶影, 日本刀突撃
千嵐(準備), 日本刀
千嵐(攻撃), 斬撃乱舞
千嵐(命中), 斬撃乱舞 Slash(4).wav
轟雷(準備), 日本刀
轟雷(攻撃), 振り下ろし
轟雷(命中), 雷斬撃 Thunderbolt.wav;2;-.wav;大落雷
ガトリング, ガトリング
ブラッディレイン(準備), ガトリング
ブラッディレイン(攻撃), ガトリング;ガトリング
ブラッディレイン(命中), ガトリング
クレイジーキラー(準備), ガトリング
クレイジーキラー(攻撃), ガトリング;ガトリング;ガトリング
クレイジーキラー(命中), ガトリング;ガトリング
ファイアブレス, 火炎放射器
サブゼロ(準備), 火炎放射器
サブゼロ(攻撃), 火炎放射器 白 Storm.wav
サブゼロ(命中), 火炎放射器 白 Storm.wav;凍結 Ice.wav
ボルケーノライン(準備), 粒子集中 赤;火炎放射器
ボルケーノライン(攻撃), 火炎放射器
ボルケーノライン(命中), 火炎放射器;炎
ヘルニードル(攻撃), 格闘
ヘルニードル(命中), 投げ飛ばし;刺突
ポイズンアタック(攻撃), 突く武器突撃 DGoods\EFFECT_SharpPencil01.bmp
ポイズンアタック(命中), 刺突
ノーマルボム, ダイナマイト
タイムリミット(準備), ダイナマイト
タイムリミット(攻撃), ダイナマイト
タイムリミット(命中), 時間;大爆発
ぽんこつボム(準備), ダイナマイト
ぽんこつボム(攻撃), ダイナマイト
ぽんこつボム(命中), 6;「…………」;「…………？」;「！！？」;超爆発
スパナクラッシュ, スパナ
スパナスパイラル, スパナ突撃
ノーマルシュート, ライフル
チャージバレット(準備), ライフル
チャージバレット(攻撃), ライフル
チャージバレット(命中), 超打 Explode.wav
サイキックガン(準備), ライフル
サイキックガン(攻撃), 急降下;瞬間変形 -.bmp
サイキックガン(命中), オールレンジ Rifle.wav
コックスマッシュ, フライパン
手早く炒める(準備), フライパン
手早く炒める(攻撃), 振る武器突撃 DGoods\EFFECT_FryingPan01.bmp
手早く炒める(命中), ダメージ Fire.wav
ハンマーアタック, モーニングスター
ミラクルシュート(攻撃), 格闘;実弾発射 Weapon\EFFECT_MorningStar02.bmp 64
ミラクルシュート(命中), 強打 Crash.wav
デッドリーレイブ(準備), モーニングスター
デッドリーレイブ(攻撃), モーニングスター;実弾発射 Weapon\EFFECT_MorningStar02.bmp 64
デッドリーレイブ(命中), 大爆発 Explode(Far).wav
ガイアパニッシュ(準備), モーニングスター
ガイアパニッシュ(攻撃), モーニングスター
ガイアパニッシュ(命中), ジャイアントスイング;超爆発
トロイメライ, エストック
リングアロー, エストック突撃
レイジングスタブ(準備), エストック
レイジングスタブ(攻撃), 乱突
レイジングスタブ(命中), 乱突
小槌アタック, 木槌
小槌バレー(準備), ハンマー
小槌バレー(攻撃), 分身打撃
小槌バレー(命中), 分身打撃
小槌クリティカル(準備), ハンマー
小槌クリティカル(攻撃), 振り下ろし;振り下ろし;振り下ろし
小槌クリティカル(命中), 強打 Crash.wav;強打 Crash.wav;強打 Crash.wav
モグラたたき(準備), ハンマー
モグラたたき(攻撃), 突く武器急降下 Weapon\EFFECT_Hammer01.bmp
モグラたたき(命中), 突く武器急降下 Weapon\EFFECT_Hammer01.bmp
竜根打技, 殴打武器 Weapon\EFFECT_Nunchaku01.bmp
竜心乱激, ヌンチャク
竜翔雲来, 振る武器突撃 Weapon\EFFECT_Nunchaku01.bmp
ランチタイム(準備), ブリキ缶
ランチタイム(攻撃), 振る武器突撃 DGoods\EFFECT_TinCan01.bmp
ランチタイム(命中), 噛み付き;噛み付き;噛み付き
ミミックブレイド(準備), ブリキ缶
ミミックブレイド(攻撃), 投擲武器 DGoods\EFFECT_TinCan01.bmp
ミミックブレイド(命中), 回転斬撃
## 魔法 #############################################################
ファイア(攻撃), 魔法放射 赤 Beamshot.wav
ファイア(命中), 炎
ワイドファイア(攻撃), 魔法放射 赤 Beamshot.wav;ＭＡＰ炎
ワイドファイア(命中), 炎
超ファイア(攻撃), 魔法放射 赤 Beamshot.wav
超ファイア(命中), 炎;大爆発
クール(攻撃), 魔法放射 青
クール(命中), 氷柱 Ice.wav
ワイドクール(攻撃), 魔法放射 青;ＭＡＰ凍結
ワイドクール(命中), 氷柱 Ice.wav
超クール(攻撃), 魔法放射 青
超クール(命中), 氷柱 Ice.wav;飛沫 白
ウインド(攻撃), 魔法放射 緑
ウインド(命中), 強風
ワイドウインド(攻撃), 魔法放射 緑;ＭＡＰ風
ワイドウインド(命中), 強風
超ウインド(攻撃), 魔法放射 緑
超ウインド(命中), 旋風 緑
超ワイドウインド(攻撃), 魔法放射 緑;ＭＡＰ竜巻
超ワイドウインド(命中), 強風
ヒール(使用), 回復魔法
メガヒール(使用), 回復魔法
エスポワール(使用), 回復魔法泡
ブレイブハート(発動), オーラ上昇
シールド(発動), エネルギーフィールド展開
## 戦車 #############################################################
集中砲火(攻撃), キャノン砲;キャノン砲;キャノン砲
集中砲火(命中), 連続爆発
アークファイア, スーパーミサイル
デスアーミー(攻撃), キャノン砲;キャノン砲;キャノン砲;キャノン砲
デスアーミー(命中), 連続爆発;大爆発
トンネル掘り, ドリル突撃
回転ドリル(攻撃), ドリル
回転ドリル(命中), 2;Crash.wav;2;Crash.wav;2;Crash.wav;強打 Crash.wav
ドリルロケット, ドリル急降下
バギーバルカン, バルカン
爆走バギー(攻撃), タックル Engine.wav
爆走バギー(命中), 強打 Explode.wav
バイバイバギー(攻撃), スーパータックル 白 Engine.wav
バイバイバギー(命中), スーパータックル 白
ノイジィパレード(攻撃), 音符
ノイジィパレード(命中), 音符;粒子噴射 赤
フォルテッシモ, 音波
カンタービレ♪(攻撃), 音符
カンタービレ♪(命中), 音符;粒子噴射 青
ブラウボー！！(攻撃), 音波
ブラウボー！！(命中), 音符
ダブルストレート(攻撃), タックル Engine.wav
ダブルストレート(命中), 強打 Explode.wav
スピンターン, スピンアタック
パイロンターン(攻撃), スーパータックル乱舞 Engine.wav
