月光のカルネヴァーレ
ハイパーモード, 粒子集中 黒 Roar.wav
シールド防御(護る<レメディウム>), 光の翼防御 白 Sword.wav 護る<レメディウム>
シールド防御(銀の駒), シールド防御 \Anime\Creature\EFFECT_Doll01.bmp 別名=銀の駒
シールド防御(セーリエ), シールド防御 \Anime\Creature\EFFECT_Doll01.bmp 別名=セーリエ
分身(刻よ止まれ！), 時間逆行;透明化 対象ユニットＩＤ;緊急テレポート Whiz.wav 刻よ止まれ！
分身(鏡像), 分身 Glass.wav 鏡像
格闘(攻撃), 振る武器突撃 -.bmp
格闘(命中), @戦闘アニメ_格闘攻撃;格闘
格闘(命中), @戦闘アニメ_打突攻撃;打撃
格闘(命中), @戦闘アニメ_格闘攻撃;連打
格闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
拳闘(攻撃), 振る武器突撃 -.bmp
拳闘(命中), @戦闘アニメ_格闘攻撃;格闘
拳闘(命中), @戦闘アニメ_打突攻撃;打撃
拳闘(命中), @戦闘アニメ_格闘攻撃;連打
拳闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
体術(攻撃), 振る武器突撃 -.bmp
体術(命中), @戦闘アニメ_格闘攻撃;格闘
体術(命中), @戦闘アニメ_打突攻撃;打撃
体術(命中), @戦闘アニメ_格闘攻撃;連打
体術(命中), @戦闘アニメ_キック攻撃;強打
エスペロ(準備), クロー Reload(4).wav
エスペロ(攻撃), クロー突撃
エスペロ(命中), @戦闘アニメ_格闘攻撃;格闘
エスペロ(命中), @戦闘アニメ_打突攻撃;打撃
エスペロ(命中), @戦闘アニメ_格闘攻撃;連打
エスペロ(命中), @戦闘アニメ_アッパー攻撃;アッパー
グランフィア(準備), カトラス Reload(4).wav
グランフィア(攻撃), カトラス突撃;斬撃
グランフィア(命中), 斬撃 Slash(4).wav
グランフィア(命中), 横大斬撃
グランフィア(命中), 大斬撃
獣の鉤爪(攻撃), スーパータックル 黒;円弧斬撃 黒 Saber.wav
獣の鉤爪(命中), 大炎斬撃 黒 Crash.wav
獣の鉤爪(命中), 振り上げ大炎斬撃 黒 Crash.wav
獣の鉤爪(命中), 回転大炎斬撃 黒 Crash.wav
