
ＰＴ
リボルビング・ステーク(命中), 7;Crash.wav;5;Bazooka.wav;Explode.wav
スクエア・クレイモア, 6;Reload.wav;MachineCannon.wav
スクエア・クレイモア(命中), 1.5;Explode.wav;1.5;Explode.wav;1.5;Explode.wav;Explode.wav
『切り札』(命中), 4;Saber.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
５連チェーンガン, MachineCannon.wav
アヴァランチ・クレイモア, 6;Reload.wav;MachineCannon.wav
アヴァランチ・クレイモア(命中), 1.5;Explode.wav;1.5;Explode.wav;1.5;Explode.wav;Explode.wav
アヴァランチ・クレイモア(MAP), 6;Reload.wav;MachineCannon.wav
アヴァランチ・クレイモア(MAP)(命中), 1.5;Explode.wav;1.5;Explode.wav;1.5;Explode.wav;Explode.wav
リボルビング・バンカー(命中), 7;Crash.wav;5;Bazooka.wav;Explode.wav
エリアル・クレイモア(命中), 7;Saber.wav;9;Reload.wav;6;MachineCannon.wav;Explode.wav
ランページ・ゴースト, 1.5;Missile.wav;1.5;Missile.wav;1.5;Missile.wav;6;Missile.wav;Jet.wav
ランページ・ゴースト(命中), 3;Saber.wav;5;Crash.wav;4;Beam.wav;10;Crash.wav;3;Explode.wav;Explode.wav
３連ビームキャノン, MachineCannon.wav
オクスタン・ランチャーＥ, 10;Charge.wav;LaserGun.wav
オクスタン・ランチャーＢ, 4;Bazooka.wav;3;Reload.wav;4;Bazooka.wav;3;Reload.wav;4;Swing.wav;4;Swing.wav;3;Bazooka.wav;Reload.wav
オクスタン・ランチャーＢ(命中), 3;Explode.wav;7;Explode.wav;Explode.wav
ハウリング・ランチャーＥ, 10;Charge.wav;LaserGun.wav
ハウリング・ランチャーＢ, 4;Bazooka.wav;3;Reload.wav;4;Bazooka.wav;3;Reload.wav;5;Swing.wav;5;Swing.wav;3;Bazooka.wav;Reload.wav
ハウリング・ランチャーＢ(命中), 3;Explode.wav;7;Explode.wav;Explode.wav
ハウリング・ランチャーＸ, 18;Charge(Long).wav;AntiAirMissile.wav

アインストシリーズ
ジェット・マグナム, Jet.wav
オフェンハール, 2;Missile.wav;2;Missile.wav;2;Missile.wav;2;Missile.wav;Missile.wav
オフェンハール(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
シックナーゲル, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
シックナーゲル(命中), Saber.wav
エレガントアルム(命中), Whip.wav
ハイストレーネ, Beam.wav
ハイストレーネ(MAP), Beam.wav
キューンファオスト(命中), 4;Crash.wav;4;Crash.wav;Crash.wav
エルンストノイギーア, MachineCannon.wav
ヘラオスフォルデルング(命中), 3;Crash.wav;3;Crash.wav;3;Crash.wav;3;Crash.wav;7;Explode.wav;4;Explode.wav;4;Explode.wav;Explode.wav
マシーネンゲヴェイア, MachineCannon.wav
ホルツシュラオペ(命中), 7;Crash.wav;5;Bazooka.wav;Explode.wav
クヴァドラートミーネ, 6;Reload.wav;MachineCannon.wav
クヴァドラートミーネ(命中), 1.5;Explode.wav;1.5;Explode.wav;1.5;Explode.wav;Explode.wav
エアヴァルトゥング, AntiAirMissile.wav
ウアタイルスクラフト, 20;Charge(long).wav;Bazooka.wav
ミットライト, 18;Charge(long).wav;Flair.wav
マブイタチ, Swing.wav
マブイタチ(命中), Slash.wav
ヨミジ, 18;Charge(long).wav;AntiAirMissile.wav
ライゴウエ, 18;Charge(long).wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
マブイエグリ(命中), 10;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;Slash.wav
