
斬
研無刀(準備), 日本刀
研無刀(攻撃), 斬撃
研無刀(命中), 強打
刀と鞘の二刀流(準備), 左右別武器 Weapon\EFFECT_JapaneseBlade01.bmp 32 - Weapon\EFFECT_IronPipe01.bmp 32
刀と鞘の二刀流(攻撃), 白兵連撃
刀と鞘の二刀流(命中), 強打
崩刃殺(準備), 日本刀
崩刃殺(攻撃), 刺突
崩刃殺(命中), 強打
双刃殺(準備), 左右別武器 Weapon\EFFECT_JapaneseBlade01.bmp 32 - Weapon\EFFECT_IronPipe01.bmp 32
双刃殺(攻撃), 飛びかかり
双刃殺(命中), 強打 Crash.wav
俺の武士道(準備), 左右別武器 Weapon\EFFECT_JapaneseBlade01.bmp 32 - Weapon\EFFECT_IronPipe01.bmp 32
俺の武士道(攻撃), 斬＿黒背景剣閃 2
俺の武士道(命中), 超斬撃 黒 Shock(Low).wav
キック, キック
刀, 日本刀
ジャンプ斬り(準備), 日本刀
ジャンプ斬り(攻撃), ジャンプ
ジャンプ斬り(命中), 斬撃
真剣勝負(準備), 日本刀
真剣勝負(攻撃), 日本刀突撃
真剣勝負(命中), 大斬撃
拳法, 打突
小太刀, 忍者刀
手裏剣(攻撃), 斬＿４ＷＡＹ手裏剣 速 -.wav
手裏剣(命中), 斬＿４ＷＡＹ手裏剣
四段拳法(攻撃), @戦闘アニメ_転移
四段拳法(命中), 乱打;@戦闘アニメ_サマーソルト攻撃;強打
瞬速の一撃(攻撃), 斬＿４ＷＡＹ手裏剣 速 -.wav;@戦闘アニメ_転移
瞬速の一撃(命中), 斬撃突撃
鋭斬刀, 日本刀
カウンター, 日本刀
石壁刻み(準備), 日本刀
石壁刻み(攻撃), 斬撃乱舞
石壁刻み(命中), クリティカル斬撃
衝撃波(準備), 木槌
衝撃波(攻撃), 振り下ろし;地表衝撃波 白 AntiShipMissile.wav
衝撃波(命中), 光噴出 白 Warship.wav
大木槌, 木槌
切り返し(準備), 木槌
切り返し(攻撃), 連斬撃
切り返し(命中), 連打
長刀, 長ドス
居合(攻撃), 白兵武器
居合(命中), クリティカル斬撃
秘剣・居合い返し(攻撃), 斬撃突撃;斬＿黒背景剣閃
秘剣・居合い返し(命中), 超斬撃 白
秘剣・居合い返し(とどめ), @戦闘アニメ_桜吹雪発動 Wind.wav
バスター大刀, 巨大剣
百足刺し(準備), 巨大剣
百足刺し(攻撃), 乱突
百足刺し(命中), 乱突
刹那突き(準備), 巨大剣
刹那突き(攻撃), 刺突 WarShip.wav
刹那突き(命中), 大刺突
仕込み刀, ドス
連打, 連打
掌底打ち(攻撃), 打突
掌底打ち(命中), 打撃 Whip.wav
合わせ首蹴り, 浴びせ蹴り
溜め殴り(攻撃), 打突
溜め殴り(命中), 強打
串刺し, 刺突
襟首投げ, 投げ飛ばし
首刈り(準備), 日本刀
首刈り(攻撃), 飛びかかり
首刈り(命中), 立ち固め;斬撃
武器折り(準備), 長ドス
武器折り(攻撃), 斬撃
武器折り(命中), 斬撃 Slash(2).wav
説教剣(準備), 長ドス
説教剣(攻撃), 飛びかかり
説教剣(命中), 踏み潰し;斬撃
槍, スピア
ミニサイズ刀, ナイフ

村山斬
切り払い, @戦闘アニメ_斬＿村山斬切り払い発動

