ガンマン
10mm隠し銃, 4;Reload.wav;MachineGun.wav
30mmロングライフル, Rifle.wav
45口径ピストル, 3;Gun.wav;3;Gun.wav
9mmピストル, 3;Gun.wav;3;Gun.wav
9mm隠し銃, 4;Reload.wav;MachineGun.wav
AGLリボルバー, 1;Gun.wav;1;Gun.wav
GRADER SINGLE HAND 2043, 3;Gun.wav;3;Gun.wav
HEAT WAVES 187M, 3;Gun.wav;3;Gun.wav
２７分殺(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
アサルトライフル, Machinegun.wav
アメリカンデリンジャー, 3;Gun.wav;3;Gun.wav
エンジェルアーム(準備), Charge(long).wav
エンジェルアーム, Beam.wav
グーデリア(命中), Shock(Low).wav
グレネード(命中), -.wav
グレネード, 2;Type.wav;5;Swing.wav;5;Explode.wav
シルヴィア, Whiz.wav
スタンガン(命中), Punch.wav
スタンガン, Cannon.wav
スパイク, Cannon.wav
スパイクマイン, 2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav
スモークグレネード(命中), -.wav
スモークグレネード, 2;Type.wav;5;Swing.wav;5;Glass.wav
ダブルソウル, MachineGun.wav
ナックル(命中), Punch.wav
ナックルグレネード(命中), Explode.wav
ナックルグレネード, Bazooka.wav
パニッシャー, MachineGun.wav
ビリーフライトニング, 3;Gun.wav;3;Gun.wav
ブーツガン, 3;Gun.wav;3;Gun.wav
マーロンスペシャル, 3;Gun.wav;3;Gun.wav
ロケットランチャー(命中), Explode(Far).wav
ロケットランチャー, Missile.wav
隠しナイフ, Sword.wav
砂漠虫(命中), 2;Swing.wav;Slash.wav
仕込み銃, Machinegun.wav
十字架(命中), Punch.wav
人形, Gun.wav
人形, Machinegun.wav
人形, Reload.wav
息子投げ(命中), Shock(Low).wav
弾丸パンチ(命中), Shock(Low).wav
弾丸パンチ, Bazooka.wav
鉄鞘(命中), Punch.wav
投げナイフ, Swing.wav
二重星雲(命中), 2;Swing.wav;2;Swing.wav;Slash.wav
二丁拳銃, 1;Gun.wav;3;Gun.wav;1;Gun.wav;3;Gun.wav
彗星突(命中), Slash.wav
彗星突, Rifle.wav
不意打ち, Gun.wav
