
アークザラッド３
サイレント, Whiz.wav
フォースリング, Whiz.wav
フォースリング(クリティカル), BeamShot.wav
ディバイド, Whiz.wav
ブレインブラスト, Whiz.wav
ブレインブラスト(クリティカル), Search.wav
クリスタルダスト, Whiz.wav
クリスタルダスト(クリティカル), Glass.wav
インパルスボム, Whiz.wav
インパルスボム(命中), 8;Charge.wav;Explode(Far).wav
キュア, Bubble.wav
リザレクション, Inori.wav
盗む, Swing.wav
ナイフレイン, 5;Whiz.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
ナイフレイン(命中), Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
フェイタルダガー, Swing.wav
フェイタルダガー(命中), Sword.wav
リフレッシュ, Sharara.wav
マジックシールド, Whiz.wav
イクサイトメント, Whiz.wav
ロブマインド, Whiz.wav
シルバーサリッサ(命中), 3;Swing.wav;Stab.wav
アタッカード(準備), 4;Bow.wav;Whiz.wav
アタッカード, Explode(Nuclear).wav
クロスジャベリン, 6;Sword.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
クロスジャベリン(命中), Slash.wav
ガードフィールド, Whiz.wav
ナパームエッジ, 3;Type.wav;5;Swing.wav;5;Explode(Far).wav
ナパームエッジ(命中), Explode.wav
リボルバー, 1;Gun.wav;1;Gun.wav
ナイトレイド, Whiz.wav
ナイトレイド(命中), 3;Explode.wav;3;Explode.wav;Explode.wav
ダブルイリュージョン, Bow.wav
ダブルイリュージョン(命中), 9;Combo.wav;9;Combo.wav;6;Whiz.wav;Explode(Far).wav
ダークアウト, Whiz.wav
シルバースティック(命中), 3;Swing.wav;Punch.wav
ウォータークランブル, Whiz.wav
ウォータークランブル(命中), 3;Splash.wav;3;Splash.wav;Splash.wav
エアブラスト, Storm.wav
エアブラスト(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
ランドアクス, Whiz.wav
ランドアクス(命中), Crash.wav
ヒートシェル, Whiz.wav
ヒートシェル(命中), Fire.wav
ライトアロー, Beam.wav
ライトアロー(命中), Explode.wav
ダークエクストリーム, Whiz.wav
ダークエクストリーム(命中), 3;Explode.wav;3;Explode.wav;Explode.wav
ギガ・プラズマ(準備), Charge.wav
ギガ・プラズマ, LaserGun.wav
ギガ・プラズマ(命中), Explode.wav
Ω・ＢＲＥＡＫＥＲ, 3;Swing.wav;Whiz.wav
Ω・ＢＲＥＡＫＥＲ(命中), Explode.wav
Ω・ＢＵＲＳＴ, 6;Sword.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
Ω・ＢＵＲＳＴ(命中), Slash.wav
Ω・ＢＵＳＴＥＲ(準備), Charge.wav
Ω・ＢＵＳＴＥＲ, Swing.wav
Ω・ＢＵＳＴＥＲ(命中), Slash.wav
ＭＵ・ＳＯ・Ｕ, Charge.wav
ゴージャスな指輪(命中), Punch.wav
ダイヤモンドシャワー, Whiz.wav
ダイヤモンドシャワー(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
プラチナプレッシャー, Whiz.wav
プラチナプレッシャー(命中), Sword.wav
