世界英雄
龍掌(命中), Punch.wav
烈光斬, Whiz.wav
烈光斬(命中), Slash.wav
疾風燕落とし(命中), Punch.wav
忍法光輪渦斬, 1;Swing.wav;1;Swing.wav;Swing.wav
忍法光輪渦斬(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
大武流烈光斬, 2;Whiz.wav;Whiz.wav
大武流烈光斬(命中), 2;Slash.wav;Slash.wav
光龍破(命中), Bazooka.wav
梵天閃光陣(命中), Combo.wav
白虎(命中), Punch.wav
烈風斬, Whiz.wav
烈風斬(命中), Slash.wav
龍翔投殺(命中), Shock(Low).wav
忍法風輪華斬, 1;Swing.wav;1;Swing.wav;Swing.wav
忍法風輪華斬(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
大武流烈風斬, 2;Whiz.wav;Whiz.wav
大武流烈風斬(命中), 2;Slash.wav;Slash.wav
炎龍破(命中), Bazooka.wav
爆炎咆哮弾, Breath.wav
爆炎咆哮弾(命中), Explode.wav
爆裂究極拳(命中), Explode.wav
龍落(命中), Shock(Low).wav
飛足刀(命中), FightHit(1).wav
龍閃撃(命中), FightHit(3).wav
百烈拳(命中), FastGun.wav
百烈蹴(命中), FastGun.wav
龍牙脚, Bow.wav
龍牙脚(命中), Explode.wav
神龍連環檄(命中), MicroMissile.wav
ビンタ(命中), Whip.wav
オーラバード, Whiz.wav
オーラバード(命中), Explode(Small).wav
スラッシュウィップ(準備), Reload(5).wav
スラッシュウィップ(命中), 2;Slash.wav;Slash.wav
バスタードバスター(命中), Slash.wav
エンジェルアロー, Missile.wav
エンジェルアロー(命中), Bazooka.wav
ファイヤーバード(命中), Breath.wav
蒙虎大砂塵(命中), Explode(Small).wav
蒙虎雷臀(命中), Shock(Low).wav
蒙虎穿山甲, Bow.wav
蒙虎穿山甲(命中), Shock(Low).wav
蒙虎覇極道, Bow.wav
蒙虎覇極道(命中), Bazooka.wav
蒙虎大発破, Breath.wav
蒙虎大発破(命中), Shock(Low).wav
超蒙虎爆炎弾(命中), Explode(Long).wav
プロレス殺法(命中), Shock(Low).wav
スーパードロップキック(命中), Warship.wav
マッスルホールド(命中), Shock(Low).wav
マッスルボンバー(命中), Bazooka.wav
トルネードブリーカー(命中), 8;Storm.wav;Crash.wav
ＳＤＧブリーカー(命中), Crash.wav
ブロッケンアーム(命中), 4;BreakOff.wav;Shock(Low).wav
スパークサンダー(命中), Thunder.wav
