ＴＯＬ
三連コンボ, 連打
魔神拳, 地表衝撃波
噴竜撃, アッパー
連牙弾, 乱打
輪舞旋風, 連続なぎ払い
魔神拳・双牙, 地表衝撃波;地表衝撃波
魔神拳・竜牙, 光噴出
爆竜拳, 連打;アッパー
鳳凰天駆, スーパーキック
礫岩迫落撃, タックル;アッパー;タックル;投げ飛ばし
礫岩迫落撃, タックル;連続なぎ払い;サマーソルト;投げ飛ばし
礫岩迫落撃, 連打;スーパーキック;投げ飛ばし
巨岩烈落撃, タックル;アッパー;タックル;ジャイアントスイング
巨岩烈落撃, タックル;連続なぎ払い;サマーソルト;ジャイアントスイング
巨岩烈落撃, 連打;スーパーキック;ジャイアントスイング
猛海閃追撃, タックル;アッパー;タックル;ブレーンバスター
猛海閃追撃, タックル;連続なぎ払い;サマーソルト;ブレーンバスター
猛海閃追撃, 連打;スーパーキック;ブレーンバスター
霧神禊追撃, タックル;アッパー;タックル;ブレーンバスター
霧神禊追撃, タックル;連続なぎ払い;サマーソルト;ブレーンバスター
霧神禊追撃, 連打;スーパーキック;ブレーンバスター
万物神追撃, タックル;アッパー;タックル;ジャイアントスイング
万物神追撃, タックル;連続なぎ払い;サマーソルト;ジャイアントスイング
万物神追撃, 連打;スーパーキック;ジャイアントスイング
魔神拳(解説), $(ユニット)は魔神拳で攻撃をかけた！
噴竜撃(解説), $(ユニット)は噴竜撃で攻撃をかけた！
連牙弾(解説), $(ユニット)は連牙弾で攻撃をかけた！
輪舞旋風(解説), $(ユニット)は輪舞旋風で攻撃をかけた！
魔神拳・双牙(解説), $(ユニット)は魔神拳・双牙で攻撃をかけた！
魔神拳・竜牙(解説), $(ユニット)は魔神拳・竜牙で攻撃をかけた！
爆竜拳(解説), $(ユニット)は爆竜拳で攻撃をかけた！
鳳凰天駆(解説), $(ユニット)は鳳凰天駆で攻撃をかけた！
礫岩迫落撃(解説), $(ユニット)は礫岩迫落撃で投げ飛ばした！
巨岩烈落撃(解説), $(ユニット)は巨岩烈落撃で投げ飛ばした！
猛海閃追撃(解説), $(ユニット)は猛海閃追撃で投げ飛ばした！
霧神禊追撃(解説), $(ユニット)は霧神禊追撃で投げ飛ばした！
万物神追撃(解説), $(ユニット)は万物神追撃で投げ飛ばした！
テルクェス(攻撃), 気斬
テルクェス(命中), 打撃
ファイアボール, キャノン砲 3
アイスウォール, 氷柱
インディグネイション, 落雷
グランドダッシャー, 光噴出 ピンク
ブリザード, 吹雪
シューティングスター(命中), ベアリング
トラクタービーム, 光柱
タイダルウェーブ, 津波
魔神剣, 地表衝撃波
疾風閃, 斬撃突撃
散沙雨, 連突
驟雨虎牙破斬, 連突;アッパー;キック
魔神剣・双牙, 地表衝撃波;地表衝撃波
ロングソード, 剣
昇舞, アッパー
神風閃, 斬撃突撃
秋沙雨, 連突
霧沙雨, 連突;連突
驟雨幻晶剣, 連突;回転斬撃
魔神剣・瞬牙, 地表衝撃波
紫電月影刃, 連続なぎ払い;乱打;刺突
魔神剣(解説), $(ユニット)は魔神剣で攻撃をかけた！
疾風閃(解説), $(ユニット)は疾風閃で攻撃をかけた！
散沙雨(解説), $(ユニット)は散沙雨で攻撃をかけた！
驟雨虎牙破斬(解説), $(ユニット)は驟雨虎牙破斬で攻撃をかけた！
魔神剣・双牙(解説), $(ユニット)は魔神剣・双牙で攻撃をかけた！
昇舞(解説), $(ユニット)は昇舞で攻撃をかけた！
神風閃(解説), $(ユニット)は神風閃で攻撃をかけた！
秋沙雨(解説), $(ユニット)は秋沙雨で攻撃をかけた！
霧沙雨(解説), $(ユニット)は霧沙雨で攻撃をかけた！
驟雨幻晶剣(解説), $(ユニット)は驟雨幻晶剣で攻撃をかけた！
魔神剣・瞬牙(解説), $(ユニット)は魔神剣・瞬牙で攻撃をかけた！
紫電月影刃(解説), $(ユニット)は紫電月影刃で攻撃をかけた！
ライトニング, 落雷
７６５kgハンマー, 木槌
サンダーブレード, エナジーブレード 黄
インブレイスエンド, 連気弾
ビッグバン(命中), オーラ 赤 Explode(Long).wav
シャボン玉, 泡
グレイブ, 石柱
ヴォルトアロー, 落雷
ファイアストーム, 火柱
エンシェントノヴァ(命中), オーラ 赤 Explode(Long).wav
狼破, 投げ槍
スピア, 投げ槍
孤心, 投げ槍
連破, 投げ槍;投げ槍
嵐陣, 矢連射
烈空, 投げ槍
狼王破, 投げ槍;投げ槍;投げ槍;投げ槍
虎砲, 中ビーム 赤
狼羽, 投げ槍
孤心烈空射, 投げ槍;投げ槍;投げ槍
小刀, ナイフ
苦無, 小柄
風雅, 斬撃乱舞
影縫い(攻撃), 小柄
影縫い(命中), 放電
浮雲, アッパー
飯綱落とし, 踏み潰し
鈴鳴, 乱打
狼破(解説), $(ユニット)は狼破で攻撃をかけた！
孤心(解説), $(ユニット)は孤心で攻撃をかけた！
連破(解説), $(ユニット)は連破で攻撃をかけた！
嵐陣(解説), $(ユニット)は嵐陣で攻撃をかけた！
烈空(解説), $(ユニット)は烈空で攻撃をかけた！
狼王破(解説), $(ユニット)は狼王破で攻撃をかけた！
虎砲(解説), $(ユニット)は虎砲で攻撃をかけた！
狼羽(解説), $(ユニット)は狼羽で攻撃をかけた！
孤心烈空射(解説), $(ユニット)は孤心烈空射で攻撃をかけた！
苦無(解説), $(ユニット)は苦無で攻撃をかけた！
風雅(解説), $(ユニット)は風雅で攻撃をかけた！
影縫い(解説), $(ユニット)は影縫いで攻撃をかけた！
浮雲(解説), $(ユニット)は浮雲で攻撃をかけた！
飯綱落とし(解説), $(ユニット)は飯綱落としで攻撃をかけた！
鈴鳴(解説), $(ユニット)は鈴鳴で攻撃をかけた！
アクアレイザー, 地表衝撃波
ブラッティハウリング, 重力弾
ブリリアントランス, 矢連射
ネガティブブレード, エナジーブレード 黒
イラプション, 火柱
メイルシュトローム, 竜巻
ゴッドプレス(命中), 爆撃
魔王拳, 地表衝撃波
拳, 格闘
爆砕撃, タックル
闘神冥界掌, ＭＡＰオーラ
冥界掌, オーラ
覇王爆砕撃, スーパータックル乱舞
闘神力爆投, タックル;サマーソルト;ブレーンバスター
武帝煉殺拳, 連突;アッパー;オーラ
魔王拳(解説), $(ユニット)は魔王拳で攻撃をかけた！
爆砕撃(解説), $(ユニット)は爆砕撃で攻撃をかけた！
闘神冥界掌(解説), $(ユニット)は闘神冥界掌で攻撃をかけた！
冥界掌(解説), $(ユニット)は冥界掌で攻撃をかけた！
覇王爆砕撃(解説), $(ユニット)は覇王爆砕撃で攻撃をかけた！
闘神力爆投(解説), $(ユニット)は闘神力爆投で攻撃をかけた！
武帝煉殺拳(解説), $(ユニット)は武帝煉殺拳で攻撃をかけた！
フレイムカッター, エナジーブレード 赤
紅蓮, 炎投射
百花繚乱, 虎
フレイムカッター(解説), $(ユニット)はフレイムカッターで攻撃をかけた！
紅蓮(解説), $(ユニット)は紅蓮で攻撃をかけた！
百花繚乱(解説), $(ユニット)は百花繚乱で攻撃をかけた！
ショートブレード, ショートソード 二刀流
