幕末機関説
月涙刀(陰の大太刀), 日本刀 発光
月涙刀・陰の大太刀, 日本刀 発光
月涙刀(陽の小太刀), 脇差 発光
月涙刀・陽の小太刀, 脇差 発光
柄頭(準備), 日本刀 発光
柄頭(攻撃), 刺突
柄頭(命中), 打撃
封印(準備), オーラ上昇 青 Hittyuu.wav;妖刀 発光
封印(攻撃), 急降下
封印(命中), 急降下 青 小 Saber.wav
封印(とどめ), @戦闘アニメ_大放電命中 青 Thunder.wav
馬針, クナイ
太刀, 日本刀
脇差, 脇差
長脇差, 脇差
鉤爪, クロー
車輪刃(準備), -
車輪刃(攻撃), 分銅
車輪刃(命中), 強風 Slash.wav
煙管, 吹き矢
琉球唐手, 打突
格闘, 格闘
レミントン・デリンジャー, 護身銃
レミントン・アーミー, リボルバー
二丁拳銃(準備), 振る武器 Weapon\EFFECT_Revolver01.bmp 32 Reload.wav 二刀流
二丁拳銃(攻撃), リボルバー;リボルバー
二丁拳銃(命中), 銃弾;銃弾
ショートソード(準備), ショートソード
ショートソード(攻撃), 刺突
ショートソード(命中), 刺突
ロングソード(準備), ソード
ロングソード(攻撃), 連突
ロングソード(命中), 連突
スローイングナイフ, 投げナイフ
ナイフ, ナイフ
ボウガン, クロスボウ
ダガー, カトラス
ハンドグレネード, 手榴弾
バンドルグレネード, 手榴弾
野太刀, 野太刀
地割剣(準備), 野太刀
地割剣(攻撃), 振り上げ;地表衝撃波 桃 遅 残像
地割剣(命中), 光振り上げ 桃 中
地割剣(とどめ), 縦分割
発破(準備), ダイナマイト
発破(攻撃), ダイナマイト;5;ボルトアクションライフル;3;煙 白 Explode.wav
発破(命中), 連続爆発;煙
リボルバー, リボルバー
ライフル, ボルトアクションライフル
鴉丸流古具足(準備), -
鴉丸流古具足(攻撃), スピンキック
鴉丸流古具足(命中), 打撃
疾風(準備), -
疾風(攻撃), 振り上げ;旋風 Wind.wav
疾風(命中), 旋風 Wind.wav
火袁流青龍刀, 青龍刀突撃
青龍刀投擲, 回転投擲武器 Weapon\EFFECT_SeiryuTou01.bmp 32
蜂須賀二刀流, 日本刀 二刀流
杖, 杖突撃
秘術(準備), -
秘術(攻撃), 魔法放射 白 Flash.wav 中
秘術(命中), 投げ飛ばし
呪縛(準備), -
呪縛(攻撃), 魔法放射 白 Flash.wav 中
呪縛(命中), -
三叉刃, サイ 二刀流
松明, 松明
昇降機(準備), -
昇降機(攻撃), 音再生 Door(Open).wav
昇降機(命中), 岩柱 Door(Close).wav 白
絞首鎖(準備), -
絞首鎖(攻撃), 音再生 Swing(2).wav
絞首鎖(命中), -


覇者の首
怨念(準備), -
怨念(攻撃), オーラ上昇 赤 Laugh(OldMan).wav 対象ユニットＩＤ;5;髑髏弾 赤 -.wav
怨念(命中), -
憑依(準備), -
憑依(攻撃), オーラ上昇 赤 Laugh(OldMan).wav 対象ユニットＩＤ;5;髑髏弾 赤 -.wav
憑依(命中), 大放電 赤
太刀, 日本刀
長柄(準備), ナギナタ
長柄(攻撃), 刺突
長柄(命中), 打撃
長巻, ナギナタ
昇降機(準備), -
昇降機(攻撃), 音再生 Door(Open).wav
昇降機(命中), 岩柱 Door(Close).wav 白
絞首鎖(準備), -
絞首鎖(攻撃), 音再生 Swing(2).wav
絞首鎖(命中), -
