ストリートファイター
地獄車(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;Shock(Low).wav
サイキョー流格闘術(命中), Punch.wav
バスタークロー(命中), Slash.wav
波動拳, Whiz.wav
波動拳(命中), Shock(Low).wav
竜巻旋風脚, 1;Swing.wav;1;Swing.wav;Swing.wav
竜巻旋風脚(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
灼熱波動拳, Whiz.wav
灼熱波動拳(命中), Fire.wav
昇龍拳(命中), Bazooka.wav
電刃波動拳, Whiz.wav
電刃波動拳(命中), Thunder.wav
真空竜巻旋風脚, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Storm.wav
真空竜巻旋風脚(命中), Combo.wav
双龍波動拳, FlyBy.wav
双龍波動拳(命中), Explode(Far).wav
滅殺真空波動拳,	Whiz.wav
滅殺真空波動拳(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav
龍閃脚(命中), Saber.wav
昇龍裂破(命中), 1;Punch.wav;1;Punch.wav;4;Punch.wav;1;Punch.wav;1;Punch.wav;4;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Shock(Low).wav
神龍拳(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;BShock(Low).wav
疾風迅雷脚(命中), Combo.wav
旋円蹴(命中), Punch.wav
気功拳, Whiz.wav
気功拳(命中), Shock(Low).wav
スピニングバードキック, 1;Swing.wav;1;Swing.wav;1;Swing.wav
スピニングバードキック(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
百裂脚(命中), Combo.wav
天昇脚(命中), 4;Punch.wav;1;Punch.wav;Punch.wav
気功掌(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav
