#
#　データ作成：ＧＡＭＥＭＡＳＴＥＲ
#
#　原作：三上龍哉／小学館

暴力課刑事
反射(延髄斬り), ;2;Swing.wav;2;Punch.wav
空手(命中), Punch.wav
ジェットアッパー(命中), ;2;Swing.wav;2;Punch.wav
大型リボルバー, Gun.wav
ツッコミ倍返し(命中), Shock(Low).wav
延髄斬り(命中), ;2;Swing.wav;2;Punch.wav
レポーター殺し(命中), FastGun.wav
体当たり, Bike.wav
体当たり(命中), Bazooka.wav
当て逃げ, Bike.wav
当て逃げ(命中), Bazooka.wav
当て逃げ(クリティカル), Bazooka.wav
飛び蹴り(命中), ;2;Swing.wav;2;Punch.wav
逆龍脚(命中), ;2;Swing.wav;2;BreakOff.wav
格闘(命中), Punch.wav
捕縛術(命中), FallDown.wav
次元粒子破壊砲(Ｍｉｎ), AntiAirMissile.wav
次元粒子破壊砲(Ｍａｘ), AntiShipMissile.wav
超小型核弾頭, Explode(Nuclear).wav

犯罪者
鉄の爪(命中), Slash.wav
マシンピストル, Gun.wav
マシンピストル(フルオート), MachineGun.wav
ブラスター, AntiAirMissile.wav
隠し刃(命中), Slash.wav
ナックルパンチ(命中), Punch.wav
ラリアット(命中), ;2;Swing.wav;FallDown.wav
アイアンクロー(命中), BreakOff.wav
パワースラム(命中), Shock(Low).wav
Ａバックブリーカー(命中), BreakOff.wav

