ゼルダの伝説
カギつめロープ, フックロープ
ブーメラン, ブーメラン
フックショット(攻撃), 実弾発射 Weapon\EFFECT_Kunai01.bmp Bow.wav 有線
フックショット(命中), 刺突
勇者の弓, 弓矢
勇者の剣, ショートソード
バクダン, 爆弾
氷の矢, 弓矢
氷の矢(命中), 凍結
炎の矢, 弓矢
炎の矢(命中), 炎
光の矢, 弓矢
光の矢(命中), 発光 黄
カウンター斬り(攻撃), 急降下
カウンター斬り(命中), 唐竹割り
ハンマー, ハンマー
大回転斬り(準備), 粒子集中 黄
大回転斬り, 斬撃乱舞
マスターソード, ソード
勇者の盾, スモールシールド
ミラーシールド, ミドルシールド
ミラーシールド(光反射)(準備), 振る武器 Shield\EFFECT_MiddleShield01.bmp
ミラーシールド(光反射), 発光 白 Flair.wav 対象ユニットＩＤ
大砲, キャノン砲
ハープ(準備), ハープ
ハープ, 発光 白 Flair.wav 対象ユニットＩＤ
トリックプレイ(準備), 弓;振る武器 Shield\EFFECT_MiddleShield01.bmp UnitID(風の勇者リンク)
トリックプレイ(攻撃), 音再生 Bow.wav;5;発光 黄 UnitID(風の勇者リンク);矢 UnitID(風の勇者リンク)
トリックプレイ(命中), 発光 黄
トリックプレイ(解説), $(ユニット)が放った光の矢を、リンクが盾ではね返した！
ツメ, 斬撃
火炎放射, 火炎放射
触手, 多触手 青
パンチ(命中), 超打 Crash.wav
砲弾, キャノン砲 1 速;キャノン砲 1 速;キャノン砲 1 速;キャノン砲 1 速
吹き飛ばし, 旋風
くちばし(命中), 刺突
突進, スーパータックル
呪いの体, タックル
カンテラ, 炎投射
幼生モルド, 蛇
腕(命中), 超打 Crash.wav
尻尾(攻撃), なぎ払い
尻尾(命中), 超打 Crash.wav
双剣, 黒剣 二刀流
体当たり, タックル
電気の体(攻撃), 放電 対象ユニットＩＤ
電気の体(命中), 放電
ボコの棒, 棒
剣, 青龍刀
槍, パイク
幼虫, 蜂
大剣, 大剣
光球, 光球 白
魔剣, 黒剣
拡散魔弾(攻撃), ８ＷＡＹ射出 BeamCoat.wav
拡散魔弾(命中), 粒子集中 黒;連続爆発
分身攻撃, 分身斬撃
金棒, メイス
回転攻撃(準備), メイス
回転攻撃(攻撃), 回転斬撃
回転攻撃(命中), 連打
火炎魔法, 炎投射
脚(命中), 超打 Crash.wav
渦(命中), 強風 Splash.wav
