
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Coin.bmp
#　EFFECT_TatolShell.bmp
#　EFFECT_Momonga.bmp
#　EFFECT_Skunk.bmp
#　EFFECT_Squirrel.bmp
#　EFFECT_WildBoar.bmp
#　EFFECT_Nightingale.bmp
#　EFFECT_Unicorn.bmp
#　EFFECT_AuraDragon,bmp
#　FF05_RemoraU.bmp
#　FF05_ChocoboU.bmp
#　FF05_CatoblepasU.bmp
#　FF05_TitanU.bmp
#　FF05_SivaU.bmp
#　FF05_RamuhU.bmp
#　FF05_EfreetU.bmp
#　FF05_SildraU.bmp
#　FF05_LeviathanU.bmp
#　FF05_OdeinU.bmp
#　FF05_BahamutU.bmp
#　FF05_GoremU.bmp
#　FF05_CarbuncleU.bmp
#　FF05_PhoenixU.bmp


ＦＦ５
マインゴーシュ, ナイフ
オリハルコン, ナイフ
マンイーター, ナイフ
アサシンダガー, ナイフ
アサシンダガー(クリティカル), 死神
ミスリルソード, ソード
眠りの剣, ショーテル
エンハンスソード, 剣
ディフェンダー, 大剣
エクスカリバー, 大剣
エクスカリパー, ソード
菊一文字, 日本刀
正宗, 日本刀
佐助の刀, 斬撃武器 Weapon\EFFECT_NinjaBlade01.bmp
パルチザン, ランス
ホーリーランス, スピア
オーガキラー, 片刃斧
ルーンアクス, 両刃斧
銀の弓矢, 弓
エルフィンボウ, 弓
与一の弓, 弓
円月輪, チャクラム
ツインランサー, ナギナタ
ロッド, 杖
リリスのロッド, 杖
ウィザードロッド, 杖
フレイル, フレイル
賢者の杖, 杖
チェンウィップ, 鞭
ファイアビュート, 鞭
ファイアビュート(クリティカル), 炎
夢の竪琴(準備), 竪琴
アポロンのハープ(準備), ハープ
ギヤマンの鐘, 殴打武器 Music\EFFECT_Bell01.bmp
大地のベル, 殴打武器 Music\EFFECT_Bell01.bmp
両手斬り(準備), 大剣
両手斬り(攻撃), 唐竹割り
両手斬り(命中), 唐竹割り
格闘, 格闘;格闘
けり, スーパーキック
カウンター, 連打
ためる, 粒子集中
盗む, タックル
ホーリー(準備), 発光
ディスペル(準備), 発光
サイレス(準備), 発光
コンフュ(準備), 発光
ケアルラ(準備), 発光
ケアルガ(準備), 発光
エスナ(準備), 発光
プロテス(準備), 発光
シェル(準備), 発光
リフレク(準備), 発光
バーサク(準備), 発光
ホーリー(命中), 光投射;発光
ディスペル(命中), 大電撃
サイレス(攻撃), 決め文字 黙 灰色
コンフュ(攻撃), 羽
ケアルラ(発動), 粒子集中 黄
ケアルガ(使用), 周囲回転 Light.bmp 32 Inori.wav 相手ユニットＩＤ 2
エスナ(発動), 光噴出 青
プロテス(発動), 発光 白
シェル(発動), 発光 黄
リフレク(発動), エネルギーフィールド展開
バーサク(発動), 光柱
ドレイン(準備), 魔法放射 緑
アスピル(準備), 魔法放射 緑
スリプル(準備), 魔法放射 緑
ブレイク(準備), 魔法放射 緑
デス(準備), 魔法放射 緑
ブリザド(準備), 魔法放射 緑
サンダー(準備), 魔法放射 緑
ファイア(準備), 魔法放射 緑
ブリザラ(準備), 魔法放射 緑
サンダラ(準備), 魔法放射 緑
ファイラ(準備), 魔法放射 緑
ブリザガ(準備), 魔法放射 緑
サンダガ(準備), 魔法放射 緑
ファイガ(準備), 魔法放射 緑
ポイズン(準備), 魔法放射 緑
バイオ(準備), 魔法放射 緑
フレア(準備), 魔法放射 緑
ドレイン(命中), 吸収 橙
アスピル(命中), 吸収 橙
スリプル(攻撃), 煙 緑
ブレイク(命中), 煙 白
デス(攻撃), 決め画像 EFFECT_Bloodcurdling03.bmp 相手ユニットＩＤ
ブリザド(命中), 吹雪
サンダー(命中), 電撃
ファイア(命中), 炎
ブリザラ(命中), 凍結
サンダラ(命中), 球電
ファイラ(命中), 飛沫 赤
ブリザガ(命中), つらら
サンダガ(命中), 大落雷
ファイガ(命中), 発光 赤
ポイズン(命中), 光噴出 緑
バイオ(攻撃), 煙噴射 緑
フレア(攻撃), 粒子集中 赤 相手ユニットＩＤ
フレア(命中), 発光 赤;粒子噴射 赤
ゴブリンパンチ(準備), オーラ上昇 白
タイムスリップ(準備), オーラ上昇 白
マジックハンマー(準備), オーラ上昇 白
ガードオファ(準備), オーラ上昇 白
黒の衝撃(準備), オーラ上昇 白
針千本(準備), オーラ上昇 白
吸血(準備), オーラ上昇 白
死の宣告(準備), オーラ上昇 白
フラッシュ(準備), オーラ上昇 白
アクアブレス(準備), オーラ上昇 白
エアロ(準備), オーラ上昇 白
エアロラ(準備), オーラ上昇 白
エアロガ(準備), オーラ上昇 白
ミサイル(準備), オーラ上昇 白
火炎放射(準備), オーラ上昇 白
デスクロー(準備), オーラ上昇 白
マインドブラスト(準備), オーラ上昇 白
？？？？(準備), オーラ上昇 白
月の笛(準備), オーラ上昇 白
融合(準備), オーラ上昇 白
ホワイトウインド(準備), オーラ上昇 白
ゴブリンパンチ(攻撃), 打突
ゴブリンパンチ(命中), 連打
タイムスリップ(命中), 時間逆行
マジックハンマー(攻撃), 決め画像 EFFECT_PicopicoHammer01.bmp 相手ユニットＩＤ
マジックハンマー(命中), 振り下ろし
ガードオファ(攻撃), 発光 緑
黒の衝撃(命中), ダメージ
針千本(攻撃), ニードル連射
針千本(命中), ニードル連射
吸血(命中), 吸収 黒
死の宣告(命中), 炎 青
死の宣告(クリティカル), 死神
フラッシュ(攻撃), ＭＡＰ発光
アクアブレス(攻撃), 泡
エアロ(攻撃), 風
エアロ(命中), 風
エアロラ(攻撃), 風
エアロラ(命中), 発光 緑
エアロガ(攻撃), 強風
エアロガ(命中), 強風
ミサイル(攻撃), ミサイル 1
ミサイル(命中), 小爆発
火炎放射(攻撃), 火炎放射
火炎放射(命中), 火炎放射
デスクロー(命中), 旋風 黒
マインドブラスト(命中), 発光 白
？？？？(命中), デフォルト
月の笛(発動), 光柱
融合(発動), 回復魔法泡
ホワイトウインド(発動), 風
ブレイク剣(準備), 魔法集中 白
ドレイン剣(準備), 魔法集中 橙
アスピル剣(準備), 魔法集中 橙
バイオ剣(準備), 魔法集中 緑
サンダー剣(準備), 落雷
ファイア剣(準備), 炎
ブリザド剣(準備), 凍結
ホーリー剣(準備), 発光
フレア剣(準備), 粒子集中 赤
フレア剣乱れ撃ち(準備), 粒子集中 赤
ブレイク剣(攻撃), 斬撃
ドレイン剣(攻撃), 斬撃
アスピル剣(攻撃), 斬撃
バイオ剣(攻撃), 斬撃
サンダー剣(攻撃), 斬撃
ファイア剣(攻撃), 斬撃
ブリザド剣(攻撃), 斬撃
ホーリー剣(攻撃), 斬撃
フレア剣(攻撃), 斬撃
フレア剣乱れ撃ち(攻撃), 斬撃
ブレイク剣(命中), エナジーカッター ホワイト
ドレイン剣(命中), エナジーカッター ブラック
アスピル剣(命中), エナジーカッター オレンジ
バイオ剣(命中), 炎斬撃 グリーン
サンダー剣(命中), 炎斬撃 イエロー
ファイア剣(命中), 炎斬撃
ブリザド剣(命中), 炎斬撃 ブルー
ホーリー剣(命中), 炎斬撃 ホワイト
フレア剣(命中), 炎斬撃 レッド
フレア剣乱れ撃ち(命中), 斬撃乱舞
ミュート(準備), 魔法放射 白
ストップ(準備), 魔法放射 白
