ＲＰＧツクール３
木のこん棒, 棍棒
鉄のこん棒, 殴打武器 DGoods\EFFECT_MetalButt01.bmp 32
伝説のこん棒, 殴打武器 DGoods\EFFECT_NailButt01.bmp 32 二刀流
最後なこん棒, 棍棒 二刀流
伝説のこん棒<追加攻撃>, 殴打武器 DGoods\EFFECT_NailButt01.bmp 32
あやしい花粉(準備), -
あやしい花粉(攻撃), @ＳＰアニメ_集中 相手ユニット 相手ユニット
あやしい花粉(命中), -
カチカチやま(準備), -
カチカチやま(攻撃), 白兵武器;文字発射 !? 白
カチカチやま(命中), 炎
ながれ星, 流星
果汁１００％(使用), @戦闘アニメ_薬品準備 赤
果汁１００％(発動), 回復魔法泡
青ジル１００％(使用), -
青ジル１００％(発動), @戦闘アニメ_周囲回転命中 Common\EFFECT_Heart01.bmp Sharara.wav
ゆうき１００倍(使用), オーラ 水色 Applause.wav
ゆうき１００倍(発動), -
ネンネンネンネン(準備), -
ネンネンネンネン(攻撃), 会話 壁の穴ポール "ネンネンネンネン" 固定;眼球 紫 Choras.wav
ネンネンネンネン(命中), -
ランラランララン(準備), -
ランラランララン(攻撃), 会話 壁の穴ポール "ランラランララン" 固定;音波 緑 Slap(2).wav
ランラランララン(命中), -
ダルダルダル～♪(準備), -
ダルダルダル～♪(攻撃), 会話 壁の穴ポール "ダルダルダル～♪" 固定;音波 緑 Slap(2).wav
ダルダルダル～♪(命中), -
吹き矢, 吹き矢
オコッタデスヨ(準備), -
オコッタデスヨ(攻撃), 会話 壁の穴ポール "オコッタデスヨ" 固定;シュートカッター 緑 Car(Pass).wav
オコッタデスヨ(命中), シュートカッター 緑
ヤルデスヨ(準備), -
ヤルデスヨ(攻撃), 会話 壁の穴ポール "ヤルデスヨ" 固定;シュートカッター 緑;シュートカッター 緑
ヤルデスヨ(命中), シュートカッター 緑;シュートカッター 緑
ブッチ～ン！(準備), -
ブッチ～ン！(攻撃), 会話 壁の穴ポール "ブッチ～ン！" 固定;複数画像投射 画像ファイル=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp Swing.wav
ブッチ～ン！(命中), @戦闘アニメ_１００ｔ分銅攻撃 1;ダメージ Crash.wav
ガッチ～ン！(準備), -
ガッチ～ン！(攻撃), 会話 壁の穴ポール "ガッチ～ン！" 固定;複数画像投射 画像ファイル=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp Swing.wav
ガッチ～ン！(命中), @戦闘アニメ_複数画像投下攻撃 画像ファイル=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp=DGoods\EFFECT_100tWeight01.bmp Bomb.wav;ダメージ Crash.wav
ゲンキダスデスヨ(使用), 回転 Swing.wav 1 速
ゲンキダスデスヨ(発動), 会話 壁の穴ポール "ゲンキダスデスヨ" 固定;@戦闘アニメ_周囲回転命中 Common\EFFECT_Heart01.bmp Sharara.wav
モットダスデスヨ(使用), 回転 Swing.wav 1 速
モットダスデスヨ(発動), 会話 壁の穴ポール "モットダスデスヨ" 固定;@戦闘アニメ_周囲回転命中 Common\EFFECT_Heart01.bmp Sharara.wav 3
ドクドクナオ～ル(使用), 回転 Swing.wav 1 速
ドクドクナオ～ル(発動), 会話 壁の穴ポール "ドクドクナオ～ル" 固定;@戦闘アニメ_音波攻撃 緑 Flash.wav
オキテクダサイ！(使用), 回転 Swing.wav 1 速
オキテクダサイ！(発動), 会話 壁の穴ポール "オキテクダサイ！" 固定;@戦闘アニメ_周囲回転命中 Creature\EFFECT_Angel02.bmp 3 Sharara.wav
アイアンクロー, 爪
乱舞の爪(準備), 爪 橙
乱舞の爪(攻撃), 爪 橙;白兵連撃 橙;白兵武器 橙
乱舞の爪(命中), 爪撃 橙 連続
必殺の爪, 爪 桃
ネコだまし(準備), -
ネコだまし(攻撃), 発光 黄色
ネコだまし(命中), -
ネコまっしぐら！(準備), -
ネコまっしぐら！(攻撃), スーパータックル 白 Cat.wav
ネコまっしぐら！(命中), スーパータックル 白
ススーヤ, -
ドド～ン！, キャノン砲
ドッゴ～ン！！, 大キャノン砲
四本の腕, 連打
シールド防御(四本の腕), シールド防御 Hand\EFFECT_Punch(White)02.bmp 32 四本の腕
総攻撃, 斬撃乱舞
