
武者頑駄無
武久丸(準備), 日本刀
武久丸(攻撃), 斬撃
武久丸(命中), 斬撃
種子島雷威銃, 火縄銃
斬波剣(準備), 日本刀
斬波剣(攻撃), 振り下ろし
斬波剣(命中), 唐竹割り
鉄カブトアタック(準備), -
鉄カブトアタック(攻撃), ヘッドバット
鉄カブトアタック(命中), 超打
鳳凰剣(準備), 扇子
鳳凰剣(攻撃), 斬撃
鳳凰剣(命中), 斬撃
新鳳凰(準備), クロスボウ
新鳳凰(攻撃), クロスボウ
新鳳凰(命中), 爆発
閃光剣(準備), 振る武器 Weapon\EFFECT_Nodachi01.bmp 発光
閃光剣(攻撃), なぎ払い
閃光剣(命中), 超斬撃
巨大目牙砲, ２連中ビーム イエロー
大目牙砲, ２連中ビーム イエロー
巨大大目牙砲, 大ビーム イエロー;大ビーム イエロー
超鳳凰(準備), 変形 SDGM_HyperPhoenix.bmp
超鳳凰(攻撃), 急降下
超鳳凰(命中), 急降下
日輪剣, 日本刀
太陽砲, 拡散ビーム イエロー
鳳凰銃, バズーカ Weapon\EFFECT_CrossBow01.bmp
武者フォートレス(準備), 変形 SDGM_MusyaFortress.bmp
武者フォートレス(攻撃), 打撃突撃
武者フォートレス(命中), 打撃突撃
頭火砲(準備), 魔法集中 桃
頭火砲(攻撃), 大ビーム グリーン
頭火砲(命中), 超爆発
宝剣「魔破剣」, 剣
烈風丸, 日本刀
薙刀(荒烈駆主), ナギナタ 二刀流
薙刀(荒烈駆主)(攻撃), なぎ払い;斬撃
薙刀(荒烈駆主)(命中), なぎ払い;大斬撃
大目牙種子島, 長筒
銀河斬り(準備), 日本刀
銀河斬り(攻撃), 斬撃
銀河斬り(命中), 大斬撃
地神剣, ソード
地神剣(攻撃), 斬撃
地神剣(命中), 斬撃
心眼石ビーム, 小ビーム ピンク
大目牙スペシャル, 長筒
陽炎斬り(準備), ソード
陽炎斬り(攻撃), 魔法集中 緑;斬撃
陽炎斬り(命中), 炎斬撃 グリーン
魂戦闘機(準備), 鳩
魂戦闘機(攻撃), 鳩
魂戦闘機(命中), 打撃
時空砲, ２連中ビーム
鳳凰砲, ビームライフル
武神剣(準備), 日本刀
武神剣(攻撃), 斬撃
武神剣(命中), 斬撃
超破大目牙砲, ２連中ビーム ピンク
超破荒断駆, スーパータックル ブルー
超破鳳凰(準備), 変形 SDGM_SuperPhoenix.bmp
超破鳳凰(攻撃), 打撃突撃
超破鳳凰(命中), 打撃突撃
羅武駄, 火縄銃
天神剣(準備), ソード
天神剣(攻撃), 斬撃
天神剣(命中), 斬撃
海嘯斬り(準備), ソード
海嘯斬り(攻撃), 魔法集中 赤;斬撃
海嘯斬り(命中), 炎斬撃 レッド
羅武駄スペシャル, 火縄銃
天光剣(準備), ソード
天光剣(攻撃), 斬撃
天光剣(命中), 斬撃
天光斬(準備), ソード
天光斬(攻撃), 斬撃
天光斬(命中), 斬撃
雷撃針, ニードルレーザー連射 オレンジ
飛翔の剣(準備), フランベルジュ
飛翔の剣(攻撃), 斬撃
飛翔の剣(命中), 斬撃
神秘の槍(準備), さす又
神秘の槍(攻撃), 刺突
神秘の槍(命中), 刺突
瞬発の銃(準備), スーパーキャノン
瞬発の銃(攻撃), 中ビーム オレンジ
瞬発の銃(命中), 中ビーム オレンジ
羅武駄大目牙(準備), ビームライフル
羅武駄大目牙(攻撃), 中ビーム ピンク
羅武駄大目牙(命中), 中ビーム ピンク
大光破, 魔法集中 白;必殺光線 ホワイト
隼王神(準備), フランベルジュ
隼王神(攻撃), 斬撃
隼王神(命中), 斬撃
龍王神(準備), さす又
龍王神(攻撃), 刺突
龍王神(命中), 刺突
獅王神(準備), スーパーキャノン
獅王神(攻撃), 中ビーム オレンジ
獅王神(命中), 中ビーム オレンジ
大鳳凰(準備), 変形 SDGM_DaiPhoenix.bmp
大鳳凰(攻撃), 打撃突撃
大鳳凰(命中), 拡散ビーム ピンク;大ビーム ピンク;突く武器突撃 -.bmp
薙雷威銃【斬撃】(準備), 突く武器 Weapon\EFFECT_CrossBow01.bmp
薙雷威銃【斬撃】(攻撃), 振る武器突撃 Weapon\EFFECT_CrossBow01.bmp
薙雷威銃【斬撃】(準備), 刺突
薙雷威銃【射撃】, クロスボウ
頑鉄(準備), 日本刀
頑鉄(攻撃), 斬撃
頑鉄(命中), 斬撃
閃裂槍, ナギナタ
頑ショット, クロスボウ
ガトリング砲, 重機関砲
ハリマオスペシャル(準備), 虎召喚 白;変形 SDGM_ShoGundam(HarimaoSP)U.bmp Sword.wav
ハリマオスペシャル(攻撃), タックル
ハリマオスペシャル(命中), 強打
電流魂, 火縄銃
鬼火斬り(準備), ソード
鬼火斬り(攻撃), 魔法集中 青;斬撃
鬼火斬り(命中), 雷斬撃
竜青(準備), 日本刀
竜青(攻撃), 斬撃
竜青(命中), 斬撃
厳戒の弓(準備), 弓
厳戒の弓(攻撃), 弓矢
厳戒の弓(命中), 矢;粒子噴射
麒麟の弓矢(準備), 弓
麒麟の弓矢(攻撃), 弓矢
麒麟の弓矢(命中), 矢;粒子噴射
邪滅の矢(準備), 弓
邪滅の矢(攻撃), 弓矢
邪滅の矢(命中), 矢;粒子噴射
邪滅破(準備), 弓
邪滅破(攻撃), 弓矢
邪滅破(命中), 矢;粒子噴射
心眼撃ち(準備), 弓
心眼撃ち(攻撃), 弓矢;ロックオン
心眼撃ち(命中), 矢;粒子噴射
種子島連発銃, 火縄銃
双翼剣, 日本刀 二刀流
木の葉吹雪(準備), 日本刀 二刀流
木の葉吹雪(攻撃), 円月殺法 緑;木の葉乱舞;斬撃 二刀流
木の葉吹雪(命中), ダブル大斬撃
対扇子龍(準備), -
対扇子龍(攻撃), ６ＷＡＹ射出
対扇子龍(命中), オールレンジ
村正(準備), 日本刀
村正(攻撃), 斬撃
村正(命中), 斬撃
片穂槍(準備), 和槍
片穂槍(攻撃), 刺突
片穂槍(命中), 刺突
流星剣(準備), 日本刀
流星剣(攻撃), 斬撃
流星剣(命中), 斬撃
彗星戟(準備), 和槍
彗星戟(攻撃), 刺突
彗星戟(命中), 刺突
武者飛竜(準備), 落雷;放電;変形 SDGM_MusyaHiryuuU.bmp
武者飛竜(攻撃), スーパータックル ブルー
武者飛竜(命中), 落雷
日輪丸(準備), 日本刀
日輪丸(攻撃), 斬撃
日輪丸(命中), 斬撃
忍刀・月光(準備), 忍者刀
忍刀・月光(攻撃), 斬撃
忍刀・月光(命中), 斬撃
種子島連射砲, マシンガン Weapon\EFFECT_MatchlockGun01.bmp
武者スピリット(準備), -
武者スピリット(攻撃), １ＷＡＹ射出
武者スピリット(命中), 噛み付き
アニマルスピリット(準備), -
アニマルスピリット(攻撃), １ＷＡＹ射出
アニマルスピリット(命中), 噛み付き
忍愚魔種子島, ビームライフル Weapon\EFFECT_MatchlockGun01.bmp
剛力丸(準備), 日本刀
剛力丸(攻撃), 斬撃
剛力丸(命中), 斬撃
拝覇大筒(準備), 大筒
拝覇大筒(攻撃), 手持ち発射 Weapon\EFFECT_MatchlockCannon01.bmp 32 Bullet\EFFECT_Cannon01.bmp 32
拝覇大筒(命中), 爆発
吠目牙砲(準備), 粒子集中;粒子集中;粒子集中
吠目牙砲(攻撃), ＭＡＰビーム ピンク
吠目牙砲(準備), ＭＡＰビーム ピンク
炎上波(準備), 粒子集中;粒子集中;粒子集中
炎上波(攻撃), 火炎放射
炎上波(命中), 火炎放射
竜砲, バズーカ Weapon\EFFECT_DragonGun01.bmp
武者バイソン(準備), 変形 SDGM_MusyaBisonU.bmp
武者バイソン(攻撃), タックル
武者バイソン(命中), 打撃
仕込み刀(準備), ショートソード
