
汎用
光の小太刀, Swing.wav
光の小太刀(命中), Saber.wav
ギロチンアクス, Swing.wav
ギロチンアクス(命中), Shock(Low).wav
風神剣, 3;Swing.wav;Swing.wav
風神剣(命中), 3;Saber.wav;Stab.wav
火竜剣, Swing.wav
火竜剣(命中), 3;Saber.wav;Fire.wav
死神の鐘, Swing.wav
死神の鐘(命中), Punch.wav
天使のラッパ, Swing.wav
天使のラッパ(命中), Punch.wav
ストラディバリ, Swing.wav
ストラディバリ(命中), Punch.wav
火之迦具土, Swing.wav
火之迦具土(命中), 2;Stab.wav;Fire.wav
火之迦具土(クリティカル), Shock(Low).wav
ギガスマッシャー, 5;Charge.wav;7;Bazooka.wav;10;Explode(Nuclear).wav
プラズマソード, Swing.wav
プラズマソード(命中), 
レールガン, Bazooka.wav
レールガン(命中), Shock(Low).wav
メギドファイヤ, AntiAirMissile.wav
ピースメイカー, Gun.wav
天御剣, Swing.wav
天御剣(命中), 3;Stab.wav;Slash.wav
倶利伽羅の剣, Swing.wav
倶利伽羅の剣(命中), 3;Stab.wav;Slash.wav

デビルサマナー
ベレッタ９２Ｆ, Gun.wav
Ｍ１６ライフル, MachineGun.wav
将門の刀, Swing.wav
将門の刀(命中), 3;Stab.wav;Slash.wav

デビルバスター
マチェット, Swing.wav
マチェット(命中), Slash.wav
スパイクロッド, Swing.wav
スパイクロッド(命中), Punch.wav
ミョルニル, Swing.wav
ミョルニル(命中), Crash.wav
銘刀虎鉄, Swing.wav
銘刀虎鉄(命中), Slash.wav
コルトS.A.A., Gun.wav
コルトパイソン, Gun.wav
Ｍ２４９ミニミ, MachineCannon.wav
ＳＰＡＳ１２, Gun.wav
ＭＰ５マシンガン, MachineGun.wav
アギ, Fire.wav
アギラオ, Fire.wav
マハラギ, 2;Fire.wav;2;Fire.wav;Fire.wav
マハラギオン, 2;Fire.wav;2;Fire.wav;2;Fire.wav;Fire.wav
マハラギダイン, 2;Fire.wav;2;Fire.wav;2;Fire.wav;2;Fire.wav;Fire.wav
ザン, AntiAirMissile.wav
ザン(命中), Bazooka.wav
ザンマ, AntiAirMissile.wav
ザンマ(命中), Bazooka.wav
マハザン, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザン(命中), 2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
マハザンマ, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザンマ(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
