

##############################
##########エフェクト##########
##############################

##########ＡＭＰメンバー##########

ＡＭＰ隊員
スタンスティック, Swing.wav
ブラスター, Beam.wav
剣皇グロスポリナー, Slash.wav ; 5 ; Sword.wav
浄化の魔法陣, Drill.wav
精霊召喚, Beam.wav
惑星霊召喚,Beam.wav
天空の扉, Beam.wav
グラビトン, Drill.wav;10;Bazooka.wav
ダッシュアタック, Crash.wav
グラビトンランチャー, Cannon.wav
サイコキネシス, Beam.wav
サイキックブラスト, Beam.wav
護り刀, Slash.wav
御札, Saber.wav
若水, Glass.wav
白の虎刀, Slash.wav
麒麟撃, Thunder.wav
ワーム, Type.wav
結界, Drill.wav
風水, Beam.wav
剣帝ジェッソ, Slash.wav ; 5 ; Sword.wav
龍脈撃放, Explode(Far).wav
ジェッソ完全解放, Explode(Far).wav
魔幻星の鉄槌, Thunder.wav
呪言, Beam.wav
真言, Beam.wav

スピナー
ブラスター, Beam.wav
ミニガン, MachineGun.wav
結界子弾, Bazooka.wav;5;Bazooka.wav;5;Bazooka.wav
マイクロミサイル, Missile.wav;5;Missile.wav;5;Missile.wav
ＡＴＭ, AntiAirMissile.wav;5;AntiAirMissile.wav;5;AntiAirMissile.wav
一斉射撃, MultipleRocketLauncher.wav
グラビトン, Drill.wav;10;Bazooka.wav
大口径ブラスター, Laser.wav

母艦
ブラスター, Beam.wav
ミニガン, MachineGun.wav
結界子弾, Bazooka.wav;5;Bazooka.wav;5;Bazooka.wav
マイクロミサイル, Missile.wav;5;Missile.wav;5;Missile.wav
ＡＴＭ, AntiAirMissile.wav;5;AntiAirMissile.wav;5;AntiAirMissile.wav
一斉射撃, MultipleRocketLauncher.wav
グラビトン, Drill.wav;10;Bazooka.wav
大口径ブラスター, Laser.wav
