ディーバ
爪, 爪撃
流水弾, 気弾
竜斬鱗, 斬撃突撃
流水弾乱れ撃ち, 連気弾
火炎放射, 火炎放射 AntiShipMissile.wav
炎竜焼牙, 竜炎 赤 燃焼
水竜斬刃(準備), 魔法集中 青
水竜斬刃(攻撃), ８ＷＡＹ射出
水竜斬刃(命中), 斬撃乱舞
水竜渦動衝, スピンジャンプアタック 青
合体水竜渦動衝, スピンジャンプアタック 青
炎の暴走(命中), 火柱
水の刃, シュートカッター 青
円月水裂輪(準備), 魔法集中 青;回転投擲武器 Bullet\EFFECT_BeamRingCutter(Blue)01.bmp
円月水裂輪(攻撃), 回転投擲武器 Bullet\EFFECT_BeamRingCutter(Blue)01.bmp
円月水裂輪(命中), 超斬撃
円月水裂輪(とどめ), 横分割
氷霧円舞, 吹雪
氷霧円舞(クリティカル), 凍結
海竜王奥義, ＭＡＰビーム 白
最後っ屁, 煙噴射 黄
針, ニードル連射
大車輪針(攻撃), サマーソルト
大車輪針(命中), ニードル連射
飛転斬鱗, 棘鉄球投擲
竜騎槍鱗, ランス突撃
豪炎流星雨(攻撃), 隕石;隕石;隕石;隕石;ＭＡＰ大爆発
屈折率操作, 怨霊召喚
閃射炎弾, 火炎弾;火炎弾;火炎弾;火炎弾
スパイラルシェイカー, 津波
転身貫通撃(準備), スピンアタック
転身貫通撃(攻撃), スピンアタック
転身貫通撃(とどめ), 貫通穴
千の軍団(命中), 超打
焦熱結界, ＭＡＰフラッシュ
原初の火, 炎長距離
マグマ, 地表衝撃波 赤
マグマ(MAP), ＭＡＰ地表衝撃波 赤
炎の剣(準備), ハイパービームサーベル 赤
炎の剣(攻撃), 振り下ろし
炎の剣(命中), 炎斬撃
かぎ爪, 爪撃
熱羽豪嵐(準備), 羽
熱羽豪嵐(攻撃), 旋風 赤
熱羽豪嵐(命中), 旋風 赤
火炎陣, ＭＡＰ炎
触手, 多触手 オレンジ
触手噛みつき(攻撃), 多触手 オレンジ
触手噛み付き(命中), 噛み付き
ドリルファング(準備), 南蛮棒
ドリルファング(攻撃), 南蛮棒突撃
ドリルファング(命中), 噛み付き
アイボール(準備), 眼球 赤
アイボール(攻撃), 実弾発射 BodyParts\EFFECT_EyeBall(Red)01.bmp
アイボール(命中), 打撃
突風(命中), 強風
気流刃, シュートカッター
スパイククロー, スーパーキック
風威・墜砕渦動流(攻撃), 旋風 白
風威・墜砕渦動流(命中), 旋風 白
雹嵐撃砕射(準備), 吹雪
雹嵐撃砕射(攻撃), ベアリング
雹嵐撃砕射(命中), ベアリング;爆撃
吸血舌, 舌
吸血舌(クリティカル), 吸収
吸精銛(攻撃), 多触手
吸精銛(命中), 乱突
岩断剣, 仕込み刃 二刀流
炎のたてがみ, 炎投射
メダマウマー, しもべ Unit\BDN_Medamaumer.bmp 40
牙からの火炎(命中), 噛み付き;火柱
炎騎突撃衝(準備), 炎
炎騎突撃衝(攻撃), スーパータックル 赤
炎騎突撃衝(命中), 大爆発;火柱
怪力, 投げ飛ばし
怪力, 格闘
放電(攻撃), 放電
裂空裁迅槌(準備), 落雷
裂空裁迅槌(攻撃), 大電撃
裂空裁迅槌(命中), 大放電

水魔神ディーナ
分身, 緊急テレポート Shore.wav 


炎魔神ギレウス
炎竜焼牙, 竜炎 黒 燃焼
