#アリアンロッド・エフェクトデータ#
#-----------------------------------------------------------------------------
アリアンロッド
格闘, Punch.wav
格闘(命中), FightHit(1).wav
ファイアボルト, Cannon.wav
ファイアボルト(命中), Explode.wav
トリプルブロウ, Punch(3).wav
トリプルブロウ(命中), 1;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav
ヴァイタルフォース, Warship.wav
ヴァイタルフォース(命中), Explode.wav
ウォータースピア, Splash.wav
ウォータースピア(命中), Shock(Low).wav
ストームガスト, Storm.wav
ストームガスト(命中), Storm.wav
ロングボウ, Bow.wav
ロングボウ(命中), Stab.wav
ロングレンジショット(矢)(準備), Reload(2).wav
ロングレンジショット(矢), Bow.wav
ロングレンジショット(矢)(命中), Stab.wav
ダブルショット(矢), 2;Bow.wav;2;Bow.wav
ダブルショット(矢)(命中), 2:Stab.wav;2;Stab.wav
ブルズアイ(矢)(準備), Reload(2).wav
ブルズアイ(矢), 2;Hittyuu.wav;5;Bow.wav
ブルズアイ(矢)(命中), Stab.wav
ＬＲブルズアイ(矢)(準備), Reload(2).wav
ＬＲブルズアイ(矢), 2;Hittyuu.wav;5;Bow.wav
ＬＲブルズアイ(矢)(命中), Stab.wav
グレートソード, Swing.wav
グレートソード(命中), Slash.wav
ヒール, Hittyuu.wav
プロテクション, BeamSaber.wav
攻撃無効化(プロテクション), BeamCoat.wav
ロッド, Swing.wav
ロッド(命中), FightHit(1).wav
マジックフォージ(準備), Charge.wav
マジックフォージ, Shock(Echo).wav
マジックフォージ(命中), Explode(Nuclear).wav
ホーリーライト, Beam.wav
ホーリーライト(命中), Explode.wav
ボルテクスアタック, Swing.wav
ボルテクスアタック(命中), Crash.wav
マスケット銃(準備), Reload.wav
マスケット銃, Rifle.wav
マスケット銃(命中), Explode(Small).wav
スマッシュ, Swing.wav
スマッシュ(命中), Crash.wav
スマッシュ(拳), Swing.wav
スマッシュ(拳)(命中), Crash.wav
バグナウ, Punch.wav
バグナウ(命中), FightHit(1).wav
バッシュ, Swing.wav
バッシュ(命中), Crash.wav
トルネードブラスト(準備), Charge.wav
トルネードブラスト, Storm.wav
トルネードブラスト(命中), Slash.wav
インヴィジブルアタック, Hittyuu.wav
バッシュ(矢), Bazooka.wav
バッシュ(矢), Stab.wav
ライトメイス, Swing.wav
ライトメイス(命中), FightHit(1).wav
レイズ, 回復魔法 Hittyuu.wav
メイジスタッフ, Swing.wav
メイジスタッフ(命中), FightHit(1).wav
アークスタッフ, Swing.wav
アークスタッフ(命中), FightHit(1).wav
サモン・ファーヴニル(準備), 1;BeamSaber.wav;4;Roar.wav
サモン・ファーヴニル, Breath.wav
サモン・ファーヴニル(命中), Explode.wav
ホーリーウェポン, BeamCoat.wav
ファイアウェポン, BeamCoat.wav
アースウェポン, BeamCoat.wav
コンセントレイション, Flair.wav
フライト, Wind.wav
ポーション, 2;Swing.wav;5;Chaf.wav
ＭＰポーション, 2;Swing.wav;5;Chaf.wav
エアリアルスラッシュ, Whiz.wav
エアリアルスラッシュ(命中), Slash.wav
フェイント(短剣), Swing.wav
フェイント(短剣)(解説), $(パイロット)は、相手の隙を狙って斬りつけた
フェイント(短剣)(命中), Slash.wav
バゼラード, Swing.wav
バゼラード(命中), Slash.wav
ディスコード, Sharara.wav
ディスコード(命中), -
ダガー, Swing.wav
ダガー(命中), Slash.wav
ジョイフル・ジョイフル, Sharara.wav
キャリバー, Gun.wav
キャリバー(命中), Explode(Small).wav
ガンパード(準備), Reload.wav
ガンパード, 2;Gun.wav;4;Gun.wav
ガンパード(命中), 2;Explode(Small).wav;4;Explode(Small).wav
バーストブレイク, Explode(Nuclear).wav
バーストブレイク(命中), Explode.wav
ヴァイオレントウィンド, Storm.wav
ヴァイオレントウィンド(命中), Slash.wav
忍者刀, Swing.wav
忍者刀(命中), Slash.wav
アンビデクスタリティ, Swing.wav
アンビデクスタリティ(命中), Slash.wav
ソードダンス, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ダンシングヒーロー, Applause.wav
ジャンプ(ブリンク), BeamSaber.wav
親の形見のﾊﾝﾄﾞｸﾞﾚﾈｰﾄﾞ, 2;Missile.wav;5;Explode(Far).wav
親の形見のﾊﾝﾄﾞｸﾞﾚﾈｰﾄﾞ(命中), Explode.wav
虎鉄, Swing.wav
虎鉄(命中), Slash.wav
菊一文字, Swing.wav
菊一文字(命中), Slash.wav
レイジ(準備), Hittyuu.wav
レイジ, Jet.wav
レイジ(命中), Slash.wav
ハイパーモード(バーサーク), Charge(High).wav
跳び蹴り, Swing.wav
跳び蹴り(命中), FightHit(1).wav
ライフル(準備), Reload.wav
ライフル, Rifle.wav
ライフル(命中), Explode(Small).wav
フェイント(マ)(準備), 2;Reload.wav;4;Reload.wav
フェイント(マ), Rifle.wav
フェイント(マ)(解説), $(パイロット)は、相手の隙をついて銃を撃った！
フェイント(マ)(命中), Explode(Small).wav
フェイント(ラ)(準備), 2;Reload.wav;4;Reload.wav
フェイント(ラ), Rifle.wav
フェイント(ラ)(解説), $(パイロット)は、相手の隙をついて銃を撃った！
フェイント(ラ)(命中), Explode(Small).wav
サプライザル(マ)(準備), Reload.wav
サプライザル(マ), Rifle.wav
サプライザル(マ)(命中), Explode(Small).wav
サプライザル(ラ)(準備), Reload.wav
サプライザル(ラ), Rifle.wav
サプライザル(ラ)(命中), Explode(Small).wav
クローズショット(ラ)(準備), Swing.wav
クローズショット(ラ), Rifle.wav
クローズショット(ラ)(命中), Explode(Small).wav
ブルズアイ(ラ)(準備), Reload.wav
ブルズアイ(ラ), 2;Hittyuu.wav;5;Rifle.wav
ブルズアイ(ラ)(命中), Explode(Small).wav
ポーション(PP), 2;Swing.wav;5;Chaf.wav
ＭＰポーション(PP), 2;Swing.wav;5;Chaf.wav
シンセサイゼーション, @戦闘アニメ_フラスコ攻撃 Swing.wav;回復魔法泡 Chaff.wav
ソウルバスター(準備), Fire.wav
ソウルバスター, Bazooka.wav
ソウルバスター(命中), GunPod.wav
インデュア, Glass.wav
フレイムロード(準備), Charge.wav
フレイムロード, Breath.wav
フレイムロード(命中), Explode(Long).wav
