鉄拳
右踵落とし, -.wav
右踵落とし(命中), 2;Swing(2).wav;5;FightHit(1).wav
魔神拳(命中), FightHit(4).wav
奈落払い(命中), Punch(2).wav
閃光烈拳(命中), Punch(3).wav
超ぱちき, Charge.wav
超ぱちき(命中), Crash.wav
風神拳, Saber.wav
風神拳(命中), Crash.wav
無双連拳(命中), 3;Shock(Low).wav;Shock(Low).wav
雷神拳, Saber.wav
雷神拳(命中), FightHit(3).wav
真・鬼神滅裂, 2;Swing.wav;2;Swing.wav;2;Swing.wav
真・鬼神滅裂(命中), FightHit(3).wav
螺旋幻魔脚, 2;Swing.wav;2;Swing.wav;2;Swing.wav
螺旋幻魔脚(命中), Punch(3).wav
金剛槍掌, Swing.wav
金剛槍掌(命中), Crash.wav
鬼瓦, Swing(2).wav
鬼瓦(命中), Crash.wav
アルティメットタックル, Stairs(Run).wav
アルティメットタックル(命中), Crash.wav
鉄山靠, -.wav
鉄山靠(命中), Crash.wav
富嶽, -.wav
富嶽(命中), Crash.wav
鳩尾(命中), Punch.wav
三宝龍, -.wav
三宝龍(命中), Punch(3).wav
裏疾風, Swing.wav
裏疾風(命中), FightHit(2).wav
崩拳, Swing.wav
崩拳(命中), Crash.wav
万聖龍王拳, Swing.wav
万聖龍王拳(命中), Crash.wav
雀連手(命中), Punch(2).wav
烏龍盤打(命中), Punch(3).wav
架推掌(命中), FightHit(3).wav
雀連架推掌(命中), 3;FightHit(2).wav;4;FightHit(2).wav;FightHit(1).wav
宙転断空脚(命中), FightHit(2).wav
宙転断空脚, Swing(2).wav
前壁加横架推掌, -.wav
前壁加横架推掌(命中), Punch(4).wav
擺歩砕壁(命中), FightHit(3).wav
レフトプラズマブレード(準備), -.wav
レフトプラズマブレード(命中), FightHit(1).wav
ライジングブレード(命中), FightHit(1).wav
ローリングライトキック(命中), Punch(2).wav
エアファング(命中), Punch(2).wav
ライトキックコンボ(命中), Punch(4).wav
キリングボーグ(命中), Shock(Low).wav
左連拳, -.wav
左連拳(命中), Punch(4).wav
スライディング, -.wav
スライディング(命中), FightHit(1).wav
ドラゴンキャノン, Swing.wav
ドラゴンキャノン(命中), Crash.wav
サマーソルトキック, Swing(2).wav
サマーソルトキック(命中), FightHit(1).wav
ダブルサマーソルト, 5;Swing(2).wav;5;Swing(2).wav
ダブルサマーソルト(命中), 5;FightHit(1).wav;5;FightHit(1).wav
ドラゴンジャッジメント, -.wav
ドラゴンジャッジメント(命中), 5;FightHit(1).wav;5;FightHit(1).wav;3;FightHit(3).wav;5;Crash.wav
ドラゴンファング, Swing.wav
ドラゴンファング(命中), Crash.wav
卍裏拳・壱(命中), FightHit(1).wav
合掌(命中), Slash.wav
不惑, 2;Swing.wav
不惑(命中), 2;Stab.wav
忍法草薙, 2;Swing.wav
忍法草薙(命中), Shock(Low).wav
忍法風塵, 2;Swing.wav
忍法風塵(命中), 8;Breakoff.wav;3;Breakoff.wav;3;Breakoff.wav;4;Whiz.wav;6;Jet.wav;Shock(Low).wav
絶鳴剣(命中), Slash.wav
鬼薊(命中), 2;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav
忍法卍芟(命中), 2;Punch.wav;4;Punch.wav;4;Punch.wav;4;Punch.wav;4;Punch.wav
ターンラリアット, Swing.wav
ターンラリアット(命中), 3;Shock(Low).wav
サテライトドロップキック, Cannon.wav
サテライトドロップキック(命中), Crash.wav
８９３・Ｋ, -.wav
８９３・Ｋ(命中), FightHit(1).wav
ブルータルサイクロン, -.wav
ブルータルサイクロン(命中), Punch(2).wav
シャイニングウィザード, Stairs(Run).wav
シャイニングウィザード(命中), FightHit(4).wav
ツームストンパイルドライバー(命中), 2;BreakOff.wav;15;Swing.wav;Shock(Low).wav
