
# 一部汎用データに含まれない画像データを使用しています
# TKHM_Chaos(Crow)U.bmp
# TKHM_Chaos(deer)U.bmp
# TKHM_Chaos(wolf)U.bmp

月姫
阻止(死線断ち), 切り払い
七夜の短刀, ナイフ
死線切り(準備), ナイフ
死線切り, 斬撃
死線切り(とどめ), Inori.wav
死線分割(準備), ナイフ
死線分割(攻撃), 斬撃
死線分割(命中), 斬撃;斬撃;斬撃;斬撃
死線分割(とどめ), Inori.wav
死点突き(準備), ナイフ
死点突き, 刺突
死点突き(命中), 刺突 Shock(low).wav
死点突き(とどめ), Inori.wav
七夜の体術(準備), ナイフ
七夜の体術(攻撃), ナイフ突撃
七夜の体術(命中), 斬撃突撃
七夜の体術(命中), 斬撃
七夜の体術(命中), 刺突
七夜の体術(命中), ダメージ
七夜の体術(命中), 強打
極死・七夜(準備), ナイフ;<color=red>「―――――極死」</color>
極死・七夜, 投げナイフ
極死・七夜(命中), 投げナイフ;1.5;@戦闘アニメ_急降下攻撃;4;ダメージ BreakOff.wav;<color=red>「―――――七夜」</color>
衝撃波(攻撃), Whiz.wav
衝撃波(命中), ダメージ
空想具現化(攻撃), Whiz.wav
空想具現化(命中), @戦闘アニメ_捕縛クリティカル;ダメージ Shock(low).wav
偽りの月(攻撃), Whiz.wav
偽りの月(命中), ダメージ Shock(low).wav
影縫い, 投げナイフ
影縫い(命中), ダメージ Stab.wav
暗殺術, 格闘
黒鍵(準備), ショートソード
黒鍵, 連斬撃
黒鍵(命中), 連突 Sword.wav
黒鍵・火葬式典(準備), ショートソード
黒鍵・火葬式典, 連斬撃
黒鍵・火葬式典(命中), 連突 Sword.wav;炎
第七聖典(準備), 変形 Charge.wav Unit\TKHM_Ciel(F)U.bmp
第七聖典, スーパータックル ブルー
第七聖典(命中), 刺突 Bazooka.wav
赫訳, 格闘
赤主, 格闘
略奪呪界(攻撃), Whiz.wav
略奪呪界(命中), 吸収 赤
略奪呪界(とどめ), @戦闘アニメ_炎命中 -.wav
略奪呪界『檻髪』(攻撃), 変形 Whiz.wav Unit\TKHM_TohnoAkiha(N)(Redhair)U(2).bmp
略奪呪界『檻髪』(命中), 吸収 赤
略奪呪界『檻髪』(とどめ), @戦闘アニメ_炎命中 -.wav
略奪(攻撃), 変形 Whiz.wav Unit\TKHM_TohnoAkiha(N)(Redhair)U(2).bmp
略奪(命中), 吸収 赤
略奪(とどめ), @戦闘アニメ_炎命中 -.wav
ラッシュ, 連打
猛ラッシュ, 乱打
固有結界・枯渇庭園(攻撃), Whiz.wav
固有結界・枯渇庭園(命中), 木の葉乱舞 Wind.wav
体術, 格闘
エーテライト(攻撃), 斬撃 Bow.wav
エーテライト(命中), Stab.wav
ブラックバレル・レプリカ, ピストル
