#狂科学ハンターＲＥＩ・ｆｏｒ・ＳＲＣデータ
#アニメーションデータ
#----------------------------------------------------------------------------

汎用
ナイフ, ナイフ
拳銃, ピストル
マシンガン, サブマシンガン
八十九式小銃, ヘビーマシンガン
格闘, 格闘
生体衝撃波, 波動放射 ホワイト GunPod.wav
単分子ワイヤー(攻撃), なぎ払い
単分子ワイヤー(命中), なぎ払い Slash(3).wav
生体電撃, 電撃
爪, 爪撃
噛みつき(攻撃), 噛み付き
地上掃射(攻撃), ＭＡＰ移動タックル MachineCannon.wav
地上掃射(命中), 重機関砲
30mmバルカン砲, 重機関砲
野獣の群れ(攻撃), 地表衝撃波 ブラック 残像 GunPod.wav
野獣の群れ(命中), 噛み付き;噛み付き;噛み付き;噛み付き
贖罪の球(攻撃), 球電 ユニットＩＤ LaserGun.wav
贖罪の球(命中), 爆発 Explode(Far).wav
ライヒ・ガン, バスタービームライフル 発光 オレンジ
ＰＳジャマー, スーパーガン Hide.wav
ＰＳジャマー(命中), -
ＰＳジャマー(クリティカル), 麻痺 Computer.wav


狂科学ハンター
冷気, 吹雪 Whiz.wav
魔玉(準備), Reload(4).wav
魔玉(攻撃), 斬撃 Swing.wav
魔玉操・冷扇衝(準備), Reload(4).wav
魔玉操・冷扇衝(攻撃), 斬撃 Swing.wav 二刀流;ＭＡＰ放電 Thunder.wav
魔玉操・冷扇衝(命中), 落雷
魔玉操・冷扇衝(クリティカル), 放電 Thunderbolt.wav
魔玉操(準備), Reload(4).wav
魔玉操(攻撃), 斬撃 Swing.wav
魔玉操(解説), 玲は魔玉操を繰り出した
魔玉操(解説), 玲は魔玉操を放った
魔玉操(解説), 放たれた魔玉が、目標めがけて飛来する
魔玉操(解説), 放たれた魔玉同士が干渉し合い、相手を打ち砕く力となる
魔玉操(解説), 放たれた魔玉が、千差万別の変化をみせる
魔玉操(氷雪)(準備), Reload(4).wav
魔玉操(氷雪)(攻撃), 斬撃 Swing.wav
魔玉操(氷雪)(解説), 玲は魔玉操を繰り出した
魔玉操(氷雪)(解説), 玲は魔玉操を放った
魔玉操(氷雪)(解説), 放たれた魔玉が、目標めがけて飛来する
魔玉操(氷雪)(解説), 放たれた魔玉同士が干渉し合い、相手を打ち砕く力となる
魔玉操(氷雪)(解説), 放たれた魔玉が、千差万別の変化をみせる
