樹海の魔物
# クエストボス類
フラッシュ, 発光 白
石像の豪腕, 格闘
ハンマー(準備), -
トリプルハンマー(攻撃), 打撃突撃;打突;打突
トリプルハンマー(命中), 打撃;打撃;打撃
ロックハンマー, 超打
攻撃無効化(パワーウォール), オーラ上昇 黒
攻撃無効化(フォースウォール), オーラ上昇 紫
魔の子守唄, ＭＡＰ音符 Roar.wav
ペトロボイス, 音波
魔獣の爪, 爪撃
ダークネイル, 爪撃 黒 
ポイズンテイル, なぎ払い
シールド防御(翼), コウモリの翼
翼竜の大旋風(準備), 翼(コウモリ);@戦闘アニメ_振り下ろし攻撃;翼(コウモリ);@戦闘アニメ_振り上げ攻撃
翼竜の大旋風(攻撃), ＭＡＰ強風 Interference.wav
翼竜の大旋風(命中), ＭＡＰ強風
ウィングクロー, 爪撃
高空からの閃光, メガショックビーム 
閃光の烈線, ＭＡＰビーム 青
テイルストライク, なぎ払い
スパイダーリリィ(攻撃), ネット
スパイダーリリィ(クリティカル), @戦闘アニメ_横分割とどめ -.wav
古代の呪粉, ＭＡＰ煙 黄
ヴァンパイアキッス(攻撃), 格闘
ヴァンパイアキッス(命中), ダメージ;@ＳＰアニメ_魅惑 対象ユニット 相手ユニット;吸収
フレイムサイ, 火炎弾
フロストスマイル, 氷斬撃
ライトニング, 電撃
テンペスト(攻撃), 円弧斬撃;振り上げ;振り下ろし
テンペスト(命中), 振り下ろし;なぎ払い;振り下ろし;円弧斬撃;斬撃
テンタクルビート(攻撃), 触手乱舞 緑 Storm.wav
テンタクルビート(命中), 触手乱舞 緑;打突;打突;打突
処刑者のカギ爪, 爪撃
噛み砕き, 噛み付き
女王の鉄槌, 爪撃;爪撃;爪撃;爪撃
投げ飛ばし(収)(攻撃), 透明化 partner(1);回転投擲武器 Unit\SQ_KillerAntU.bmp
投げ飛ばし(収)(命中), スーパータックル 黄 partner(1)
投げ飛ばし(守)(攻撃), 透明化 partner(1);回転投擲武器 Unit\SQ_GuardAntU.bmp
投げ飛ばし(守)(命中), スーパータックル 赤 partner(1)
粘着する蟻酸(攻撃), 光球 青 Whiz.wav
粘着する蟻酸(命中), 飛沫 赤 Inori.wav
鋼鉄のアギト, 噛み付き
防御陣形, オーラ上昇 赤 相手ユニットＩＤ
シールド防御(身を守る), 外殻防御 黒
舐め回し, 舌
極彩色の脚, キック
氷柱の牢獄(攻撃), 氷弾
氷柱の牢獄(命中), 氷柱 Glass.wav
毒の唾液(攻撃), 光球 黒 Whiz.wav
毒の唾液(命中), 飛沫 黒 Inori.wav
アイスストーム, 吹雪
極彩迷彩, @ＳＰアニメ_隠れ身 対象ユニット;透明化 反映
超回避(極彩迷彩), 透明化 反映;回避
狒狒王の豪角(攻撃), タックル
狒狒王の豪角(命中), 刺突
グラウンドアッパー, 超アッパー
ワイルドタックル, ス－パータックル
ヒールストライク(攻撃), 透明化 partner(1);回転投擲武器 Unit\SQ_BallAnimalU.bmp
ヒールストライク(命中), スーパータックル 紫 partner(1)
キュア, 回復魔法
神秘のヴェール, オーラ上昇 紫 相手ユニットＩＤ
とどろく咆哮(攻撃), ＭＡＰ強風 Growl.wav
とどろく咆哮(命中), -
火竜の牙, 噛み付き
火竜の激震, 地震 
ドラゴンクロー, 爪撃 赤
インフェルノ, 火炎放射
ファイアブレス(準備), 粒子集中 赤 
ファイアブレス(攻撃), 火炎放射
ファイアブレス(命中), 火炎放射 赤 Fire.wav
ドラゴンビート(攻撃), 円弧斬撃;振り上げ;振り下ろし
ドラゴンビート(命中), 円弧斬撃;斬撃;振り上げ;なぎ払い;振り下ろし
劈く叫び(攻撃), ＭＡＰ強風 Growl.wav
劈く叫び(命中), -
凍てつく翼, 翼(コウモリ) 青
クラッシュアーム, 乱突
絶対零度(攻撃), 吹雪
絶対零度(命中), 凍結 Freeze.wav
アイスブレス(準備), 粒子集中 青
アイスブレス(攻撃), 火炎放射 青
アイスブレス(命中), 凍結 Freeze.wav
三連牙(攻撃), 噛み付き;噛み付き;噛み付き
三連牙(命中), 噛み付き;噛み付き;噛み付き
竜乱錐(攻撃), 刺突突撃;連突;乱突
竜乱錐(命中), 刺突;連突;乱突
プロテクション発動(アイスシールド), 光バリア 青 Freeze.wav
呪われし遠吠え(攻撃), ＭＡＰ強風 Growl.wav
呪われし遠吠え(命中), -
落雷の竜角(攻撃), タックル
落雷の竜角(命中), 刺突
轟雷, 大落雷
