
前原圭一・転校生のバット
転校生のバット(準備),            振る武器 DGoods\EFFECT_MetalButt01.bmp 32
転校生のバット(攻撃),            振り下ろし
転校生のバット(攻撃),            なぎ払い
転校生のバット(攻撃),            刺突
転校生のバット(攻撃),            白兵回転
転校生のバット(命中),            ダメージ
デッドボール,                    投擲武器 DGoods\EFFECT_BaseBall01.bmp 16
ジャストミート(準備),            振る武器 DGoods\EFFECT_MetalButt01.bmp 32
ジャストミート(攻撃),            なぎ払い;実弾発射 DGoods\EFFECT_BaseBall01.bmp 16 Sword.wav
ジャストミート(命中),            ロケットパンチ DGoods\EFFECT_BaseBall01.bmp 16
バスターホームラン・射撃(準備),  振る武器 DGoods\EFFECT_MetalButt01.bmp 32
バスターホームラン・射撃(攻撃),  「バスターホームラン！」;なぎ払い;気弾 青
バスターホームラン・射撃(攻撃),  なぎ払い;気弾 青
バスターホームラン・射撃(命中),  ダメージ 青 Crash.wav
バスターホームラン・格闘(準備),  振る武器 DGoods\EFFECT_MetalButt01.bmp 32
バスターホームラン・格闘(攻撃),  「バスターホームラン！」;なぎ払い
バスターホームラン・格闘(攻撃),  なぎ払い
バスターホームラン・格闘(命中),  超打

前原圭一・無敵アイアン
無敵アイアン(準備),              振る武器 DGoods\EFFECT_TitanHeadDriver01.bmp 32
無敵アイアン(攻撃),              振り下ろし
無敵アイアン(攻撃),              なぎ払い
無敵アイアン(攻撃),              刺突
無敵アイアン(攻撃),              白兵回転
無敵アイアン(命中),              ダメージ
アイアンスロー,                  回転投擲武器 DGoods\EFFECT_TitanHeadDriver01.bmp 32
アイアンキャノン(準備),          振る武器 DGoods\EFFECT_TitanHeadDriver01.bmp 32
アイアンキャノン(攻撃),          振り上げ;実弾発射 Bullet\EFFECT_Bearing01.bmp 32 BreakOff.wav
アイアンキャノン(命中),          爆発
ＴＢスーパーフォール(準備),      振る武器 DGoods\EFFECT_TitanHeadDriver01.bmp 32
ＴＢスーパーフォール(攻撃),      「トマホークバックスピン！」振り上げ;大キャノン砲長距離
ＴＢスーパーフォール(攻撃),      振り上げ;大キャノン砲長距離
ＴＢスーパーフォール(命中),      超爆発
フルスイング(準備),              振る武器 DGoods\EFFECT_TitanHeadDriver01.bmp 32
フルスイング(攻撃),              なぎ払い
フルスイング(命中),              超打

前原圭一・証拠隠滅シャベル
証拠隠滅シャベル(準備),          振る武器 DGoods\EFFECT_Shovel01.bmp 32
証拠隠滅シャベル(攻撃),          振り下ろし
証拠隠滅シャベル(攻撃),          なぎ払い
証拠隠滅シャベル(攻撃),          刺突
証拠隠滅シャベル(攻撃),          白兵回転
証拠隠滅シャベル(命中),          ダメージ
石礫(準備),                      振る武器 DGoods\EFFECT_Shovel01.bmp 32
石礫(攻撃),                      振り上げ;ベアリング
石礫(命中),                      乱打
岩石落とし(準備),                振る武器 DGoods\EFFECT_Shovel01.bmp 32
岩石落とし(攻撃),                振り上げ;岩
岩石落とし(命中),                乱打
温泉スプラッシュ(準備),          振る武器 DGoods\EFFECT_Shovel01.bmp 32
温泉スプラッシュ(攻撃),          振り上げ
温泉スプラッシュ(命中),          光大噴出
フルスイング(準備),              振る武器 DGoods\EFFECT_Shovel01.bmp 32
フルスイング(攻撃),              なぎ払い
フルスイング(命中),              超打



竜宮レナ・愛用の鉈
愛用の鉈(準備),                  大鉈
愛用の鉈(攻撃),                  振り下ろし
愛用の鉈(攻撃),                  振り上げ
愛用の鉈(攻撃),                  刺突
愛用の鉈(命中),                  斬撃
鉈投げ(準備),                    大鉈
鉈投げ(攻撃),                    回転投擲武器 Weapon\EFFECT_Hatchet02.bmp 32
鉈投げ(命中),                    斬撃
ジッポ投げ(準備),                -
ジッポ投げ(攻撃),                投擲武器 Bullet\EFFECT_Bullet(Yellow)01.bmp 12
ジッポ投げ(命中),                小爆発
デュアル鉈投げ(準備),            大鉈 二刀流
デュアル鉈投げ(攻撃),            回転投擲武器 Weapon\EFFECT_Hatchet02.bmp 32;回転投擲武器 Weapon\EFFECT_Hatchet02.bmp 32
デュアル鉈投げ(攻撃),            「はぅ～、いっぱいあるんだよぉ～」;回転投擲武器 Weapon\EFFECT_Hatchet02.bmp 32;回転投擲武器 Weapon\EFFECT_Hatchet02.bmp 32
デュアル鉈投げ(命中),            斬撃 二刀流
レナぱん(準備),                  -
レナぱん(攻撃),                  フラッシュ 黄
レナぱん(命中),                  乱打;超打

竜宮レナ・刃こぼれした斧
刃こぼれした斧(準備),            片刃斧
刃こぼれした斧(攻撃),            振り下ろし
刃こぼれした斧(攻撃),            振り上げ
刃こぼれした斧(攻撃),            刺突
刃こぼれした斧(命中),            斬撃
粉砕(準備),                      片刃斧
粉砕(攻撃),                      白兵武器
粉砕(命中),                      唐竹割り
ガソリン撒き(準備),              振る武器 DGoods\EFFECT_TinCan01.bmp
ガソリン撒き(攻撃),              白兵武器;液体噴射 黒
ガソリン撒き(命中),              炎
ケンタ砲(準備),                  振る武器 Unit\M_CursedColonelU.bmp 32
ケンタ砲(攻撃),                  回転投擲武器 Unit\M_CursedColonelU.bmp 32;ＭＡＰ大爆発 相手ユニットＩＤ
ケンタ砲(攻撃),                  「はぅぅ～～！ケンタ君だってこんなにかぁいいのにぃ～～！！」;回転投擲武器 Unit\M_CursedColonelU.bmp 32;ＭＡＰ大爆発 相手ユニットＩＤ
ケンタ砲(攻撃),                  「はぅぅ～～！ケンタ君だよケンタ君だよ！お持ち帰りぃ～～！！」;回転投擲武器 Unit\M_CursedColonelU.bmp 32;ＭＡＰ大爆発 相手ユニットＩＤ
ケンタ砲(命中),                  大爆発
ケンタ砲(クリティカル),          炎
大車輪(準備),                    片刃斧
大車輪(攻撃),                    回転斬撃
大車輪(命中),                    超打

竜宮レナ・鉄塊鉈
鉄塊鉈(準備),                    振る武器 Weapon\EFFECT_GiantSword02.bmp 56
鉄塊鉈(攻撃),                    大斬撃
鉄塊鉈(攻撃),                    振り上げ大斬撃
鉄塊鉈(攻撃),                    横大斬撃
鉄塊鉈(命中),                    超斬撃
これは痛いよ？(準備),            振る武器 Weapon\EFFECT_GiantSword02.bmp 56
これは痛いよ？(攻撃),            唐竹割り;地面衝撃 相手ユニットＩＤ
これは痛いよ？(攻撃),            「これは痛いよ？」;唐竹割り;地面衝撃 相手ユニットＩＤ
これは痛いよ？(命中),            唐竹割り Crash.wav
これで死んじゃえ！(準備),        振る武器 Weapon\EFFECT_GiantSword02.bmp 56
これで死んじゃえ！(攻撃),        大斬撃;旋風
これで死んじゃえ！(攻撃),        「これで死んじゃえ！」;大斬撃;旋風
これで死んじゃえ！(命中),        旋風
叩き割ってあげるよ！！(準備),    振る武器 Weapon\EFFECT_GiantSword02.bmp 56
叩き割ってあげるよ！！(攻撃),    回転斬撃;回転投擲武器 Weapon\EFFECT_GiantSword02.bmp 56
叩き割ってあげるよ！！(攻撃),    「一撃で叩き割ってあげるよ！！」;回転斬撃;回転投擲武器 Weapon\EFFECT_GiantSword02.bmp 56
叩き割ってあげるよ！！(攻撃),    「あっはぁ！ 一撃で叩き割ってあげるよ！！」;回転斬撃;回転投擲武器 Weapon\EFFECT_GiantSword02.bmp 56
叩き割ってあげるよ！！(命中),    超斬撃;超斬撃;超斬撃;大爆発



園崎魅音・二丁拳銃
空気投げ,                        投げ飛ばし
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      キック
格闘(攻撃),                      スピンキック
格闘(命中),                      ダメージ
ダブルファイア(準備),            ピストル 二丁拳銃
ダブルファイア(攻撃),            ピストル;ピストル;ピストル;ピストル
ダブルファイア(命中),            銃弾;銃弾;銃弾;銃弾
強力ロケットランチャー,          バズーカ
ガトリング砲100連発,             大型ガトリング

園崎魅音・特注の水鉄砲
空気投げ,                        投げ飛ばし
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      キック
格闘(攻撃),                      スピンキック
格闘(命中),                      ダメージ
放水ショット(準備),              スーパーガン 二丁拳銃
放水ショット(攻撃),              光弾銃 青 Weapon\EFFECT_SuperGun01.bmp 32;光弾銃 青 Weapon\EFFECT_SuperGun01.bmp 32
放水ショット(命中),              飛沫 青 Acid.wav;飛沫 青 Acid.wav
拡散水鉄砲,                      拡散ビームライフル 青
収束大水流砲(準備),              ビームライフル
収束大水流砲(攻撃),              ビームランチャー 青 Weapon\EFFECT_BeamRifle01.bmp 32
収束大水流砲(命中),              中ビーム 青

園崎魅音・暴徒鎮圧放水銃
空気投げ,                        投げ飛ばし
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      キック
格闘(攻撃),                      スピンキック
格闘(命中),                      ダメージ
圧縮水流砲,                      ビームライフル 青 Weapon\EFFECT_BusterRifle01.bmp 48
拡散高圧砲,                      拡散ビームランチャー 青 Weapon\EFFECT_BusterRifle01.bmp 48
大水量浄化砲,                    ＭＡＰバスタービームライフル 青



北条沙都子・特選花火セット
格闘(準備),                      -
格闘(攻撃),                      タックル
格闘(攻撃),                      浴びせ蹴り
格闘(攻撃),                      スピンキック
格闘(攻撃),                      サマーソルト
格闘(命中),                      ダメージ
かんしゃく玉(準備),              -
かんしゃく玉(攻撃),              白兵武器;小型ミサイル 5
かんしゃく玉(命中),              連続爆発
ロケットシュート(準備),          -
ロケットシュート(攻撃),          ミサイル 2;ミサイル 2;ミサイル 2
ロケットシュート(命中),          連続爆発
パラシュート爆弾(準備),          -
パラシュート爆弾(攻撃),          １ＷＡＹ射出
パラシュート爆弾(命中),          爆撃
ドラゴン沙都子スペシャル(準備),  -
ドラゴン沙都子スペシャル(攻撃),  白兵武器;小型ミサイル 5;光大噴出 赤 相手ユニットＩＤ
ドラゴン沙都子スペシャル(命中),  炎

北条沙都子・沙都子のトラップ講座
格闘(準備),                      -
格闘(攻撃),                      タックル
格闘(攻撃),                      浴びせ蹴り
格闘(攻撃),                      スピンキック
格闘(攻撃),                      サマーソルト
格闘(命中),                      ダメージ
小手調べトラップ(準備),          -
小手調べトラップ(攻撃),          投擲武器 Foods\EFFECT_BananaSkin01.bmp 32
小手調べトラップ(命中),          ダメージ
トラップ設置(解説),              沙都子はトラップを設置した。
トラップ設置(準備),              -
トラップ設置(攻撃),              白兵武器
トラップ設置(命中),              -
追加攻撃(トラップ発動)(解説),    トラップが発動した。
パラボラLv1(準備),               -
パラボラLv1(攻撃),               -
パラボラLv1(命中),               ニードルレーザー 青 ランダム方向
パラボラLv2(準備),               -
パラボラLv2(攻撃),               -
パラボラLv2(命中),               小ビーム 青 ランダム方向
パラボラLv3(準備),               -
パラボラLv3(攻撃),               -
パラボラLv3(命中),               大ビーム 青 ランダム方向
たらい(準備),                    -
たらい(攻撃),                    画像落下 DGoods\EFFECT_Basin01.bmp 32
たらい(命中),                    画像落下 DGoods\EFFECT_Basin01.bmp 32
バケツ(準備),                    -
バケツ(攻撃),                    画像落下 DGoods\EFFECT_MetalDrum01.bmp 32
バケツ(命中),                    画像落下 DGoods\EFFECT_MetalDrum01.bmp 32
炎上(準備),                      -
炎上(攻撃),                      -
炎上(命中),                      炎
パンチンググローブ(準備),        -
パンチンググローブ(攻撃),        -
パンチンググローブ(命中),        ロケットパンチ Hand\EFFECT_Punch(Red)03.bmp 32
鉄球(準備),                      -
鉄球(攻撃),                      -
鉄球(命中),                      ロケットパンチ Bullet\EFFECT_STG_Bullet(Black)03.bmp 48
ＴＮＴ爆弾(準備),                -
ＴＮＴ爆弾(攻撃),                -
ＴＮＴ爆弾(命中),                大爆発
万物破壊爆弾(準備),              振る武器 Weapon\EFFECT_Bomb01.bmp 48
万物破壊爆弾(攻撃),              ＭＡＰ大爆発
万物破壊爆弾(命中),              大爆発

北条沙都子・誘導花火セット
格闘(準備),                      -
格闘(攻撃),                      タックル
格闘(攻撃),                      浴びせ蹴り
格闘(攻撃),                      スピンキック
格闘(攻撃),                      サマーソルト
格闘(命中),                      ダメージ
二連炸裂花火「双葉」(準備),      -
二連炸裂花火「双葉」(攻撃),      実弾発射 Bullet\EFFECT_BazookaBullet01.bmp 32;実弾発射 Bullet\EFFECT_BazookaBullet01.bmp 32
二連炸裂花火「双葉」(命中),      爆発;爆発
大型ロケット花火「赤鯱」(準備),  -
大型ロケット花火「赤鯱」(攻撃),  スーパーミサイル
大型ロケット花火「赤鯱」(命中),  大爆発
対人打ち上げ花火「紅炎」,        ＩＣＢＭ長距離



古手梨花・儀式用の鍬
儀式用の鍬(準備),                鎌
儀式用の鍬(攻撃),                なぎ払い
儀式用の鍬(攻撃),                刺突
儀式用の鍬(攻撃),                振り下ろし
儀式用の鍬(命中),                ダメージ
インジェクター(準備),            -
インジェクター(攻撃),            実弾発射 Weapon\EFFECT_Dart01.bmp 32 Whiz.wav
インジェクター(命中),            刺突
マルチインジェクター(準備),      -
マルチインジェクター(攻撃),      ４ＷＡＹ射出
マルチインジェクター(攻撃),      連突
マルチインジェクター(命中),      連続爆発
インジェクターレギオン(準備),    -
インジェクターレギオン(攻撃),    ８ＷＡＹ射出
インジェクターレギオン(命中),    オールレンジ;連続爆発

古手梨花・対鉈女用モップ
対鉈女用モップ(準備),            振る武器 DGoods\EFFECT_Mop01.bmp 32
対鉈女用モップ(攻撃),            刺突
