#ハカイダーショットの画像は丸投げパック投稿済です

人造人間
ダブルチョップ(攻撃),			ダブル斬撃 Whiz.wav
ダブルチョップ(命中),			ダブル斬撃 FightHit(1).wav
ウルトラキック(攻撃),			スーパーキック Whiz.wav
ウルトラキック(命中),			スーパーキック FightHit(1).wav
大車輪投げ(攻撃),			格闘 Whiz.wav
大車輪投げ(命中),			地獄車;投げ飛ばし Crash.wav
大車輪投げ(命中),			投げ飛ばし Crash.wav
回転アタック(攻撃),			スーパーキック 前転 Swing(2).wav
回転アタック(命中),			立ち足固め FightHit(1).wav
回転アタック(命中),			スーパーキック FightHit(1).wav
銀河ハリケーン(攻撃),			スーパーパンチ乱舞 Whiz.wav
銀河ハリケーン(命中),			スーパーパンチ乱舞 FightHit(1).wav
デンジエンド(攻撃),			スーパーパンチ 白 Whiz.wav
デンジエンド(命中),			発光 白 Glass.wav
キカイダースパーク,			特殊光線 青
ダブルブラザーアタック,			BeamSaber.Wav;同時必殺光線 白
トリプルサークライン(準備),		-
トリプルサークライン(攻撃),		ＭＡＰ強風 Charge(High).wav
トリプルサークライン(命中),		強風 LaserGun.wav
サイドマシンアタック(攻撃),		タックル Bike.wav
サイドマシンアタック(命中),		タックル Crash.wav
タイヤ粉砕用スクリュー(攻撃),		タックル Bike.wav
タイヤ粉砕用スクリュー(命中),		強風 Drill.wav
小型ミサイル,				小型ミサイル 2
月面飛行蹴り(攻撃),			スーパーキック 反転 Whiz.wav
月面飛行蹴り(命中),			スーパーキック FightHit(1).wav
ハカイダーショット(準備),		射撃武器 Bitmap\Weapon\EFFECT_KDR_HakaiderShot.bmp 32 Reload.wav
ハカイダーショット(攻撃),		ライフル Bitmap\Weapon\EFFECT_KDR_HakaiderShot.bmp 32 Rifle.wav;ライフル Bitmap\Weapon\EFFECT_KDR_HakaiderShot.bmp 32 Rifle.wav
ハカイダーショット(命中),		銃弾 Explode(Small).wav;銃弾 Explode(Small).wav
地獄五段返し(攻撃),			格闘 Swing.wav
地獄五段返し(命中),			ジャンプバスター Crash.wav
ギロチン落とし(攻撃),			スーパーキック 前転 Whiz.wav
ギロチン落とし(命中),			ドライバー FightHit(1).wav
サタンポッド,				小型ミサイル 2
格闘(攻撃),				格闘  Whiz.wav
格闘(命中),				強打 FightHit(1).wav
ギター,					ギター(殴り)
破壊剣,					ナイフ
破壊剣投げ, 				投げナイフ
チェンジ,				発光 白 BeamCoat.wav
チェンジ(ハカイダー),			@戦闘アニメ_ナイフ準備;発光 白 Null.wav
薙刀(準備),				-
薙刀(攻撃),				なぎ払い Swing(2).wav
薙刀(命中),				なぎ払い FightHit(1).wav
怪力(攻撃),				格闘
怪力(命中),				強打 FightHit(1).wav
突進(攻撃),				スーパータックル FastGun.wav
突進(命中),				スーパータックル Crash.wav
電磁ドリル,				ドリル
鎖分銅(攻撃),				分銅
鎖分銅(命中),				強打 FightHit(1).wav
右手の鎌(攻撃),				振り下ろし Swing(2).wav
右手の鎌(命中),				振り下ろし Slash(2).wav
カマイタチハンド(攻撃),			回転投擲武器 Bitmap\Weapon\EFFECT_Scicle01.bmp 32 - Swing(2).wav
カマイタチハンド(命中),			回転斬撃 Slash(2).wav
蟻酸銃(攻撃),				水鉄砲 -.bmp
蟻酸銃(命中),				煙 白 Explode(Small).wav
妨害電波,				音波
必殺蟻地獄(攻撃),			透明化;地表衝撃波 オレンジ 遅
必殺蟻地獄(命中),			煙 白 Explode(Small).wav;4;踏み潰し FightHit(1).wav
爪ミサイル(攻撃),			重機関砲 MicroMissile.wav
爪ミサイル(命中),			連続爆発
火炎放射,				火炎放射
バッファローミサイル,			氷弾;氷弾
ボディーガン(準備),			-
ボディーガン(攻撃),			ベアリング
ボディーガン(命中),			連続爆発
テールファイヤー,			火炎放射
死神ベルト(攻撃),			自爆
死神ベルト(命中),			大爆発
キック(命中),				強打 FightHit(1).wav
ホースハリケーン,			旋風
電子破壊装置(攻撃),			格闘
電子破壊装置(命中),			発光 オレンジ BeamCoat.wav;爆発
白煙,					煙
チェーン腕輪(攻撃),			モーニングスター
チェーン腕輪(命中),			強打 FightHit(1).wav
棘ミサイル(攻撃),			ネジ連射
棘ミサイル(命中),			連続爆発
スパイダーネット(攻撃),			@戦闘アニメ_Ｍ扇ビーム攻撃 ホワイト Whiz.wav
スパイダーネット(命中),			ダメージ -.wav
スパイダーネット(クリティカル),		-
スパイダースレッド(攻撃),		ワイヤー Swing.wav
スパイダースレッド(命中),		打撃 Whip.wav
吸血牙,					噛み付き
