
汎用
アタックナイフ, ナイフ
ひかりのこだち, ナイフ
バルバロッサ, ナイフ
ソニックブレード, ソード
ジェネラルソード, ソード
ツヴァイハンダー, ソード
ソルブレイド, ソード
アメノムラクモ, 日本刀
グラム, 神剣
イルダーヴォーグ, 神剣
模造刀, 日本刀
レプリカムラマサ, 野太刀
ヒゴマサクニ, 野太刀
めいとうマサムネ, 野太刀
ようとうムラマサ, 野太刀
トライデント, トライデント
ライトグレイブ, ナギナタ
ともえのなぎなた, ナギナタ
ゲイルジャベリン, スピア
ロンギヌス, トライデント
アンスウェラー, 神剣
ブリューナク, パイク
グングニル, パイク
ゲイボルク, パイク
バトルハンマー,  ウォーハンマー
トマホーク, トマホーク
みちづれのおの, 両刃斧
グラマラスアクス, バイキングアクス
くびかりスプーン, 斬撃武器 DGoods\EFFECT_Spoon01.bmp 96
ギロチンアクス, 巨大斧
ムフウエセ, 銀の斧
パラシュ, 銀の斧
ミュルニル, ウォーハンマー
エデンビューグル, 錫杖
ベルオブリバイブ, 錫杖
アンクスタッフ, 錫杖
ロータスワンド, 錫杖
クイーンビュート, 錫杖
サイズオブデス, 大鎌
グレイプニル, 鞭
サソリムチ, 鞭
しでんのムチ, 鞭
クロスボウ, クロスボウ
ブルークレセント, 弓矢
コウチュウのゆみ, 弓矢
ディアナクロス, 弓矢
らくてんきゅう, 和弓
ドルドナのゆみ, 弓矢
ヒコホホデ, 和弓
エクセルテグ, 弓矢
Ｍ１６マシンガン, マシンガン
フォトンランチャー, スーパーガン

魔神転生２
アギ(準備), -
アギ(攻撃), 火炎弾 赤 Cannon.wav
アギ(命中), 爆発 Explode.wav
アギ(クリティカル), Explode(Far).wav
アギラオ(準備), -
アギラオ(攻撃), 火炎弾 赤 Cannon.wav
アギラオ(命中), 爆発 Explode(Far).wav
アギラオ(クリティカル), Explode(Nuclear).wav
アギラオン(準備), -
アギラオン(攻撃), 火炎弾 赤 Cannon.wav
アギラオン(命中), 超爆発
アギラオン(クリティカル), Explode(Nuclear).wav
マハラギ(準備), 周囲回転 Fire\EFFECT_Fire(Red)02.bmp 32 Fire.wav 発光 3
マハラギ(攻撃), キャノン砲 4
マハラギ(命中), 爆発
マハラギオン(準備), 周囲回転 Fire\EFFECT_Fire(Red)02.bmp 32 Fire.wav 発光 3
マハラギオン(攻撃), 大キャノン砲 4
マハラギオン(命中), 超爆発
ブフ(準備), -
ブフ(攻撃), 火炎弾 白 Interference.wav
ブフ(命中), 凍結 Flair.wav
ブフーラ(準備), -
ブフーラ(攻撃), 火炎弾 白 Interference.wav
ブフーラ(命中), 凍結 Flair.wav
ブフラオン(準備), 光噴出 白
ブフラオン(攻撃), 火炎弾 白 Interference.wav
ブフラオン(命中), 凍結 Flair.wav
マハーブフ(準備), -
