
イーデア
Ｚの力, Charge.wav
Ｚの力(命中), FastGun.wav
Ｚの力(命中), Crash.wav
Ｚの力(命中), Bazooka.wav
ＺＺ, Beam.wav
ＺＺ(命中), Explode(Far).wav
Ｚイレイザー(準備), Charge.wav
Ｚイレイザー, Swing.wav
Ｚイレイザー(命中), Shock(Low).wav
Ｚスマッシャー(準備), Charge(long).wav
Ｚスマッシャー, Swing.wav
Ｚスマッシャー(命中), -.wav
ツルハシ, Swing.wav
ツルハシ(命中), Stab.wav
Ｚの印(準備), Charge(long).wav
Ｚの印, Beam.wav
Ｚの印(命中), Explode(Nuclear).wav
SPIRIT＆FIRE, Gun.wav
SPIRIT＆FIRE, 3;Gun.wav;Gun.wav
SPIRIT＆FIRE, 1;Gun.wav;Gun.wav
SPIRIT＆FIRE, 1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;Gun.wav
SPIRIT＆FIRE(クリティカル), FastGun.wav
結界鋲捕縛(準備), Reload.wav
結界鋲捕縛, MultipleRocketLauncher(Light).wav
結界鋲捕縛(クリティカル), 1;Sword.wav;1;Sword.wav;1;Sword.wav;Sword.wav
結界鋲捕縛(クリティカル), Glass.wav
点の結界鋲(準備), Reload.wav
点の結界鋲, MultipleRocketLauncher(Light).wav
点の結界鋲(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
阻止(結界鋲), Glass.wav
チャクラム, Beam.wav
チャクラム(命中), Slash.wav
Ｄの力(準備), Wind.wav
Ｄの力(命中), Storm.wav
ラビリング・ニードル(準備), Sword.wav
ラビリング・ニードル, Bow.wav
ラビリング・ニードル(命中), Stab.wav
Ｍの力(準備), Fire.wav
Ｍの力(命中), Crash.wav
Ｈ・Ｆ・スタンピード(準備), Fire.wav
Ｈ・Ｆ・スタンピード, MicroMissile.wav
Ｈ・Ｆ・スタンピード(命中), -.wav
完全燃焼(準備), MicroMissile.wav
完全燃焼, Explode(Nuclear).wav
完全燃焼(命中), -.wav
劇的赤熱闘髪魂(準備), Fire.wav
劇的赤熱闘髪魂, MultipleRocketLauncher(Light).wav
劇的赤熱闘髪魂(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode(Far).wav
清青龍来・大結界球(準備), Shore.wav
清青龍来・大結界球, BeamShot.wav
清青龍来・大結界球(クリティカル), Splash.wav
暗黒龍剣(準備), Shore.wav
暗黒龍剣・龍神斬(準備), Splash.wav
暗黒龍剣・龍神斬, MicroMissile.wav
暗黒龍剣・龍神斬(命中), -.wav
龍覇・水神抜刀術(準備), Splash.wav
龍覇・水神抜刀術, 3;Sword.wav;Swing.wav
龍覇・水神抜刀術(命中), Slash.wav
六芒烈光輪(準備), BeamCoat.wav
六芒烈光輪, Beam.wav
六芒烈光輪(命中), Crash.wav
六芒烈光輪(クリティカル), Glass.wav
念動力, BeamShot.wav
念動力(命中), Crash.wav
ＯＺの力(準備), BeamShot.wav
ＯＺの力(命中), Crash.wav
亜空斬(準備), BeamCoat.wav
亜空斬, Swing.wav
亜空斬(命中), Inori.wav
時空波動震, MicroMissile.wav
精神波<見>, Search.wav
精神波<見>(クリティカル), Glass.wav
ハルバード, Swing.wav
ハルバード(命中), Slash.wav
幻夢虚空魔波(準備), Fold.wav
幻夢虚空魔波, FlyBy.wav
幻夢虚空魔波(命中), Warship.wav
精神波カウンセリング, Sharara.wav
ベルトソー(準備), Drill.wav
ベルトソー, MultipleRocketLauncher(Light).wav
ベルトソー(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav
死の秒読み, Search.wav
死の秒読み(命中), Warship.wav
バイオチップ, Sharara.wav
ブレード投射(準備), Sword.wav
ブレード投射, MultipleRocketLauncher(Light).wav
ブレード投射(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav

Ｚの戦士
ツルハシ, Swing.wav
ツルハシ(命中), Stab.wav
バーニングプラズマ(準備), LaserGun.wav
バーニングプラズマ, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Explode(Far).wav
バーニングプラズマ(命中), -.wav
獣神イースター, Missile.wav
獣神イースター, Storm.wav
獣神イースター, AntiAirMissile.wav
獣神イースター(命中), 2;Stab.wav;Stab.wav
獣神イースター(命中), 2;Crash.wav;Crash.wav
ダッシュイースター, Missile.wav
ダッシュイースター, Storm.wav
ダッシュイースター, AntiAirMissile.wav
ダッシュイースター(命中), 2;Stab.wav;Stab.wav
ダッシュイースター(命中), 2;Crash.wav;Crash.wav
稲妻(準備), LaserGun.wav
稲妻, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Explode(Far).wav
左腕(命中), Crash.wav
Ｅの左腕(命中), Crash.wav
火炎(準備), Fire.wav
火炎, MicroMissile.wav

六芒聖神・Ｄ・デシベル
格闘術(準備), Wind.wav
格闘術, Storm.wav
髪の毛, MultipleRocketLauncher(Light).wav
髪の毛(クリティカル), BreakOff.wav

