東宝怪獣
ミルキーウィップ, 鞭 二刀流
フラッシュダッシュ, スーパータックル 黄色
ビームパルサー, 怪光線
スタントリガー(攻撃), 急降下
スタントリガー(命中), 急降下;;放電;爆発
スタントリガー(命中), 急降下;大放電;大爆発
プレッシャーフィールド, 粒子噴射 黄色;落雷
ダイレクトインパクト, 大放電
エクセルストリングス, 拡散ビーム 白
プチレールガン, 中ビーム 白
エクセルダッシュ, スーパータックル 青
ローリングシャインアロー(攻撃), 急降下
ローリングシャインアロー(命中), 発光 黄色
Ｓ・パイルロード(準備), 落雷
Ｓ・パイルロード(攻撃), 大ビーム 白
Ｓ・パイルロード(命中), 大ビーム 白
Ｅ・Ｓ・フィールド, 粒子噴射 黄色;落雷
イリュージョンミラージュ(準備),	オーラ上昇 黄色
イリュージョンミラージュ(攻撃),	分身打撃
イリュージョンミラージュ(命中),	スーパータックル乱舞
Ｓ・ストライクバスター(準備), エネルギーフィールド展開
Ｓ・ストライクバスター(攻撃), 光投射 黄色
Ｓ・ストライクバスター(命中), 発光 白;光柱
アローバスター(攻撃), 急降下
アローバスター(命中), 拡散ビーム 黄色
レインボーバスター(準備), 光噴出 白
レインボーバスター(攻撃), 急降下;発光 青
レインボーバスター(命中), 急降下;魔法放射 青
エックスサンダービーム(攻撃), 文字ビーム × 黄色
エックスサンダービーム(命中), 爆発
鎧・翼カッター(攻撃), タックル
鎧・翼カッター(命中), 斬撃突撃
エクセルダッシュバスター(準備), エネルギーフィールド展開
エクセルダッシュバスター(攻撃), スーパータックル 黄色
エクセルダッシュバスター(命中), スーパータックル 黄色
引力光線, 怪光線
反重力光線, 拡散ビーム
トリプルトルネード(攻撃), 怪光線;怪光線;怪光線;破壊光線
トリプルトルネード(命中), 大ビーム 黄色
火炎弾, 火炎弾
火砕流撃弾, 中ビーム 赤
火龍重撃波, 火炎放射 Breath.wav
剛烈駆雷震(準備), 発光 赤
剛烈駆雷震(攻撃), 火炎放射 Breath.wav;ＭＡＰ光噴出 赤 explode.wav
天怒爆突(命中), オーラ上昇 青;大爆発
三重渦撃砲, 交差ビーム 赤 黄色
輝雷衝撃波, 破壊光線
爆龍赤塊光波, スーパーブーメラン 赤
噴灼毒撃破, 交差ビーム 赤 黒
超重龍爆炎(準備), 落雷
超重龍爆炎(攻撃), 特殊光線 赤 Breath.wav
超重龍爆炎(命中), 特殊光線 赤 Breath.wav
縦列毒撃砲弾(準備), オーラ上昇
縦列毒撃砲弾(攻撃), 光打ち上げ 赤;光打ち上げ 赤;光打ち上げ 赤;光打ち上げ 赤;光打ち上げ 赤;
縦列毒撃砲弾(命中), 連続爆発
轟渦赤猛毒弾(準備), 強風 -
轟渦赤猛毒弾(攻撃), ＭＡＰ竜巻
インパルサー, ニードルレーザー連射 黄色
シュビビンビーム, 小ビーム
ドバガンビーム, 怪光線

主人公モスラ
クロスヒートレーザー, ２連小ビーム 青

レインボーモスラ通常モード
クロスヒートレーザー, ２連小ビーム 青
攻撃無効化, 結界 白 BeamCoat.wav "エアシールド"


レインボーモスラ水中モード
クロスヒートレーザー, シュートカッター 黄色 Beamshot.wav;２連小ビーム 青
攻撃無効化, 結界 白 BeamCoat.wav "アクアシールド"

鎧モスラ
クロスヒートレーザー, ２連中ビーム 青

デスギドラ
攻撃無効化, 光バリア Thunder.wav "轟砲一閃"
