
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　FF04_CockatriceU.bmp
#　FF04_GobrinU.bmp
#　FF04_BombU.bmp
#　FF04_MindFlareU.bmp
#　FF04_SylfU.bmp
#　FF04_ChocoboU.bmp
#　FF04_TitanU.bmp
#　FF04_SivaU.bmp
#　FF04_RamuhU.bmp
#　FF04_EfreetU.bmp
#　FF04_MystDragonU.bmp
#　FF04_LeviathanU.bmp
#　FF04_OdeinU.bmp
#　FF04_BahamutU.bmp
#　FF04_AsuraU.bmp
#　FF04_SkullnantU.bmp

ＦＦ４
シャドーブレイド, 黒剣
デスブリンガー, 黒剣
伝説の剣, 大剣
エクスカリバー, 神剣
ラグナロク, 神剣
ウインドスピア, スピア
グングニル, スピア
ホーリーランス, ランス
クロスボウ, クロスボウ
エルフィンボウ, 弓
アルテミスの弓, 弓
チェンウィップ, 鞭
円月輪, チャクラム
菊一文字, 斬撃武器 Weapon\EFFECT_NinjaBlade01.bmp
マサムネ, 斬撃武器 Weapon\EFFECT_NinjaBlade01.bmp
ロッド, 杖
ラミアの竪琴, 竪琴
アポロンのハープ, 竪琴
爪, 連打
杖, 杖
ミスリルハンマー, ハンマー
波動の杖, 杖
トリトンダガー, ナイフ
セラフィムメイス, メイス
トールハンマー, ハンマー
暗黒, ＭＡＰ波動放射 ブラック
ジャンプ, スピア急降下
ホーリー(準備), 発光
スロウ(準備), 発光
ホールド(準備), 発光
サイレス(準備), 発光
コンフュ(準備), 発光
ケアル(準備), 発光
ケアルラ(準備), 発光
ケアルダ(準備), 発光
ケアルガ(準備), 発光
エスナ(準備), 発光
プロテス(準備), 発光
シェル(準備), 発光
リフレク(準備), 発光
ホーリー(命中), 光投射;光柱
スロウ(命中), 時間逆行
ホールド(命中), 旋風 白
サイレス(攻撃), 決め文字 黙 灰色
コンフュ(攻撃), 羽
ケアル(発動), 回復魔法
ケアルラ(発動), 粒子集中 黄
