
ウルトラマン
ハンドドラフト, Beam.wav
ハンドドラフト(命中), Explode(Small).wav
パームパンチ, BreakOff.wav
パームパンチ(命中), Shock(Low).wav
サンメラリーパンチ, BreakOff.wav
サンメラリーパンチ(命中), Shock(Low).wav
ウルトラファイト, BreakOff.wav
ウルトラファイト(命中), Shock(Low).wav
テンダーキック, Whiz.wav
テンダーキック(命中), Crash.wav
エクリプスブレード, 20;Charge(high).wav;10;Bazooka.wav
エクリプスブレード(命中), Explode.wav
コズミューム光線, 25;Charge(long).wav;10;LaserGun.wav
コズミューム光線(命中), Explode.wav
オーバーループ光線, 25;Charge(long).wav;10;LaserGun.wav
オーバーループ光線(命中), Explode.wav
コスモストライク, 25;Charge(long).wav;10;LaserGun.wav
コスモストライク(命中), Explode.wav
コズミューム光線, 25;Charge(long).wav;10;LaserGun.wav
コズミューム光線(命中), Explode.wav
ビクトリューム光線, 25;Charge(long).wav;10;LaserGun.wav
ビクトリューム光線(命中), Explode.wav
ダグリューム光線, 25;Charge(long).wav;10;LaserGun.wav
ダグリューム光線(命中), Explode.wav
コロナチェンジ, 20;BeamCoat.wav
エクリプスチェンジ, 20;BeamCoat.wav
ルナチェンジ, 20;BeamCoat.wav
フューチャーチェンジ, 20;BeamCoat.wav
クラッシャーチェンジ, 20;BeamCoat.wav
スタンダードチェンジ, 20;BeamCoat.wav
