

うたわれるもの
格闘(命中), FightHit(2).wav
仕込鉄扇, Saber.wav
仕込鉄扇(命中), FightHit(1).wav
仕込鉄扇【脳震盪誘発】, Saber.wav
仕込鉄扇【脳震盪誘発】(命中), FightHit(1).wav
仕込鉄扇【毒仕込】, Saber.wav
仕込鉄扇【毒仕込】(命中), FightHit(1).wav
仕込鉄扇【毒仕込】(クリティカル), Slash(3).wav
仕込鉄扇連撃, Saber.wav
仕込鉄扇連撃(命中), 2;FightHit(2).wav;3;FightHit(3).wav;2;FightHit(1).wav;FightHit(1).wav
仕込鉄扇連撃【魔撃】, Saber.wav
仕込鉄扇連撃【魔撃】(命中), 3;FightHit(3).wav;2;FightHit(2).wav;2;FightHit(2).wav;2;FightHit(2).wav;4;FightHit(2).wav;3;Saber.wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;1;FightHit(1).wav;4;FightHit(1).wav
仕込鉄扇連撃【魔撃】(クリティカル), 7;Charge.wav;Explode(Far).wav
仕込鉄扇連撃【魔撃】(クリティカル), 7;Charge.wav;Storm.wav
仕込鉄扇連撃【魔撃】(クリティカル), 7;Charge.wav;Thunder.wav
仕込鉄扇連撃【魔撃】(クリティカル), 7;Charge.wav;Interference.wav
灼熱の炎, Breath.wav
灼熱の炎(命中), Interference.wav
蒼き閃爪, Saber.wav
蒼き閃爪(命中), Slash(4).wav
光を飲み乾す咆哮, Storm.wav
光を飲み乾す咆哮(命中), 1;MicroMissile.wav;11;Black.bmp 480 480;Clear
薬師の知識, 7;Charge.wav;Sharara.wav
偉大なる教え, 7;Charge(2).wav;1;White.bmp 480 480;Clear;Sharara.wav
咆哮, Interference.wav
双爪撃, Saber.wav
双爪撃(命中), 2;Slash.wav;Slash.wav
ガチャタラの雷光, Beam.wav
ガチャタラの雷光(命中), Thunder.wav
噛み付き, Saber.wav
噛み付き(命中), Slash(4).wav
聖獣の鳴動, 3;Beam.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Storm.wav
聖獣の鳴動(命中), 2;Slash(4).wav;3;Slash(4).wav;4;Slash(4).wav;Crash.wav
大斧, Saber.wav
大斧(命中), Slash(4).wav
大斧大車輪, 3;Saber.wav;2;Saber.wav;1;Saber.wav
大斧大車輪(命中), Sword.wav
大斧大旋風斬, 3;Saber.wav;3;Saber.wav;3;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
大斧大旋風斬(命中), Crash.wav
弐刀流(命中), 2;Slash.wav;3;Slash.wav;1;Slash.wav;Slash.wav
神速の連撃, Whiz.wav
神速の連撃(命中), 3;Slash(4).wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;7;Charge(High).wav;Explode(Far).wav
