
#以下のアイコンは丸投げ画像パックに収録されているものを使用しています
#EFFECT_DMD_Aeon'sGun.bmp
#EFFECT_DMD_BowOfSirius.bmp
#EFFECT_DMD_Cthugha.bmp
#EFFECT_DMD_Ithaqua.bmp
#EFFECT_DMD_Liogor&Zhar.bmp
#EFFECT_DMD_LordByakhee'sRifle.bmp
#EFFECT_DMD_ScimitarOfBarzai(Open).bmp
#EFFECT_DMD_ScimitarOfBarzai(Spin).bmp
#EFFECT_DMD_ScimitarOfBarzai.bmp
#EFFECT_DMD_ShiningTrapezohedron.bmp
#EFFECT_DMD_SwordOfGoldCross(Extend).bmp
#EFFECT_DMD_SwordOfGoldCross.bmp

鬼械神
分身(ニトクリスの鏡), ダミー Glass.wav ニトクリスの鏡
分身(疫病の黒風), 画像指定分離回避 疫病の黒風 分離画像="Common\EFFECT_ParticleSwooth(Black)01.bmp"="Common\EFFECT_ParticleSwooth(Black)01.bmp"="Common\EFFECT_ParticleSwooth(Black)01.bmp" Zapper.wav
分身(血の水面に魅入る、写せ), 粒子集中 赤 Splash.wav;画像指定分離回避 血の水面に魅入る、写せ 分離画像=Info(ユニットデータ,鬼械神デモンベイン・ブラッド,グラフィック)=Info(ユニットデータ,鬼械神デモンベイン・ブラッド,グラフィック)=Info(ユニットデータ,鬼械神デモンベイン・ブラッド,グラフィック)=Info(ユニットデータ,鬼械神デモンベイン・ブラッド,グラフィック) -.wav
## デモンベイン＆デモンベイン・トゥーソード
アトランティスストライク(準備), 光噴出 緑 Charge.wav
アトランティスストライク(攻撃), スーパーキック 緑
アトランティスストライク(命中), スーパーキック 緑 Explode(High).wav
アトランティスストライク(解説), $(ユニット)はアトランティス・ストライクで攻撃をかけた。
レムリア・インパクト(準備), 粒子集中 緑;魔法陣 緑 背面
レムリア・インパクト(攻撃), スーパーパンチ 緑
レムリア・インパクト(命中), スーパーパンチ 緑 Crash.wav;3;レムリア・インパクト
レムリア・インパクト(とどめ), レムリア・インパクト 結界なし
レムリア・Ｄ・インパクト(準備), 粒子集中 緑;魔法陣 緑 背面
レムリア・Ｄ・インパクト(攻撃), ＭＡＰ移動タックル 緑 Whiz(2).wav
レムリア・Ｄ・インパクト(命中), レムリア・インパクト;超大爆発 緑 Explode(Nuclear).wav
レムリア・Ｄ・インパクト(解説), $(ユニット)はレムリア・ディレイ・インパクトで攻撃をかけた。
アトラック＝ナチャ(準備), 粒子集中 ピンク
アトラック＝ナチャ(攻撃), ヘッドバット;多触手 ピンク
アトラック＝ナチャ(命中), 多触手 ピンク;魔法陣 ピンク BeamSaber.wav
バルザイの偃月刀(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 赤 Breath.wav;2;振る武器 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 Reload(2).wav
バルザイの偃月刀(攻撃), 振る武器突撃 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 -.wav;斬撃 赤 Swing(2).wav
バルザイの偃月刀(命中), 炎斬撃 MultipleRocketLauncher(Light).wav
偃月刀投擲(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 赤 Breath.wav;2;振る武器 "Weapon\EFFECT_DMD_ScimitarOfBarzai(Open).bmp" 48 Reload.wav
偃月刀投擲(攻撃), 回転投擲武器 "Weapon\EFFECT_DMD_ScimitarOfBarzai(Spin).bmp" 速
偃月刀投擲(命中), 光回転斬撃 中 赤 Drill.wav
二挺魔銃(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;別武器二丁拳銃 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32
二挺魔銃(攻撃), 別武器二丁拳銃連射 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64
二挺魔銃(命中), 点連打 黄 Explode.wav
クトゥグア爆裂弾(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤;射撃武器 "Weapon\EFFECT_DMD_Cthugha.bmp" 32
クトゥグア爆裂弾(攻撃), 手持ち発射 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 対象ユニットＩＤ "Fire\EFFECT_FlameThrowerHit(Red)06.bmp" 32 Bazooka.wav
クトゥグア爆裂弾(命中), 超爆発 赤 Explode(Nuclear).wav
イタクァ追尾弾(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青;射撃武器 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32
イタクァ追尾弾(攻撃), 拡散ビームライフル "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青
イタクァ追尾弾(命中), ホーミングレーザー 青 Glass.wav
クトゥグア神獣弾(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤;発光 赤;@戦闘アニメ_デフォルト攻撃 Reload.wav;3;射撃武器 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 Flair.wav
クトゥグア神獣弾(攻撃), 銃撃武器 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Beam2\EFFECT_BeamShotGun(Red)03.bmp" 64 Bazooka.wav 大;1;実弾発射 "Animal\EFFECT_Tiger(Red)01.bmp" 40 Roar.wav 発光 遅 残像
#クトゥグア神獣弾(攻撃), 銃撃武器 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Beam2\EFFECT_BeamShotGun(Red)03.bmp" 64 Bazooka.wav 大;1;実弾発射 Info(ユニットデータ,ページモンスター・クトゥグア,グラフィック) 32 Roar.wav 発光 遅 残像
クトゥグア神獣弾(命中), Breath.wav;超ビーム 赤 -.wav;超大爆発 赤 HyperExplode.wav
イタクァ神獣弾(準備),射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青;発光 青;@戦闘アニメ_デフォルト攻撃 Reload.wav;3;射撃武器 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 Flair.wav
イタクァ神獣弾(攻撃), 銃撃武器 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 "Beam2\EFFECT_BeamShotGun(Blue)03.bmp" 64 Bazooka.wav 大;1;実弾発射 "Creature\EFFECT_ChineseDragon(White)01.bmp" 40 Flash.wav 発光 遅 残像
