
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#　　入っているフォルダ名については特に指定していないので、必要に応じて変更してください。
#
#　EFFECT_Clogs01.bmp
#　EFFECT_Coin01.bmp
#　EFFECT_Crescent.bmp
#　EFFECT_Tower.bmp
#　EFFECT_Eye.bmp
#　EFFECT_SaGaF1_Nightmare.bmp
#　EFFECT_SaGaF1_BlackCat.bmp
#　EFFECT_SaGaF1_Reaper.bmp
#　EFFECT_SaGaF1_Cockatrice.bmp
#　EFFECT_Rune_Ger.bmp
#　EFFECT_Rune_Thorn.bmp
#　EFFECT_Rune_Tyr.bmp
#　EFFECT_Rune_Hagel.bmp
#　EFFECT_Rune_Eolh.bmp
#　EFFECT_Rune_Wyn.bmp
#　EFFECT_Rune_Eoh.bmp
#　EFFECT_Rune_Ing.bmp
#　　ルーン文字のフォントというものもあるのですが、普通は入れてないでしょうし。

サガフロ
シャドウダガー, ナイフ
フィーンドロッド, エストック
ブロードソード, 剣
サムライソード, 日本刀
レーザーナイフ, ビームナイフ ピンク
セラミックサーベル, サーベル
シルバースプレッド, ソード
刀, 日本刀
高周波ブレード(準備), 振る武器 Laser\EFFECT_LightSaber(Pink)02.bmp BeamSaber.wav
高周波ブレード(攻撃), 剣
高周波ブレード(命中), 斬撃
ゼロソード, 剣
ロードスター, ソード
流星刀, 日本刀
月下美人, 日本刀
幻魔(準備), 黒剣
幻魔(攻撃), 黒剣
幻魔(命中), 黒斬撃;黒斬撃;ビームサーベル ピンク
金獅子の剣, 大剣
誘惑(攻撃), 実弾発射 Heart.bmp
誘惑(命中), @戦闘アニメ_周囲回転攻撃 Heart.bmp 相手ユニットＩＤ
影縛り, ナイフ
鉄下駄シュート(準備), 投擲武器 EFFECT_Clogs01.bmp
鉄下駄シュート(攻撃), キック;実弾発射 EFFECT_Clogs01.bmp
鉄下駄シュート(命中), ダメージ
ミリオンダラー(準備), 日本刀
ミリオンダラー(攻撃), 隕石;隕石;隕石;隕石;隕石
ミリオンダラー(命中), 連続爆発
ファイナルストライク(準備), ショートソード
ファイナルストライク(攻撃), 発光;透明化;浮上アップ Info(ユニットデータ, 対象ユニット, グラフィック);浮上アップ終了 Info(ユニットデータ, 対象ユニット, グラフィック);透明化 解除
ファイナルストライク(命中), 光柱
ブレイブハート(準備), ソード
ブレイブハート(発動), @戦闘アニメ_吸収命中 オレンジ
幻魔相破(準備), 黒剣
幻魔相破(攻撃), 黒剣突撃
幻魔相破(命中), @戦闘アニメ_瞬間変形攻撃 Anime\Common\EFFECT_LightningBall03.bmp 相手ユニットＩＤ;_
                @戦闘アニメ_浮上アップ攻撃 Common\EFFECT_LightningBall03.bmp 黒 FlyBy.wav;_
                6;斬り上げ Crash.wav;6;超斬撃;大爆発 Explode(Nuclear).wav
なぎ払い(攻撃), なぎ払い
なぎ払い(命中), なぎ払い
切り返し, 連斬撃
飛燕剣(攻撃), 気斬
飛燕剣(命中), 斬撃
巻き打ち, 斬撃
諸手突き, 刺突
二刀十字斬, ダブル斬撃
払車剣(攻撃), 中心回転武器 Weapon\EFFECT_Sword02.bmp
払車剣(命中), 斬撃
烈風剣(攻撃), 強風;気斬 緑
烈風剣(命中), 斬撃
燕返し(攻撃), @戦闘アニメ_光柱使用 Charge(High).wav
燕返し(命中), 超斬撃 Slash.wav
スマッシュ(攻撃), 振り下ろし
スマッシュ(命中), 大斬撃
柳枝の剣(攻撃), タックル
柳枝の剣(命中), 斬り上げ
稲妻突き(攻撃), 剣突撃
稲妻突き(命中), 刺突;放電
天地二段(攻撃), 急降下
天地二段(命中), 急降下 ブルー Thunder.wav;なぎ払い
二刀烈風剣(攻撃), 強風;気斬 緑;気斬 緑
二刀烈風剣(命中), 連斬撃
逆風の太刀, 日本刀突撃
月影の太刀(準備), 決め画像 EFFECT_Crescent.bmp
月影の太刀(攻撃), 斬撃;決め文字 月
月影の太刀(命中), 雷斬撃 Slash.wav
デッドエンド(攻撃), 剣突撃
デッドエンド(命中), 刺突;なぎ払い;急降下
雲身払車剣(攻撃), @戦闘アニメ_緊急テレポート発動 　;透明化;ＭＡＰオーラ オレンジ MultipleRocketLauncher.wav;_
                  透明化 解除
雲身払車剣(命中), 斬撃
ベアクラッシュ(攻撃), タックル
ベアクラッシュ(命中), 唐竹割り Crash.wav
風雪即意付け(準備), 吹雪
風雪即意付け(攻撃), 日本刀突撃;決め文字 雪
風雪即意付け(命中), 斬撃;氷柱
清流剣(攻撃), 剣突撃 Interference.wav
清流剣(命中), 超斬撃
濁流剣, 分身斬撃
喪神無想, 分身斬撃
神速三段突き(攻撃), 剣突撃
神速三段突き(命中), 大刺突;アッパー Saber.wav;急降下
かすみ二段(攻撃), 白兵回転
