ウィザードリィ・モンスターズ
アイスブレス(攻撃), 火炎放射 青 Breath.wav
ファイアブレス(攻撃), 火炎放射 赤 Breath.wav
ブレス(攻撃), 火炎放射 白 Breath.wav
ポイズンブレス(攻撃), 火炎放射 緑 Breath.wav
アシッドブレス(攻撃), 火炎放射 黄 Breath.wav
雲霞のブレス(攻撃), 火炎放射 白 Breath.wav
アイスブレス(命中), 火炎放射 青 Glass.wav
ファイアブレス(命中), 火炎放射 赤 Fire.wav
ブレス(命中), 火炎放射 白 Explode(Small).wav
ポイズンブレス(命中), 火炎放射 緑 Explode(Small).wav
アシッドブレス(命中), 火炎放射 黄 Shock(Low).wav
雲霞のブレス(命中), 火炎放射 白 Hide.wav
シールド防御(ビースト), シールド防御 WIZ_BeastU.bmp
シールド防御(シールド), ミドルシールド
シールド防御(シールド), シールド防御 Shield\EFFECT_Shield01.bmp
シールド防御(マジックシールド), 透明化;シールド防御 WIZ_MagicShieldU.bmp;透明化 解除
カティノ(攻撃), ＭＡＰ煙 Whiz.wav
カティノ(命中), 煙 Null.wav
ハリト, 火炎弾
マハリト, 炎投射
ラハリト, 炎投射
ダルト(攻撃), 氷弾
ダルト(命中), 凍結
マダルト, 吹雪
ラダルト(攻撃), 拡散ビーム 白 Storm.wav
ラダルト(命中), 凍結;飛沫 白
ラカニト(攻撃), 光投射 白 Interference.wav
ラカニト(命中), 飛沫 白 Whiz.wav
ティルトウェイト(攻撃), 光投射 白 Whiz.wav
ティルトウェイト(命中), 超爆発;@戦闘アニメ_ＭＡＰフラッシュ攻撃 相手ユニットＩＤ
マウジウツ, ＭＡＰ泡
カツ(攻撃), 実弾発射 ..\Event\スペシャルパワー\Heart.bmp 16 Null.wav
カツ(命中), -
モンティノ(攻撃), -
モンティノ(命中), -
ハカニド(攻撃), 光投射 白 Whiz.wav
ハカニド(命中), -
バカディ(攻撃), ＭＡＰダークネス
バカディ(命中), -
バディオス, 光投射 黒 Whiz.wav
バディアル, 光投射 黒 Whiz.wav
バリコ, 風
ロルト, 強風
リトカン(攻撃), 光投射 赤 Whiz.wav
リトカン(命中), 火柱
バディアルマ, 光投射 黒 Whiz.wav
バディ(攻撃), @戦闘アニメ_死神 Whiz.wav
バディ(命中), -
マバディ(攻撃), 魔法放射 黒 Whiz.wav
マバディ(命中), @戦闘アニメ_死神
ラバディ(攻撃), 魔法放射 黒 Whiz.wav
ラバディ(命中), @戦闘アニメ_死神 Null.wav;吸収 黒 Interference.wav
ディアル, 回復魔法
ディアルマ, 回復魔法
マディ, 回復魔法
一文字則常, 脇差
備前長船兼光, 野太刀
村正, 妖刀
連撃, 斬撃乱舞
十連撃, 斬撃乱舞;斬撃乱舞
炎の剣, 炎剣
炎の鞭(攻撃), 鞭
炎の鞭(命中), ダメージ Whip.wav;炎
曲刀, シミター
宰相の剣, 黒剣
災禍の大剣(準備), 振る武器 Weapon\EFFECT_FireSword01.bmp 56
災禍の大剣(攻撃), 斬撃
災禍の大剣(命中), 炎斬撃
錆びた剣(準備), 黒剣
錆びた剣(攻撃), 斬撃
錆びた剣(命中), 打撃
三叉矛, トライデント
死神の鎌, 大鎌
蛇の鞭(準備), 蛇
蛇の鞭(攻撃), 斬撃
蛇の鞭(命中), ダメージ Whip.wav
錫杖(準備), 杖
錫杖(攻撃), 斬撃
錫杖(命中), 斬撃
錫杖(とどめ), 縦分割
戦輪, チャクラム
大剣, 巨大剣
大天使の剣, 神剣
魔界の大剣(準備), 振る武器 Weapon\EFFECT_DevilSword01.bmp 48
魔界の大剣(攻撃), 斬撃
魔界の大剣(命中), 大斬撃
両手斧, 巨大斧
ビーストの一撃, デフォルト
エナジードレイン(♀)(攻撃), 実弾発射 ..\Event\スペシャルパワー\Heart.bmp 16 Whiz.wav
エナジードレイン(♀)(命中), 立ち固め Null.wav
エナジードレイン(♂)(攻撃), 実弾発射 ..\Event\スペシャルパワー\Heart.bmp 16 Whiz.wav
エナジードレイン(♂)(命中), 立ち固め Null.wav
エナジードレイン(攻撃), デフォルト Search.wav
エナジードレイン(命中), 吸収 黒 Interference.wav
引っ掻き, 爪撃
ゲイズ(攻撃), ニードルレーザー 赤 Null.wav
ゲイズ(命中), -
噛み付き(首斬)(クリティカル), -
噛み付き(首斬)(とどめ), 横分割
挟み込み, 噛み付き
群体攻撃, 粒子噴射 白
首斬(攻撃), デフォルト
首斬(命中), 超斬撃
首斬(とどめ), 横分割
触手(イビル・アイ(ＷＩＺ)), 触手 黒
触手(ゼノ(ＷＩＺ)), 触手 赤
触手(ディスプレッサービースト(ＷＩＺ)), 多触手 黒
尻尾, 舌
聖光(攻撃), 拡散ビーム 白 BeamCoat.wav
聖光(命中), 拡散ビーム 白 Glass.wav
石化波(攻撃), 拡散ビーム 白 LaserGun.wav
石化波(命中), 拡散ビーム 白 Shock(Low).wav
舌, 舌
蔦, 触手 緑
締め付け(攻撃), 舌
締め付け(命中), @戦闘アニメ_行動不能クリティカル共通 BreakOff.wav "";@戦闘アニメ_行動不能クリティカル共通 BreakOff.wav ""
逃走, 煙;透明化
突撃(攻撃), タックル
突撃(命中), 超斬撃
八本の首, 多触手 緑
放電, 大電撃
阻止(呪文無効化), 飛沫 白 BeamCoat.wav
マジックソード(準備), 透明化;振る武器 Weapon\EFFECT_WIZ_Hrathnir.bmp
マジックソード(攻撃), @戦闘アニメ_透明化準備 解除;斬撃
マジックソード(命中), 唐竹割り
マジックソード(とどめ), 縦分割
当て身技(斬り返し), 切り払い

汎用
カティノ(攻撃), ＭＡＰ煙 Whiz.wav
カティノ(命中), 煙 Null.wav
ハリト, 火炎弾
マハリト, 炎投射
ラハリト, 炎投射
ダルト(攻撃), 氷弾
ダルト(命中), 凍結
マダルト, 吹雪
ラダルト(攻撃), 拡散ビーム 白 Storm.wav
ラダルト(命中), 凍結;飛沫 白
ティルトウェイト(攻撃), 光投射 白 Whiz.wav
ティルトウェイト(命中), 超爆発;@戦闘アニメ_ＭＡＰフラッシュ攻撃 相手ユニットＩＤ
カツ(攻撃), 実弾発射 ..\Event\スペシャルパワー\Heart.bmp 16 Null.wav
カツ(命中), -
モンティノ(攻撃), -
モンティノ(命中), -
ハカニド(攻撃), 光投射 白 Whiz.wav
ハカニド(命中), -
バカディ(攻撃), ＭＡＰダークネス
バカディ(命中), -
バディオス, 光投射 黒 Whiz.wav
バディアル, 光投射 黒 Whiz.wav
バリコ, 風
ロルト, 強風
リトカン(攻撃), 光投射 赤 Whiz.wav
リトカン(命中), 火柱
バディアルマ, 光投射 黒 Whiz.wav
バディ(攻撃), @戦闘アニメ_死神 Whiz.wav
バディ(命中), -
マバディ(攻撃), 魔法放射 黒 Whiz.wav
マバディ(命中), @戦闘アニメ_死神
ラバディ(攻撃), 魔法放射 黒 Whiz.wav
ラバディ(命中), @戦闘アニメ_死神 Null.wav;吸収 黒 Interference.wav
ディアル, 回復魔法
ディアルマ, 回復魔法
ラツモフィス, 回復魔法
ディアルコ, 回復魔法
マディ, 回復魔法
阻止(呪文無効化), 飛沫 白 BeamCoat.wav
ダミー(ルビーのスリッパ), 緊急テレポート Swing.wav ロクトフェイト
マウジウツ, ＭＡＰ泡
ロカラ, ＭＡＰ地震
カシナートの剣, ソード
ブレードカシナート(準備), 振る武器 Weapon\EFFECT_WIZ_BradeCusinate.bmp
ブレードカシナート(攻撃), 刺突
ブレードカシナート(命中), 刺突;風
ファウストハルバード, ハルバード
虎殺しの槍, トライデント
魔法使いの弓, 弓
村正, 妖刀
MURASAMA, 妖刀
首斬(手裏剣)(準備), 手裏剣
首斬(手裏剣)(攻撃), 手裏剣
首斬(手裏剣)(命中), 大刺突
首斬(手裏剣)(とどめ), 横分割
ハースニール(準備), 振る武器 Weapon\EFFECT_WIZ_Hrathnir.bmp
ハースニール(攻撃), 斬撃
ハースニール(命中), クリティカル斬撃
ベイキングブレード(準備), 炎剣
ベイキングブレード(攻撃), 斬撃
ベイキングブレード(命中), 炎斬撃;炎
