
## デビルメイクライ２ #################################

デビルメイクライ２
## ダンテ #############################################
リベリオン, 鋼剣
スマッシュ, タックル
スティンガー(準備), 鋼剣
スティンガー(攻撃), タックル;刺突
スティンガー(命中), 刺突 Crash.wav
ヘルムブレイカー(準備), 鋼剣
ヘルムブレイカー(攻撃), 急降下
ヘルムブレイカー(命中), 急降下 -.wav; 唐竹割り Crash.wav
ラウンドトリップ(準備), 鋼剣
ラウンドトリップ(攻撃), なぎ払い
ラウンドトリップ(命中), 回転斬撃
グレイヴディガー, スピンキック 2
カリギュラ(準備), -
カリギュラ(攻撃), ニードルレーザー連射 赤 MachineGun.wav
カリギュラ(命中), ニードルレーザー連射 赤
光の二刀, ビームソード突撃 赤 二刀流
クリムゾンボライド(準備), -
クリムゾンボライド(攻撃), 光球 赤 Whiz.wav
クリムゾンボライド(命中), 大爆発
ドゥームズデイ(準備), 粒子集中 白
ドゥームズデイ(攻撃), ＭＡＰフラッシュ
ドゥームズデイ(命中), フラッシュ
レーヴァテイン(準備), 粒子集中 白
レーヴァテイン(攻撃), 超ビーム 白 MultipleRocketLauncher.wav
レーヴァテイン(命中), 超ビーム 白 MultipleRocketLauncher.wav
ワールウィンド(準備), 鋼剣
ワールウィンド(攻撃), 白兵武器
ワールウィンド(命中), 強風
ショウタイム(攻撃), 連斬撃;連続なぎ払い;斬撃突撃
ショウタイム(命中), 連斬撃;連続なぎ払い;刺突突撃;超斬撃
エボニー＆アイボリー(準備), 左右別武器 EFFECT_DMC_Ebony01.bmp - - EFFECT_DMC_Ivory01.bmp - - Reload.wav
エボニー＆アイボリー(攻撃), 内蔵チェーンガン 赤
エボニー＆アイボリー(命中), 内蔵チェーンガン 赤
## ルシア #############################################
ボウガン, クロスボウ
スローダガー, クナイ
カトラシア, シミター 二刀流
ホイールキック(攻撃), バックキック
ホイールキック(命中), 超打
ダート, 連投剣
ラピッドファイア, ジャンプ;キック
アクスキック(攻撃), 急降下
アクスキック(命中), 急降下
クランキーボム(攻撃), グレネード
クランキーボム(命中), 爆発
セラフィックソアー(準備), 翼
セラフィックソアー(攻撃), 拡散ビーム 白
セラフィックソアー(命中), 拡散ビーム 白
ディヴァインアンガー(準備), 粒子集中 白
ディヴァインアンガー(攻撃), 振り下ろし;地表衝撃波 白
ディヴァインアンガー(命中), 地表衝撃波 白
## トリッシュ #########################################
スパーダ(準備), -
スパーダ(攻撃), 連斬撃; 斬撃突撃
スパーダ(命中), 連斬撃; 超斬撃
ルーチェ＆オンブラ(準備), Reload.wav
ルーチェ＆オンブラ(攻撃), 内蔵チェーンガン 赤
ルーチェ＆オンブラ(命中), 内蔵チェーンガン 赤
ハイタイムジャンプ, 振り上げ大斬撃
スティンガー(Ｓ)(準備), -
スティンガー(Ｓ)(攻撃), タックル;刺突
スティンガー(Ｓ)(命中), 刺突 Crash.wav
連続突き(準備), -
連続突き(攻撃), 乱突
連続突き(命中), 乱突
エアレイド, 電撃
ヴォルテックス, スーパータックル 黄
プラズマミサイル(準備), -
プラズマミサイル(攻撃), 急降下
プラズマミサイル(攻撃), 急降下 Bazooka.wav;超ビーム 黄 Bazooka.wav;超爆発
## ボス ###############################################
鉄球投げ, 鉄球
鉄球, 鎖鉄球
シールド(鉄球ガード), @戦闘アニメ_鎖鉄球攻撃
片手払い(準備), -
片手払い(攻撃), なぎ払い
片手払い(命中), ダメージ
跳び体当たり, 飛びかかり
衝撃波(準備), -
衝撃波(攻撃), 泡球 Whiz.wav
衝撃波(命中), ダメージ
バリア(準備), -
バリア(攻撃), オーラ 白 Breath.wav
バリア(命中), Breath.wav
毒ガス(準備), 炎 緑 Breath.wav
毒ガス(攻撃), -
毒ガス(命中), 炎 緑 Breath.wav
毒ガス吐き(準備), -
毒ガス吐き(攻撃), 炎投射 緑 Breath.wav
毒ガス吐き(命中), 炎 緑 Breath.wav
触手(準備), -
触手(攻撃), なぎ払い
触手(命中), ダメージ
機銃, 重機関砲
ローター, 回転斬撃
小型ロケット, 小型ミサイル 10
誘導ミサイル, スーパーミサイル 2
火柱(準備), -
火柱(攻撃), -
火柱(命中), 火柱
拡散ビーム, 拡散ビーム 白
巨大レーザー, ＭＡＰ持続ビーム 白
押しつぶし, スーパーパンチ 黒
電撃波, 小ビーム 白
雷球, 球電
武器振り回し(準備), 大金槌
武器振り回し(攻撃), 斬撃乱舞;炎
武器振り回し(命中), 炎
巨大ハンマー, 大金槌
衝撃震(準備), 大金槌
衝撃震(攻撃), 振り下ろし;ＭＡＰ大爆発
衝撃震(命中), 爆発
突進体当たり(攻撃), タックル
突進体当たり(命中), 超打
ラーヴァ(攻撃), -
ラーヴァ(命中), 噛み付き
食う, 噛み付き
シッポ攻撃(準備), -
シッポ攻撃(攻撃), 振り下ろし
シッポ攻撃(攻撃), なぎ払い
シッポ攻撃(攻撃), 振り上げ
シッポ攻撃(命中), ダメージ
ヤリ伸ばし, エナジーブレード 緑
黒ヤリ, 刺突
黒炎波, 地表衝撃波 黒
当て身かぶと割り(準備), -
当て身かぶと割り(攻撃), 急降下
当て身かぶと割り(命中), 急降下 -.wav;唐竹割り Crash.wav
突進突き(準備), -
突進突き(攻撃), タックル;刺突
突進突き(命中), 刺突 Crash.wav
黒炎放出(準備), -
黒炎放出(攻撃), ＭＡＰ炎 黒
黒炎放出(命中), 炎 黒
ツメ, 斬撃
尻尾突き, 刺突
火柱(準備), -
火柱(攻撃), -
火柱(命中), 火柱
火炎弾爆撃, ＭＡＰ火炎弾
ファイアーブレス, 火炎放射
火炎弾(炎の顔), 拡散ビーム 赤
吐息, 火炎放射 青
氷弾, 氷弾
つらら(準備), -
つらら(攻撃), -
つらら(命中), つらら
雷球(準備), -
雷球(攻撃), ４ＷＡＹ射出
雷球(命中), 電撃
サンダーリング(準備), -
サンダーリング(攻撃), 音波 Thunder.wav
サンダーリング(命中), 大電撃 青
合体光弾(準備), 魔方陣 赤;魔方陣 青;魔方陣 黄色;粒子集中 白
合体光弾(攻撃), 大ビーム 白
合体光弾(命中), 大ビーム 白
暗黒針召喚(準備), 魔法放射 黒
暗黒針召喚(攻撃), 乱突
暗黒針召喚(命中), 乱突
暗黒吸引(準備), 魔法放射 黒
暗黒吸引(攻撃), 魔法集中 黒
暗黒吸引(命中), 重力圧縮
暗黒弾(準備), -
暗黒弾(攻撃), 重力弾
暗黒弾(命中), ダメージ
突進(準備), -
突進(攻撃), タックル; 打突
突進(命中), 打突
触手(Ｐアリウス), 触手
ガレキ投げ, 岩
レーザー, 中ビーム 白
拡散ビーム, 拡散ビーム 白
毒液, 火炎放射 緑
振りまわし(準備), -
振りまわし(攻撃), なぎ払い
振りまわし(命中), ダメージ
はさみこみ放電, 破壊光線
電撃カーテン, ＭＡＰ持続ビーム 黄
電撃波, 地表衝撃波 黄
ムチ(準備), -
ムチ(攻撃), 振り下ろし
ムチ(攻撃), なぎ払い
ムチ(攻撃), 振り上げ
ムチ(命中), ダメージ
両手剣, エナジーブレード突撃 赤 二刀流
ホーミングレーザー, ホーミングレーザー 白
レインレーザー(準備), -
レインレーザー(攻撃), 波動放射 白
レインレーザー(命中), 拡散ビーム 白
大剣, 光巨大剣突撃 赤
エネルギー弾, 気弾 白
羽回転払い(準備), 翼(コウモリ) 赤
羽回転払い(攻撃), 斬撃乱舞
羽回転払い(命中), ハイパービームサーベル 赤
## 敵 ###############################################
剣, 鋼剣 二刀流
斧, 片刃斧
盾回転攻撃(準備), ソーサー
盾回転攻撃(攻撃), スピンアタック 桃
盾回転攻撃(命中), ダメージ
盾飛ばし, ソーサー
引っかき, 爪撃
ジャンプ引っかき(攻撃), タックル;爪撃
ジャンプ引っかき(命中), 爪撃
毒吐き(準備), -
毒吐き(攻撃), 炎投射 緑 Breath.wav
