
真田幸村(無双)
炎槍(準備), 十字槍
炎槍(攻撃), 十字槍突撃
炎槍(命中), 十字槍突撃;炎
紅牙飛燕, 十字槍
突進斬り(準備), @戦闘アニメ_回転斬撃攻撃 Charge.wav
突進斬り(攻撃), 十字槍突撃
突進斬り(命中), 連斬撃
連突(準備), 十字槍
連突(攻撃), 連突;連突
連突(命中), 連突;連突;@戦闘アニメ_なぎ払い攻撃;なぎ払い
突刺し投げ(準備), 十字槍
突刺し投げ(攻撃), 刺突
突刺し投げ(命中), 刺突;@戦闘アニメ_振り上げ攻撃;煙 白 Bazooka.wav
無双奥義(準備), 決め文字 勇 黒
無双奥義(攻撃), 連斬撃;連斬撃;斬撃
無双奥義(命中), 連斬撃;連斬撃;斬撃
無双秘奥義(準備), 決め文字 焔 黒 Glass.wav
無双秘奥義(攻撃), 連斬撃;連斬撃;斬撃
無双秘奥義(命中), 連斬撃;連斬撃;斬撃;振り下ろし;振り下ろし;なぎ払い;「<B>魂に刻めい！！</B>」
変形(馬呼び), MouseWhisle.wav
電光石火(準備), 十字槍
電光石火(攻撃), なぎ払い;刺突
電光石火(命中), なぎ払い;刺突
電光石火(クリティカル), @戦闘アニメ_振り上げ命中;@戦闘アニメ_斬撃命中;@戦闘アニメ_落下命中 Crash.wav

真田幸村(無双騎馬)
紅牙飛燕, 十字槍
無双奥義(準備), 決め文字 勇 黒
無双奥義(攻撃), ＭＡＰ移動タックル 赤
無双奥義(命中), ダメージ Shock(Low).wav

明智光秀(無双)
備前近景, 日本刀
受け返し(命中), @戦闘アニメ_振り上げ攻撃;@戦闘アニメ_斬撃攻撃;振り上げ;振り下ろし
薙ぎ払い(準備), 日本刀
薙ぎ払い(攻撃), なぎ払い
薙ぎ払い(命中), なぎ払い
一閃(攻撃), 振る武器突撃 -.bmp
一閃(命中), 日本刀突撃
円月殺法(準備), 日本刀
円月殺法(攻撃), 円月殺法 白 縦
円月殺法(命中), 唐竹割り
無双奥義(準備), 決め文字 閃 黒
無双奥義(攻撃), 連斬撃;連斬撃;連斬撃
無双奥義(命中), 連斬撃;連斬撃;連斬撃
無双秘奥義(準備), 決め文字 誅 黒 Glass.wav
無双秘奥義(攻撃), 連斬撃;連斬撃;連斬撃
無双秘奥義(命中), 連斬撃;連斬撃;連斬撃;斬撃;なぎ払い;なぎ払い;「<B>それが、宿命か……</B>」
金剛堅固(攻撃), タックル
金剛堅固(命中), 超打

前田慶次(無双)
豪気皆朱槍, 月牙
特殊投げ(攻撃), 打突
特殊投げ(命中), 投げ飛ばし
連斬(攻撃), 打突
連斬(命中), 打撃;なぎ払い;煙 白 Bazooka.wav
旋風矛(準備), 月牙
旋風矛(攻撃), 連続なぎ払い
旋風矛(命中), 連続なぎ払い
桜竜巻(準備), 月牙
桜竜巻(攻撃), 竜巻
桜竜巻(命中), 桜吹雪 Explode.wav
無双奥義(準備), 決め文字 豪 黒
無双奥義(攻撃), 斬撃乱舞
無双奥義(命中), 斬撃乱舞
無双秘奥義(準備), 決め文字 虎 黒 Glass.wav
無双秘奥義(攻撃), 斬撃乱舞
