エターナルメロディ
エナジー・アロー, BeamShot.wav
ヒート・シャワー, Fire.wav
ライトニング・ジャべリン, Thunderbolt.wav
クリムゾン・ナパーム, 2;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;2;Bomb.wav;3;Explode.wav;1;Explode.wav;2;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
ヴァニシング・レイ, Charge(high).wav
ヴァニシング・レイ(命中), Explode(Nuclear).wav
ウォーター・レストレイション(解説), SHOWER.WAV
アース・シールド, BeamSaber.wav
フレイムアーム, Fire.wav
ウォーター・レストレイション(解説), $(パイロット)は水の精霊を召喚した。
ウィンド・ウイング(解説),  $(パイロット)は風の精霊を召喚した。
アース・シールド(解説), $(パイロット)は地の精霊を召喚した。
フレイムアーム(解説), $(パイロット)は火の精霊を召喚した。
エーテル・マキシマム(解説), $(パイロット)は同時に４元素の精霊を召喚した
鎮魂(解説), $(パイロット)は影の民の力を使った。
