
エターナルメロディ
########## 通常武装 ##########
ブロードソード, 剣
########## 物理魔法 ##########
エネジー・アロー, 小ビーム ホワイト
ヒート・シャワー(準備), -
ヒート・シャワー, 炎打ち下ろし
ヒート・シャワー(命中), 爆発
ライトニング・ジャべリン(準備), -
ライトニング・ジャべリン(攻撃), 落雷 Thunderbolt.wav
ライトニング・ジャべリン(命中), 大爆発
クリムゾン・ナパーム(準備), -
クリムゾン・ナパーム(攻撃), 隕石
クリムゾン・ナパーム(命中), 大爆発
ヴァニシング・レイ(準備), -
ヴァニシング・レイ(攻撃), 粒子集中 青 Charge(high).wav
ヴァニシング・レイ(命中), 超爆発
########## 回復魔法 ##########
ホーリー・ブレス, @ＳＰアニメ_信頼 相手ユニット 相手ユニット
########## 精霊魔法 ##########
ウォーター・レストレイション, 粒子集中 青 相手ユニットＩＤ SeaShore.wav
ウィンド・ウイング, 羽 相手ユニットＩＤ Sharara.wav ;運動性ＵＰ
アース・シールド, @戦闘アニメ_ビームシールド発動 オレンジ BeamSaber.wav アース・シールド;防御力ＵＰ
フレイムアーム, @ＳＰアニメ_熱血 相手ユニット 相手ユニット;攻撃力ＵＰ
エーテル・マキシマム, 粒子集中 白 相手ユニットＩＤ;3;@ＳＰアニメ_信頼 相手ユニット 相手ユニット
########## その他 ##########
連撃, 連打

アルザ＝ロウ
格闘, 爪撃

カイル＝イシュバーン
格闘, 打突
