
シャイニングフォース
ミドルソード, ソード
ロングソード, ソード
スチールソード, ソード
ソウルバスター, 呪剣
必殺の剣, 呪剣
菊一文字, 日本刀
光の剣, 神剣
カオスブレイカー, 神剣
ブロンズランス, ランス
パワーランス, ランス
スチールランス, ランス
クロムランス, ランス
オーガスレイヤー, ランス
ハルバード, ランス
スピア, 投擲武器 Weapon\EFFECT_Spear01.bmp
パワースピア, 投擲武器 Weapon\EFFECT_Spear01.bmp
エルフスレイヤー, 投擲武器 Weapon\EFFECT_Spear01.bmp
ハンドアックス, トマホーク
イナズマ, 両刃斧
ヤマツナミ, 両刃斧
ミドルアックス, 両刃斧
バトルアックス, 両刃斧
アバレダイコ, 両刃斧
グレートアックス, 巨大斧
木の矢(準備), 弓
木の矢(攻撃), 弓矢
木の矢(命中), 矢
鋼の矢(準備), 弓
鋼の矢(攻撃), 弓矢
鋼の矢(命中), 矢
デュエリスト(準備), クロスボウ
デュエリスト(攻撃), クロスボウ
デュエリスト(命中), 矢
ロビンの矢(準備), クロスボウ
ロビンの矢(攻撃), 拡散ビームライフル ホワイト Weapon\EFFECT_CrossBow01.bmp
ロビンの矢(命中), 拡散ビーム ホワイト
デストロイヤー(準備), クロスボウ
デストロイヤー(攻撃), クロスボウ
デストロイヤー(命中), 矢
アサルトシェル(準備), クロスボウ
アサルトシェル(攻撃), バズーカ Weapon\EFFECT_CrossBow01.bmp
アサルトシェル(命中), 連続爆発
バスターショット(準備), クロスボウ
バスターショット(攻撃), 対戦車ライフル Weapon\EFFECT_CrossBow01.bmp
バスターショット(命中), 発光
ロビンの矢・機械弓(準備), バズーカ
ロビンの矢・機械弓(攻撃), 拡散ビームライフル ホワイト Weapon\EFFECT_Bazooka01.bmp
ロビンの矢・機械弓(命中), 拡散ビーム ホワイト
アサルトシェル・機械弓(準備), バズーカ
アサルトシェル・機械弓(攻撃), バズーカ
アサルトシェル・機械弓(命中), 連続爆発
バスターショット・機械弓(準備), バズーカ
バスターショット・機械弓(攻撃), 対戦車ライフル Weapon\EFFECT_Bazooka01.bmp
バスターショット・機械弓(命中), 発光
木の杖, 棍棒
