
乙女の騎士ワルキューレ(冒険)
光の杖, 気弾
福音の杖, 光球
三光石, 連気弾
風切りの石(攻撃), 斬撃;気斬
風切りの石(命中), 斬撃
狩人の魂(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(Orange)01.bmp
狩人の魂(命中), 斬撃
くさびの魔石(準備), エナジーブレード ブラック
くさびの魔石(攻撃), 刺突
くさびの魔石(命中), 大刺突
爆弾, 爆弾
竜巻の術(冒険), 竜巻
星の術(攻撃), 隕石;隕石;隕石;隕石;隕石;ＭＡＰ爆発
星の術(命中), 隕石
炎の術(攻撃), 火炎放射;周囲回転 Fire\EFFECT_Fire(Red)01.bmp
炎の術(命中), 炎

乙女の騎士ワルキューレ(伝説)
光の剣, 光球
永遠の剣, 光球
３ＷＡＹ, 連気弾
ワイドビーム(攻撃), 斬撃;気斬
ワイドビーム(命中), 斬撃
誘導弾(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(Blue)01.bmp
誘導弾(命中), 斬撃
貫通弾, ドリルミサイル
爆弾, 爆弾
サイクロンの術(攻撃), 周囲回転 Bullet\EFFECT_Cannon01.bmp 3 対象ユニットＩＤ
サイクロンの術(命中), 炎
分身の術(準備), 召喚 VAL_ValkyrieU.bmp 16;召喚 VAL_ValkyrieU.bmp 16;召喚 VAL_ValkyrieU.bmp 16;召喚 VAL_ValkyrieU.bmp 16
分身の術(攻撃), 気弾;連気弾
分身の術(命中), 気弾;連気弾
ビッグの術(攻撃), 透明化;決め画像 VAL_ValkyrieU.bmp 96 対象ユニットＩＤ;透明化 解除;急降下;ＭＡＰ地震
ビッグの術(命中), ダメージ
竜巻の術(伝説)(攻撃), 瞬間変形 Anime\Common\EFFECT_Tornado01.bmp;スーパータックル乱舞 ブルー
竜巻の術(伝説)(命中), スーパータックル乱舞 ブルー

#ワルキュリアストライク(攻撃), 斬撃;なぎ払い;斬撃
#ワルキュリアストライク(命中), 斬撃;なぎ払い;斬撃
#飛翔突き(攻撃), 急降下
#飛翔突き(命中), 急降下
#分身の術(攻撃), 実弾発射 VAL_ValkyrieU.bmp
#分身の術(命中), 連斬撃
#ワルキュリアセイバー(準備), 発光;羽 対象ユニットＩＤ
#ワルキュリアセイバー(攻撃), 斬撃乱舞;振り上げ;振り下ろし
#ワルキュリアセイバー(命中), 斬撃乱舞;クリティカル斬撃
#女神降臨(攻撃), 竜巻;瞬間変形 VAL_SandraU.bmp Partner(1);スピンアタック ブルー Partner(1);瞬間変形 VAL_SabineU.bmp Partner(1);同時乱突;火炎弾 Partner(1)
#女神降臨(命中), 竜巻;瞬間変形 VAL_SandraU.bmp Partner(1);スピンアタック ブルー;瞬間変形 VAL_SabineU.bmp Partner(1);同時乱突;炎;@戦闘アニメ_スーパータックル攻撃 ブルー;スーパータックル ブルー

女神ワルキューレ(栄光)
剣, 斬撃
火の玉, 火炎弾
３ＷＡＹ, ビームマシンガン グリーン
連続斬撃, 斬撃乱舞
グラド, 地表衝撃波 グリーン
爆弾, 爆弾

女神ワルキューレ(栄光)(天馬)
剣, 斬撃
衝撃波, シュートカッター
２ＷＡＹ, 連気弾
３ＷＡＹ, ビームマシンガン

女神ワルキューレ(栄光２)
シールドアタック, タックル
アイスロッド, 氷弾
スライディング, タックル
剣, 斬撃
アロー, 弓矢
３ＷＡＹ, ビームマシンガン グリーン
竜巻, ＭＡＰ竜巻
回転斬り, 大斬撃
爆弾, 爆弾

女神ワルキューレ(栄光２)(後期型)
シールドアタック, タックル
アイスロッド, 氷弾
スライディング, タックル
剣, 斬撃
剣ショット, 斬撃;衝撃波
アロー, 弓矢
３ＷＡＹ, ビームマシンガン グリーン
竜巻, ＭＡＰ竜巻
回転斬り, 大斬撃;光弾
爆弾, 爆弾

神の子ワルキューレ(冒険オリジナル版)
星笛, ＭＡＰ音符
ショートソード, ナイフ
ロングソード, 剣
火の玉, 火の玉
スーパーソード, 神剣
イナヅマ, ＭＡＰフラッシュ

クリノ＝サンドラ
伝説の三叉槍(準備), トライデント
伝説の三叉槍(攻撃), 刺突
伝説の三叉槍(攻撃), 白兵回転
伝説の三叉槍(命中), 刺突
伝説の三叉槍(命中), なぎ払い
兜割り(準備), トライデント
兜割り(攻撃), 斬撃
兜割り(命中), 唐竹割り
キリモミアタック(準備), トライデント
キリモミアタック(攻撃), スピンジャンプアタック
キリモミアタック(命中), スピンジャンプアタック
ワイドビーム(攻撃), 斬撃;気斬
ワイドビーム(命中), 斬撃
誘導弾(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(Blue)01.bmp
誘導弾(命中), 斬撃
サイクロンの術(攻撃), 周囲回転 Bullet\EFFECT_Cannon01.bmp 3 対象ユニットＩＤ
サイクロンの術(命中), 炎
ビッグの術(攻撃), 透明化;決め画像 VAL_SandraU.bmp 96 対象ユニットＩＤ;透明化 解除;急降下;ＭＡＰ地震
ビッグの術(命中), ダメージ
