グランディア
ショックウエーブ, 地表衝撃波
セラミックソード, 剣
精霊の剣, 剣
竜陣剣, ＭＡＰオーラ 赤
Ｖスラッシュ(命中), 斬り上げ
Ｗブレイク(命中), 連斬撃
天空剣(準備), -
天空剣(攻撃), 振り上げ
天空剣(命中), 斬り上げ
紅蓮剣(準備), -
紅蓮剣(攻撃), 振り下ろし
紅蓮剣(命中), 炎斬撃
天地神明剣(攻撃), ＭＡＰオーラ 青
雷鳴剣(準備), -
雷鳴剣(攻撃), 振り下ろし
雷鳴剣(命中), 雷斬撃
眠たいあくび, 泡球
オモチャの弓, 弓矢
プーイ肉球キック(命中), 乱打
まん丸輪っか, 気弾
撃ちまくり, 弓矢連射
プーイファイヤー, 火炎弾
ハンターナイフ, ナイフ
ナイフ投げ, 投剣
皮の鞭, 鞭
痺れ鞭, 鞭
焔鞭, 回転大炎斬撃
雷帝の鞭, 光なぎ払い
終わる世界, 超火炎放射
名刀ヒムラ, 日本刀
飛竜斬, 振り上げ大斬撃
大噴火斬り(攻撃), 唐竹割り
大噴火斬り(命中), 火柱
カフー手裏剣, クナイ
忍者刀, 日本刀
誘導投げ, クナイ
分身斬り, 分身斬撃
ディスカッター, チャクラム
瞬殺剣, 横大斬撃
熱血投げ, 火炎弾
魔球(攻撃), 火炎弾
魔球(命中), 大爆発
新魔球(攻撃), 火炎弾
新魔球(命中), 超爆発
ミルダキック, 浴びせ蹴り
大陸割り, 地表衝撃波 橙
ミルダ乱舞, スーパーパンチ乱舞
モゲ爆弾(攻撃), ＭＡＰフラッシュ
モゲナイフ, ナイフ
モゲの弓, 弓矢
モゲショット, 投剣
キラキラロッド, 杖
マジカルアート, 龍 赤
赤い衝撃(攻撃), 打突
赤い衝撃(命中), 大爆発
ヒュースラッシュ, 気斬 残像
グランジオ, 岩柱
シャキード, 大氷柱
メテオストライク, 隕石
テンライ, 落雷
バトルサーベル, サーベル
ソニックブーム, 気斬
昇竜斬, 振り上げ大斬撃
アーミーサーベル, サーベル
ハリセン, ハリセン
パワーラリアット, タックル
ハリセンスマッシュ, ハリセン
マックスラリアット, タックル
ヨーヨー, ヨーヨー
電磁ヨーヨー(攻撃), ヨーヨー
電磁ヨーヨー(命中), 大放電
ヨーヨー回転(攻撃), ヨーヨー
ヨーヨー回転(命中), 乱打
風船, 泡
スーパー風船, 泡
スタンガン(攻撃), 打突
スタンガン(命中), 大放電
キルスタンガン(攻撃), 打突
キルスタンガン(命中), 大放電
ライガ, 大電撃
ズンデオ, 岩柱
ヒューネルン, 竜巻
ガイアストライク, 多触手
ガイアファング, 多触手
シーズスマッシュ, ＭＡＰニードル
ガイアテイル, 多触手
死の刻印, 中ビーム
毒ガス, 煙
ライトニング, 中ビーム 黄
ガイア触手, 多触手

