グランディア
ショックウエーブ, 1;Swing.wav 
ショックウエーブ(命中), 1;Slash.wav
Ｖスラッシュ(命中), Slash.wav;2;Slash.wav
竜陣剣, Explode(Nuclear).wav
Ｗブレイク(命中), Slash.wav;2;Slash.wav;5;Slash.wav;2;Slash.wav
天空剣, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
天空剣(命中), 1;Slash.wav;Slash.wav
紅蓮剣(命中), Splash.wav
氷河斬(命中), Crash.wav
天地神明剣, Explode(Nuclear).wav
雷鳴剣, Thunder.wav
雷鳴剣(命中), Saver.wav
眠たいあくび, Bubble.wav
プーイ肉球キック(命中), -.wav
まん丸輪っか(命中), Explode(Small).wav
プーイファイヤー, Fire.wav
プーイファイヤー(命中), Explode(Small).wav
終わる世界(命中), Explode(Far).wav
大噴火斬り(命中), Explode.wav
誘導投げ, Swing.wav
誘導投げ(命中), Stab.wav
ディスカッター, Swing.wav
ディスカッター(命中), Stab.wav
分身斬り(命中), Slash.wav;2;Slash.wav
熱血投げ, Fire.wav
熱血投げ(命中), Explode(Small).wav
魔球(命中), Explode.wav
新魔球(命中), Explode.wav
大陸割り(命中), Explode.wav
ミルダ乱舞(命中), Combo.wav
マジカルアート(命中), Fire.wav
ヒュースラッシュ(命中), Slash.wav;2;Slash.wav;3;Slash.wav
赤い衝撃(命中), Explode.wav
グランジオ(命中), Explode.wav
シャキード(命中), Crash.wav
テンライ, Thunder.wav
テンライ(命中), Explode.wav
ソニックブーム, 1;Swing.wav 
ソニックブーム(命中), 1;Slash.wav
デルタアタック(命中), Search.wav
ライガ, Thunder.wav
ライガ(命中), Explode.wav
ズンデオ(命中), Explode.wav
ヒューネルン(命中), Slash.wav;2;Slash.wav;3;Slash.wav
死の刻印(命中), Search.wav
