#### 特別科学捜査室

ロボット刑事
変形(ジョーカー), 音再生 Jet.wav
変形(降車), 音再生 Transform.wav;6;音再生 Walk(Robot).wav
阻止(ミサイル爆破光線), 発光 白 BeamCoat.wav 対象ユニットＩＤ
反射(マッハチョップ返し), @戦闘アニメ_振り下ろし攻撃 Whip.wav
高熱火炎放射, 火炎放射
格闘(攻撃), 格闘 Swing(2).wav
格闘(命中), 強打 FightHit(1).wav
Ｋロケット(準備), 音再生 Transform.wav
Ｋロケット(攻撃), 重機関砲
Ｋロケット(命中), 重機関砲
ロボット破壊銃(準備), 音再生 Transform.wav
ロボット破壊銃(攻撃), 内蔵チェーンガン オレンジ MultipleRocketLauncher.wav
ロボット破壊銃(命中), 内蔵チェーンガン オレンジ MultipleRocketLauncher.wav
ミサイル弾, 小型ミサイル 1
ドリルカット(準備), 音再生 Transform.wav
ドリルカット(攻撃), ドリル
ドリルカット(命中), ドリル
頭部破壊銃(準備), 音再生 Transform.wav
頭部破壊銃(攻撃), 内蔵チェーンガン オレンジ MultipleRocketLauncher.wav
頭部破壊銃(攻撃), 内蔵チェーンガン オレンジ MultipleRocketLauncher.wav
特殊ミサイル, 小型ミサイル 2
Ｋミサイル, ミサイル 2
一斉発射(準備), 音再生 Transform.wav
一斉発射(攻撃), 内蔵チェーンガン オレンジ MultipleRocketLauncher.wav;小型ミサイル 2;ミサイル 2
一斉発射(命中), 内蔵チェーンガン オレンジ MultipleRocketLauncher.wav;大爆発
体当たり(攻撃), 打撃突撃 Jet.wav
体当たり(命中), 強打 Crash.wav
爆弾投下, 投下爆弾
手投げ爆弾, 爆弾

特別科学捜査室
格闘, 格闘
投げ縄手錠, 実弾発射 Bitmap\Anime\Weapon\EFFECT_Cuffs01.bmp 16 Swing.wav - - - 有線
拳銃, リボルバー

汎用
当て身技(高圧電流放射装置), ダミー - 高圧電流放射装置
高圧電流放射装置, 放電

##### ＲＲＫＫバドー

バドー工作員
格闘, 格闘
拳銃, ピストル
ロボット破壊銃(準備), ショックビームガン
ロボット破壊銃(攻撃), ピストル Bitmap\Anime\Weapon\EFFECT_ShockBeamGun01.bmp 32 - - -
ロボット破壊銃(命中), 銃弾;小爆発
マシンガン, マシンガン

犯罪ロボット・ワッカマン
緊急テレポート, 上下分離回避 Transform.wav 分離回避

犯罪ロボット・テナガマン
格闘(攻撃), 実弾発射 Bitmap\Anime\Hand\EFFECT_Punch(Red)09.bmp 32 Transform.wav - - - 有線
格闘(命中), 強打 FightHit(1).wav

犯罪ロボット・テナガマン(走行形態)
格闘(攻撃), 実弾発射 Bitmap\Anime\Hand\EFFECT_Punch(Red)09.bmp 32 Transform.wav - - - 有線
格闘(命中), 強打 FightHit(1).wav

犯罪ロボット・ナナツマン
ジャンプ(障害物破壊), 音再生 Drill.wav;10;音再生 Crash.wav

犯罪ロボット・ドクガスマン
ジャンプ(ジェット噴射), 音再生 Jet.wav

犯罪ロボット・ガトリングマン
分身(全身ガトリング), 四方分離回避 Transform.wav 全身ガトリング

バドーロボット
変形, 音再生 Transform.wav
格闘(攻撃), 格闘 Swing(2).wav
格闘(命中), 強打 FightHit(1).wav
スパイク(攻撃), 格闘
スパイク(命中), 刺突 - FightHit(1).wav
火炎放射, 火炎放射
機関砲, 機関砲
超音波(攻撃), 音波 Drill(2).wav
超音波(命中), 音波 Drill(2).wav;爆発
磁力牽引, 特殊光線 ホワイト
殺人磁力線, 特殊光線 ホワイト
磁力ミサイル, 小型ミサイル 4
ハンドガン, 機関砲
機械不調波(攻撃), 発光 イエロー BeamCoat.wav 対象ユニットＩＤ
機械不調波(命中), 発光 イエロー BeamCoat.wav
アンカー(攻撃), 実弾発射 Bitmap\Anime\Weapon\EFFECT_Kunai01.bmp - Bow.wav - - - 有線
アンカー(命中), ダメージ ホワイト FightHit(1).wav
溶解液, 液体噴射 ホワイト
ハンドミサイル(攻撃), 小型ミサイル 3 Bow.wav
ハンドミサイル(命中), ダメージ イエロー FightHit(1).wav
高圧電流(攻撃), 格闘
高圧電流(命中), 放電
鎖分銅, 分銅
ハンマー(攻撃), 振り下ろし
ハンマー(命中), 強打 Crash.wav
踏み潰し(攻撃), 飛びかかり
踏み潰し(命中), 踏み潰し Crash.wav
アンカーハンド(攻撃), 実弾発射 Bitmap\Anime\Hand\EFFECT_Punch(Black)09.bmp 32 Transform.wav - - - 有線
アンカーハンド(命中), 強打 FightHit(1).wav
ミサイル, ミサイル 1
体当たり(攻撃), スーパーダイブ - - Jet.wav
体当たり(命中), スーパーダイブ - - FightHit(1).wav
放電ショック(攻撃), 格闘
放電ショック(命中), 放電
サンダーボム(攻撃), ショックビーム ホワイト Thunder(2).wav
サンダーボム(命中), ショックビーム ホワイト Thunderbolt.wav
突撃(攻撃), 音再生 Transform.wav;6;打撃突撃
突撃(命中), 刺突 - FightHit(1).wav
電気ショック(攻撃), 格闘
電気ショック(命中), 立ち固め FightHit(1).wav 1;6;放電
催涙ガス, 煙噴射
目潰し針(攻撃), ニードル;ニードル
目潰し針(命中), ニードル FightHit(1).wav;ニードル FightHit(1).wav
死の毒針(攻撃), 実弾発射 Bitmap\Anime\Weapon\EFFECT_ThrowingDagger01.bmp 32 Bow.wav - - - 有線
死の毒針(命中), 刺突 - Stab.wav
死の毒針(クリティカル), -
殺人ロッカー(攻撃), 格闘
殺人ロッカー(命中), 立ち固め FightHit(1).wav 1;6;透明化 相手ユニットＩＤ;煙 Hide.wav
殺人ロッカー(とどめ), 透明化
スプリングパンチ(攻撃), 打突
スプリングパンチ(命中), 強打 FightHit(1).wav
スプリングキック(攻撃), キック
スプリングキック(命中), 強打 FightHit(1).wav
毒ガス(攻撃), 煙噴射 青;煙噴射 赤
毒ガス(命中), 煙噴射 青;煙噴射 赤
噛みつき(攻撃), 音再生 Transform.wav
噛みつき(命中), 噛み付き Slash(2).wav
殺人光線(攻撃), 特殊光線 ホワイト Search.wav
殺人光線(命中), 特殊光線 ホワイト Search.wav;放電 Thunderbolt.wav
サーベル, エストック
煙幕, 煙噴射 イエロー
ノコギリ円盤(準備), 音再生 Transform.wav
ノコギリ円盤(攻撃), 回転発射 Bitmap\Anime\Bullet\EFFECT_BeamRingCutter(Blue)01.bmp 32 Drill.wav
ノコギリ円盤(命中), 回転斬撃 Slash(5).wav
回転ノコギリ(攻撃), 格闘 Drill.wav
回転ノコギリ(命中), 回転斬撃 Slash(5).wav
メガトン大砲(攻撃), 大キャノン砲 1 AntiAirMissile.wav;5;ＭＡＰ大爆発
メガトン大砲(命中), 爆発
溶解泡, 泡 ホワイト
ドリル頭突き, ドリル
冷凍粉(攻撃), 粒子噴射 ホワイト
冷凍粉(命中), 粒子噴射 ホワイト;ユニット変色 ホワイト
冷凍粉(クリティカル), -
魚雷ベルト(準備), チェーン
魚雷ベルト(攻撃), チェーン
魚雷ベルト(命中), ダメージ ホワイト Whip.wav
魚雷ミサイル, ミサイル 1
頭突き(攻撃), ヘッドバット
頭突き(命中), 強打 FightHit(1).wav
魚雷アタック(攻撃), スーパーダイブ - - Whiz.wav
魚雷アタック(命中), スーパーダイブ - - FightHit(1).wav
錨(準備), 錨
錨(攻撃), 錨 Swing.wav
錨(命中), 強打 Crash.wav
マッハチョップ(攻撃), 実弾発射 Bitmap\Anime\Hand\EFFECT_Punch(Blue)03.bmp 32 Jet.wav
マッハチョップ(命中), 強打 FightHit(1).wav
空手殺法(攻撃), 格闘 Swing(2).wav
空手殺法(攻撃), 打突 Swing(2).wav
空手殺法(攻撃), キック Swing(2).wav
空手殺法(攻撃), スピンキック Swing(2).wav
空手殺法(命中), 強打 FightHit(1).wav
鎖鉄輪(準備), 棘鉄球
鎖鉄輪(攻撃), 棘鉄球
鎖鉄輪(命中), 強打 Crash.wav
放電剣(準備), レイピア
放電剣(攻撃), 刺突
放電剣(命中), 刺突 FightHit(1).wav;放電
高圧電流鎖(準備), 棘鉄球
高圧電流鎖(攻撃), 棘鉄球
高圧電流鎖(命中), 強打 Crash.wav;放電
胸部ミサイル, ミサイル 2
大型ミサイル, スーパーミサイル
水中用煙幕, 煙噴射 ブラック
水中銃(準備), ビームライフル
水中銃(攻撃), クロスボウ Bitmap\Anime\Weapon\EFFECT_BeamRifle01.bmp 32 - Missile.wav
水中銃(命中), 矢刺 -.wav;爆発
爆雷投擲(準備), 焼夷手榴弾
爆雷投擲(攻撃), 焼夷手榴弾;ＭＡＰ大爆発
爆雷投擲(命中), 爆発
カッター(準備), カッター
カッター(攻撃), 斬撃 Swing(2).wav
カッター(命中), 斬撃 Slash(2).wav
カッター手裏剣(準備), カッター
カッター手裏剣(攻撃), クナイ Swing(2).wav
カッター手裏剣(命中), 刺突 - FightHit(1).wav;爆発
殺人カッター(準備), カッター
殺人カッター(攻撃), 実弾発射 Bitmap\Anime\Weapon\EFFECT_CutterKnife(T)01.bmp 40 Jet.wav
殺人カッター(命中), 横大斬撃 FightHit(1).wav
ガトリング砲, 内蔵ガトリング
轢き殺し(攻撃), 変形 unit\EFFECT_BeamRingCutter(White)01.bmp Transform.wav;回転 Drill.wav;打撃突撃 Drill.wav
轢き殺し(命中), 踏み潰し Crash.wav;変形
# unitフォルダにBitmap\Anime\BulletフォルダからEFFECT_BeamRingCutter(White)01.bmpをコピーして入れて下さい。
