
ウルトラマン
パンチレーザー, ニードルレーザー 青 BeamShot.wav
スター光線, 拡散ビーム 黄 Sharara.wav
ウルトラファイト(攻撃), 格闘
ウルトラファイト(命中), 煙 Bazooka.wav
ウルトラファイト(等身大), 格闘
フラッシュハンド(準備), 発光 白 BeamSaber.wav
フラッシュハンド(攻撃), 斬撃
フラッシュハンド(命中), 雷斬撃
ウルトラギロチン(攻撃), ＭＡＰ発光 白 Charge(high).wav
ウルトラギロチン(命中), 振り下ろし
タイマーショット, 特殊光線 青 LaserGun.wav
バーチカルギロチン(攻撃), シュートカッター 白 Charge(high).wav
バーチカルギロチン(命中), 振り下ろし
バーチカルギロチン(とどめ), 縦分割
サーキュラーギロチン(攻撃), 文字ビーム × 白 Charge(high).wav
サーキュラーギロチン(命中), ダブル斬撃
サーキュラーギロチン(とどめ), 決め文字 × 白
メタリウム光線(攻撃), なぎ払い;必殺光線 青 LaserGun.wav
メタリウム光線(命中), 必殺光線 青 LaserGun.wav
ギロチンショット(攻撃), 粒子集中 青 対象ユニットＩＤ;回転投擲武器 Common\EFFECT_Shine(Blue)03.bmp Charge(high).wav
ギロチンショット(命中), 超斬撃
スペースＱ(準備), 粒子集中 白;粒子集中 赤;粒子集中 青;粒子集中 緑;粒子集中 黄
スペースＱ(攻撃), 光球 Bazooka.wav
スペースＱ(命中), 超爆発 Explode(Nuclear).wav
阻止(ウルトラネオバリアー), バリア - ウルトラネオバリアー

怪獣
金縛り光線, 怪光線
爪, 爪撃
火炎, 火炎放射
ミサイル(ＭＡＰ), ＭＡＰミサイル
噛み付き, 噛み付き
噴煙, 煙噴射
突風, 旋風
小型ミサイル, 小型ミサイル 10
鼻ミサイル, ミサイル 2
パンチ, 打突
角ミサイル(攻撃), 実弾発射 Attack\EFFECT_StabRush02.bmp
角ミサイル(命中), 爆発
異常現象, ＭＡＰブラックホール
角(攻撃), タックル
角(命中), 打撃 Stab.wav
ガランガス, 煙噴射 黄
格闘, 格闘
怪光線, 怪光線
ハサミ(攻撃), 刺突
ハサミ(命中), 打撃 Slash.wav
蟻酸, 泡
ロケット弾, キャノン砲
突き, 刺突
メトロン光線, ２連小ビーム 赤
ヒレ, 格闘
吹き矢, 矢
撒きびし, ＭＡＰニードル
槍, 和槍
手裏剣, 手裏剣
糸(攻撃), 実弾発射 -.bmp 有線
糸(命中), 強打
閃光(攻撃), 発光 白 BeamCoat.wav 対象ユニットＩＤ
閃光(命中), 爆発
棘(攻撃), タックル
棘(命中), 刺突
棘発射, ニードル連射
舌, 舌
体当たり, タックル
ショック波(攻撃), 発光 白 BeamCoat.wav 対象ユニットＩＤ
ショック波(命中), 爆発
鉄球の鎖, 分銅
鎌＆鉄球(準備), 左右別武器 "Weapon\EFFECT_MorningStar01.bmp" 32 - "Weapon\EFFECT_Scicle01.bmp" 32 -
鎌＆鉄球(攻撃), モーニングスター
鎌＆鉄球(命中), モーニングスター;@戦闘アニメ_斬撃攻撃;斬撃
剣状ブーメラン, シュートカッター
十字架, 十字架
ウルトラブレスレット, 気斬 白
エメリウム光線, ニードルレーザー 緑 EvilEye.wav
スペシウム光線, 特殊光線 白 LaserGun.wav
Ｍ８７光線, 中ビーム 白 LaserGun.wav
メタリウム光線(攻撃), なぎ払い;必殺光線 青 LaserGun.wav
メタリウム光線(命中), 必殺光線 青 LaserGun.wav
尻尾(攻撃), なぎ払い
尻尾(命中), 強打
溶解泡, 泡
高熱火炎, 火炎放射
涎, 泡
光線, 小ビーム 白
発光(攻撃), 発光 白 BeamCoat.wav 対象ユニットＩＤ
発光(命中), 爆発
溶解液, 放水銃 -.bmp -
くちばし, 格闘
ミサイル, ミサイル
水流, 放水銃 -.bmp -
火炎放射, 火炎放射
カマ, 斬撃
無重力光波(攻撃), 特殊光線 白
無重力光波(命中), 投げ飛ばし
羽衣, 触手 白
サタン光線, 中ビーム 桃
破壊光線, 破壊光線
指光線, ニードルレーザー連射
タールカプセル(攻撃), @戦闘アニメ_光柱命中 Tone.wav
タールカプセル(命中), 重力圧縮
風地獄, 旋風
火炎地獄, 火炎放射
目玉ミサイル, ミサイル 2
地割れ光線(攻撃), ＭＡＰビーム 白;ＭＡＰ地震
地割れ光線(命中), 強打
黒煙, 煙噴射 黒
酸欠ガス, ＭＡＰ煙
ノコギリ尻尾(攻撃), なぎ払い Drill.wav
ノコギリ尻尾(命中), クリティカル斬撃 Drill.wav
溶解霧, 煙噴射
頭突き, ヘッドバット
ムチ, 鞭
ガスニードル光線, ニードルレーザー 黒
赤色液, 粒子噴射 赤
張り手, 打突
生体ロケット弾, キャノン砲
リングビーム(攻撃), 文字ビーム ○ 白
リングビーム(命中), 爆発
牙, 噛み付き
波状光線, 怪光線
ガス, 煙噴射
吹雪, 吹雪
炎の剣, 炎剣
三連光線(攻撃), 小ビーム 白;小ビーム 白;小ビーム 白
三連光線(命中), 小ビーム 白;小ビーム 白;小ビーム 白
突進, タックル
火炎剣, 炎剣
冷凍光線(攻撃), 中ビーム 白
冷凍光線(命中), 中ビーム 白
雷雲, ＭＡＰ落雷
毒ガス, 煙噴射 赤
催涙ガス, 煙噴射
地震, ＭＡＰ地震
シャボン玉, 泡
花瓶熱線, 電撃
触手, 触手
青色光線, 小ビーム 青
黄色光線, 小ビーム 黄
赤色光線, 小ビーム 赤
同時発射, 拡散ビーム
不協和音, 音符 Search.wav
ブレスレット光線, 小ビーム 白
刀, 日本刀
阻止(ヤプールバリアー), バリア - ヤプールバリアー

防衛チーム
機銃, バルカン
レーザー砲, 小ビーム 緑
対地ミサイル, ミサイル
ドリル, ドリル
格闘, 格闘
タックガン, リボルバー
タックガン×２(準備), リボルバー;リボルバー
タックガン×２(攻撃), リボルバー;リボルバー
タックガン×２(命中), リボルバー;リボルバー
ビッグレーザー５０, ビームランチャー 白 Weapon\EFFECT_AntiTankRifle01.bmp
携帯型爆弾, 手榴弾
シルバーシャーク, 破壊光線
ゴールデンホーク, 破壊光線
ウルトラリング, 変形 UMACE_UltramanAceU.bmp BeamCoat.wav
