
ＢＦＭ
雷光丸(準備), 振る武器 Laser\EFFECT_LightSaber(Blue)02.bmp
真雷光丸(準備), 振る武器 Laser\EFFECT_LightSaber(Yellow)02.bmp
レイガンド(準備), 振る武器 Weapon\EFFECT_GiantSword01.bmp 小
薪割りダイナマイト(準備), 左右別武器 Laser\EFFECT_LightSaber(Yellow)02.bmp - - Weapon\EFFECT_GiantSword01.bmp - -
薪割りダイナマイト(攻撃), 振り上げ;振り下ろし
薪割りダイナマイト(命中), 斬り上げ;唐竹割り
レイガンド回転斬り(準備), 振る武器 Weapon\EFFECT_GiantSword01.bmp 小
レイガンド回転斬り(攻撃), 回転斬撃
レイガンド回転斬り(命中), 横大斬撃
二天一流斬(準備), 左右別武器 Laser\EFFECT_LightSaber(Yellow)02.bmp - - Weapon\EFFECT_GiantSword01.bmp - -
二天一流斬(攻撃), 振り下ろし
二天一流斬(命中), 斬撃;大爆発
タンシオーネＸアタック(準備), 左右別武器 Laser\EFFECT_LightSaber(Yellow)02.bmp - - Weapon\EFFECT_GiantSword01.bmp - -
タンシオーネＸアタック(攻撃), 急降下 青
タンシオーネＸアタック(命中), 急降下 青;斬撃
デスペラードアタック(準備), 左右別武器 Laser\EFFECT_LightSaber(Yellow)02.bmp - - Weapon\EFFECT_GiantSword01.bmp - -
デスペラードアタック(攻撃), なぎ払い;振り下ろし
デスペラードアタック(命中), なぎ払い;唐竹割り;決め文字 十;スーパータックル;斬撃
五輪の書・地の巻(準備), 振る武器 Weapon\EFFECT_GiantSword01.bmp 小
五輪の書・地の巻(攻撃), 振り下ろし;ＭＡＰ地震 GunPod.wav
五輪の書・地の巻(命中), ダメージ
五輪の書・火の巻(準備), 振る武器 Weapon\EFFECT_GiantSword01.bmp 小
五輪の書・火の巻(攻撃), 火炎放射
五輪の書・火の巻(命中), 火炎放射
阻止(五輪の書・水の巻), 飛沫 青
阻止(五輪の書・風の巻), 強風 storm.wav
グランドウェーブ(準備), 日本刀
グランドウェーブ(攻撃), 振り下ろし;地表衝撃波
ものほしざお, 日本刀
ホーミングスワロー(準備), 日本刀
ホーミングスワロー(攻撃), 白兵武器;気斬
ホーミングスワロー(命中), ダメージ Saber.wav
ファイアバード(準備), 日本刀
ファイアバード(攻撃), なぎ払い;波動放射 レッド
ファイアバード(命中), 炎
ツバメ返し(準備), 日本刀
ツバメ返し(攻撃), 振り下ろし;振り上げ
ツバメ返し(命中), 唐竹割り;斬り上げ
火炎玉,	火炎弾
火炎放射(攻撃), 炎投射
火炎放射(命中), 周囲回転 Fire\EFFECT_Fire(Red)01.bmp - Breath.wav 相手ユニットＩＤ;炎
鉄球, 鎖鉄球
酸の弾(攻撃), 泡球
酸の弾(命中), 飛沫 白 Inori.wav
シッポ突き刺し, 刺突
シッポ振り回し(攻撃), 回転斬撃
シッポ振り回し(命中), 乱打
誘導弾, 炎投射
回る炎(攻撃), ＭＡＰ持続ビーム レッド AntiShipMissile.wav
回る炎(命中), 炎
地を這う炎(攻撃), 地表衝撃波 レッド Breath.wav 残像 遅
地を這う炎(命中), 炎
炎の剣(準備), 炎 対象ユニットＩＤ
炎の剣(攻撃), 白兵武器
炎の剣(命中), 炎斬撃;爆発
氷塊, 氷弾
ブリザードブレス(攻撃), 火炎放射 白 Breath.wav
ブリザードブレス(命中), 火炎放射 白 Breath.wav;凍結
毒霧, 煙噴射 緑
カマ, ダブル斬撃
幼虫飛びつき(攻撃), ４ＷＡＹ射出
幼虫飛びつき(命中), 噛み付き;噛み付き;噛み付き;噛み付き
酸の雨(攻撃), 泡球
酸の雨(命中), 飛沫 白 Inori.wav
パネル出し回転(攻撃), 強風 MultipleRocketLauncher.wav 対象ユニットＩＤ
パネル出し回転(命中), 乱打
混乱の波動, ＭＡＰオーラ
電撃回転(攻撃), 強風 MultipleRocketLauncher.wav 対象ユニットＩＤ
電撃回転(命中), 乱打;放電
ショックウェーブ, 地表衝撃波 オレンジ - 残像 遅
テイルアタック(攻撃), 回転斬撃
テイルアタック(命中), 乱打
ビンチョロンソード, エナジーブレード ホワイト
ドゥームズハリケーン,  ＭＡＰ竜巻
インフェルノスプラッシュ(攻撃), 魔法放射 青;泡球
インフェルノスプラッシュ(命中), 飛沫 青 Inori.wav
メテオストーム(攻撃), 魔法放射 赤;炎打ち上げ;炎打ち下ろし
メテオストーム(命中), 火柱
サイコイリュージョン, 分身斬撃
デモンシード(準備), エナジーブレード ホワイト
デモンシード(攻撃), 白兵武器;気斬;振り下ろし;振り上げ
デモンシード(命中), ダメージ Saber.wav;唐竹割り;斬り上げ

伝説の剣豪ムサシ(前期型)
二天一流斬(準備), 左右別武器 Laser\EFFECT_LightSaber(Blue)02.bmp - - Weapon\EFFECT_GiantSword01.bmp - -
薪割りダイナマイト(準備), 左右別武器 Laser\EFFECT_LightSaber(Blue)02.bmp - - Weapon\EFFECT_GiantSword01.bmp - -
