オーバビスマシン
内蔵レーザー砲, ニードルレーザー イエロー
体当たり, タックル
高速突撃, スーパータックル
フォーメーション・ビッグ４(準備), 同時スーパータックル
フォーメーション・ビッグ４(攻撃), 同時スーパータックル
フォーメーション・ビッグ４(命中), スーパータックル
レーザー, 小ビーム イエロー
重力場スティック(準備), Reload(2).wav
重力場スティック(攻撃), タックル
重力場スティック(命中), 打撃
反重力スティック(準備), Reload(2).wav
反重力スティック(攻撃), タックル
反重力スティック(命中), 打撃
アストロボール(準備), Reload(2).wav
アストロボール(攻撃), なぎ払い BeamShot.wav
アストロボール(命中), 打撃
ブレード(準備), Reload(4).wav
ブレード(攻撃), 斬撃突撃
ブレード(命中), 斬撃突撃
フィールドジェネレーター(準備), Reload(2).wav
フィールドジェネレーター(使用), Cannon.wav
フィールドジェネレーター(発動), エネルギーフィールド展開

ＧＡＳ
格闘, 格闘
ギガンティックブロウ(準備), Charge(High).wav
ギガンティックブロウ(攻撃), スーパーパンチ
ギガンティックブロウ(命中), スーパーパンチ Shock(Low).wav
ビームブラスター, ビームランチャー イエロー
Ｗギガンティックブロウ(準備), 3;Charge(High).wav;Charge(High).wav
Ｗギガンティックブロウ, スーパーパンチ
Ｗギガンティックブロウ(命中), スーパーパンチ Shock(Low).wav;スーパーパンチ Shock(Low).wav
阻止(発動), 迎撃 10;Rifle.wav;5;Rifle.wav;5;Rifle.wav;10;Rifle.wav

未確認飛行物体
突進, タックル
怪光線, 怪光線
重力球, 重力弾
捕獲, 触手
触手, 触手
