
御剣平四郎
膝鐘(攻撃), タックル
膝鐘(命中), 打突
旋掛, なぎ払い
二重綴, なぎ払い;なぎ払い
稲穂刈(攻撃), なぎ払い
稲穂刈(命中), アッパー;振り上げ
天囃子, 振り上げ
天神楽(攻撃), 振り上げ
天神楽(命中), 振り上げ;振り上げ
炎吠(攻撃), 振り下ろし
炎吠(命中), 唐竹割り Slash.wav
火縄断(攻撃), 斬撃
火縄断(命中), 大斬撃
差踏岩戸割(攻撃), タックル
差踏岩戸割(命中), 強打 Saber.wav
神楽重(攻撃), 振り上げ;振り上げ
神楽重(命中), 振り上げ;振り上げ;@戦闘アニメ_放電攻撃 Thunder.wav 対象ユニットＩＤ;振り上げ
八卦ノ鎬(攻撃), 刺突
八卦ノ鎬(命中), 刺突;斬撃;横大斬撃
咎リ宵月(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;なぎ払い
咎リ宵月(命中), なぎ払い;斬撃;日本刀突撃
茜ノ暮六(攻撃), 円月殺法 赤 縦
茜ノ暮六(命中), 唐竹割り Crash.wav

多喜(ソウルキャリバー)
式妖弾(命中), 発光 青 Explode(Small).wav
三連誅(攻撃), 振り上げ
三連誅(命中), 打突;打突;打突
十字組(攻撃), 斬撃
十字組(命中), 斬撃;なぎ払い;打突
笹火雷鳴, スーパーキック 緑
疾空滅殺(攻撃), キック
疾空滅殺(命中), キック;キック;強打
笹火落(攻撃), 急降下
笹火落(命中), スクリュードライバー
式妖弾・猛怒託妖(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ
式妖弾・猛怒託妖(命中), 発光 赤 Explode.wav
鉄砲駆, ナイフ突撃
風斬車(攻撃), アッパー
風斬車(命中), 振り上げ;なぎ払い Punch.wav;斬撃
式妖弾・宿鬼(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ
式妖弾・宿鬼(命中), 連続爆発;発光 赤 Explode.wav
封魔龍炎剣(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;振り上げ
封魔龍炎剣(命中), 振り上げ Crash.wav

雪華(ソウルキャリバー)
巫ノ雨障ミ(攻撃), 打撃突撃
巫ノ雨障ミ(命中), 強打
夏草ノ思ヒ絶ユ薙ギ, なぎ払い
無想・天ツ神名火, 振り上げ
活殺・黄泉ツ平坂(攻撃), 斬撃
活殺・黄泉ツ平坂(命中), 「一つ！」;斬撃;「一つ！ 二つ！」;斬撃
活殺・黄泉ツ平坂(クリティカル), 「一つ！ 二つ！ 三つ！ 終わりだ！」;斬撃
神舞・八十魂散シ(攻撃), 打突
神舞・八十魂散シ(命中), 打突 BreakOff.wav;斬撃乱舞
真眼・神葬リ, なぎ払い
活殺・海神ノ御調(攻撃), 斬撃
活殺・海神ノ御調(命中), 連斬撃;刺突
神伝・天叢雲(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;アッパー
神伝・天叢雲(命中), 振り上げ Crash.wav

柴香華
旋涼脚, キック
紅刹斬, なぎ払い
乃遊祇(攻撃), 中心回転武器 Anime/Weapon/EFFECT_ShortSword01.bmp
乃遊祇(命中), 斬撃
昇拍, 振り上げ
進彩楽(攻撃), 中心回転武器 Anime/Weapon/EFFECT_ShortSword01.bmp
進彩楽(命中), 斬撃;刺突
紅明剣(攻撃), タックル
紅明剣(命中), 強打 Saber.wav
遊歩紅明剣(攻撃), 白兵回転
遊歩紅明剣(命中), 強打 Saber.wav
涼浄暉潤剣(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;斬撃
涼浄暉潤剣(命中), 大斬撃 Crash.wav

キリク(ソウルキャリバー)
蛇顎棍(攻撃), 刺突
蛇顎棍(命中), 刺突 Punch.wav
凛手(攻撃), なぎ払い
凛手(命中), なぎ払い Punch.wav
業(攻撃), 斬撃
業(命中), 斬撃 Punch.wav
白沢穿(攻撃), 刺突
白沢穿(命中), 刺突 Punch.wav
流渓翼(攻撃), 斬撃
流渓翼(命中), 斬撃 Punch.wav;斬撃 Punch.wav;振り上げ Punch.wav
捻糸棍(攻撃), Swing.wav;刺突
捻糸棍(命中), 刺突 Punch.wav
風侯(攻撃), なぎ払い
風侯(命中), 連打
散颱羅漢霏(攻撃), 斬撃
散颱羅漢霏(命中), 刺突 Punch.wav;刺突 Punch.wav;強打
断罪, ロケットパンチ Anime/Weapon/EFFECT_Rod01.bmp
箒星(攻撃), Swing.wav;刺突
箒星(命中), 大刺突 Punch.wav
煌雷火(攻撃), @戦闘アニメ_ロッド準備 Swing.wav;なぎ払い
煌雷火(命中), なぎ払い Punch.wav;刺突 Punch.wav;キック;@戦闘アニメ_発光準備 赤 Charge.wav;_
              @戦闘アニメ_振り下ろし攻撃;唐竹割り Crash.wav

真喜志(ソウルキャリバー)
波走り(攻撃), なぎ払い
波走り(命中), なぎ払い Punch.wav
舞雲紡ぎ(攻撃), 振る武器突撃 Anime/Weapon/EFFECT_Nunchaku01.bmp
舞雲紡ぎ(命中), 連打
漢打ち(攻撃), ダブル斬撃
漢打ち(命中), 連打
繋ぎ風雲(攻撃), なぎ払い
繋ぎ風雲(命中), なぎ払い Punch.wav;連打
疾翔龍(攻撃), 斬撃
疾翔龍(命中), 斬撃 Punch.wav;振り上げ Punch.wav;キック
繋ぎ龍脈(攻撃), 放電 Thunder.wav 対象ユニットＩＤ;振り下ろし
繋ぎ龍脈(命中), 斬撃 Punch.wav;振り上げ Punch.wav
絡み雲龍唸り双哭(攻撃), なぎ払い
絡み雲龍唸り双哭(命中), なぎ払い Punch.wav;斬撃 Punch.wav;刺突 Punch.wav;強打
補星・天蓋死兆閉じ(攻撃), ヌンチャク
補星・天蓋死兆閉じ(命中), 乱打

ジークフリート＝シュタウフェン
トリプルヘッドバッド(攻撃), ヘッドバッド
トリプルヘッドバッド(命中), 連打
アサルトスラップ, なぎ払い
スカイスプリッター, 振り上げ
ブレイズウィンド(攻撃), 中心回転武器 Anime/Weapon/EFFECT_GiantSword01.bmp
ブレイズウィンド(命中), 回転斬撃
スラストスロー(攻撃), 刺突
スラストスロー(命中), 刺突;投げ飛ばし
テラーストンパー(攻撃), 放電 Thunder.wav 対象ユニットＩＤ;振り下ろし
テラーストンパー(命中), 唐竹割り
アースディバイド(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;振り下ろし
