

アリスＳＬＧ
吹っ飛ばし, Swing.wav
吹っ飛ばし(命中), Crash.wav
クリティカル(準備), Charge(high).wav
クリティカル, Swing.wav
クリティカル(命中), Glass.wav
阻止, Glass.wav
カウンターアタック(準備), BeamShot.wav
カウンターアタック, Beam.wav
カウンターアタック(命中), 2;Explode(Small).wav;Explode(Small).wav
アマゾネスの一撃, Swing.wav
アマゾネスの一撃(命中), Slash.wav
ラミールの一撃, Swing.wav
ラミールの一撃(命中), Slash.wav
レダの一撃(準備), Sword.wav
レダの一撃, Swing.wav
レダの一撃(命中), Slash.wav
アテナの一撃(準備), Sharara.wav
アテナの一撃, Swing.wav
アテナの一撃(命中), Slash.wav
ヴァルキリーの一撃(準備), Fire.wav
ヴァルキリーの一撃, MultipleRocketLauncher(Light).wav
ヴァルキリーの一撃(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
光の五芒(準備), Charge(high).wav
光の五芒, Beam.wav
光の五芒(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
炎の剣(準備), AntiShipMissile.wav
炎の剣, 3;Swing.wav;3;Swing.wav;Explode(Far).wav
炎の剣(命中), -
オモチャの兵隊(準備), SchoolBell.wav
オモチャの兵隊, MachineCannon.wav
オモチャの兵隊, MachineGun.wav
オモチャの兵隊(命中), -
水の精霊(準備), Interference.wav
水の精霊, 3;Splash.wav;Splash.wav
水の精霊(命中), -
ウィッチマジック, BeamShot.wav
ランダマジック(準備), BeamShot.wav
ランダマジック, Beam.wav
ミネルバマジック(準備), Glass.wav
ミネルバマジック, Beam.wav
ミネルバマジック(命中), Inori.wav
アルテミスマジック(準備), Wind.wav
アルテミスマジック, MicroMissile.wav
セイレーンマジック(準備), Charge(long).wav
セイレーンマジック, Jet.wav
カーリーの一撃, Swing.wav
カーリーの一撃(命中), Shock(Low).wav
エクシールの一撃, Beam.wav
エクシールの一撃(命中), Combo.wav
サラスの一撃, FastGun.wav
サラスの一撃(命中), Crash.wav
イシュタルの一撃(準備), Storm.wav
イシュタルの一撃, FastGun.wav
イシュタルの一撃(命中), Explode(Nuclear).wav
ヒーリング, Sharara.wav

