#####################################################################
# マイナーデータ掲示板に投稿されている戦闘用アイコンを指定しています。
# また、アセリア、ウルカに関しては個別ユニット名指定でのアニメの他に、
# 各スピリット共通武装等のアニメも別途使用していますので
# 抜き出してコピーする時は注意して下さい。

高嶺悠人
永遠神剣『求め』, 斬撃武器 Anime\EFFECT_ASELIA_TheDesire.bmp
ヘビーアタック(準備), 振る武器 Anime\EFFECT_ASELIA_TheDesire.bmp
ヘビーアタック(攻撃), 振り落ろし
ヘビーアタック(命中), 唐竹割り
フレンジー(準備), 振る武器 Anime\EFFECT_ASELIA_TheDesire.bmp
フレンジー(攻撃), 振り下ろし;振り上げ
フレンジー(命中), 振り下ろし;振り上げ
エクスプロード(準備), 振る武器 Anime\EFFECT_ASELIA_TheDesire.bmp
エクスプロード(攻撃), 斬撃
エクスプロード(命中), 大斬撃;大爆発
エクスプロード(命中), 炎斬撃;爆発
オーラフォトンブレード(準備), 振る武器 Anime\EFFECT_ASELIA_TheDesire.bmp 発光;オーラ上昇 白
オーラフォトンブレード(攻撃), 斬撃;斬撃;斬撃
オーラフォトンブレード(命中), 振り下ろし;振り上げ;唐竹割り;超爆発
オーラフォトンビーム(準備), 魔法陣 白 背面;オーラ上昇 白
オーラフォトンビーム, 大ビーム 白
オーラフォトンビーム(命中), 大ビーム 白;落雷

聖賢者ユウト
永遠神剣『聖賢』, 斬撃武器 Anime\EFFECT_ASELIA_SacredKeeper.bmp
ヘビーアタック(準備), 振る武器 Anime\EFFECT_ASELIA_SacredKeeper.bmp
ヘビーアタック(攻撃), 振り落ろし
ヘビーアタック(命中), 唐竹割り
フレンジー(準備), 振る武器 振る武器 Anime\EFFECT_ASELIA_SacredKeeper.bmp
フレンジー(攻撃), 振り下ろし;振り上げ
フレンジー(命中), 振り下ろし;振り上げ
エクスプロード(準備), 振る武器 振る武器 Anime\EFFECT_ASELIA_SacredKeeper.bmp
エクスプロード(攻撃), 斬撃
エクスプロード(命中), 大斬撃;大爆発
オーラフォトンブレード(準備), 振る武器 Anime\EFFECT_ASELIA_SacredKeeper.bmp 発光;オーラ上昇 白
オーラフォトンブレード(攻撃), 斬撃;斬撃;斬撃
オーラフォトンブレード(命中), 振り下ろし;振り上げ;唐竹割り;超爆発
オーラフォトンノヴァ(準備), 魔法陣 白 背面;オーラ上昇 白
オーラフォトンノヴァ(攻撃), 超ビーム 白
オーラフォトンノヴァ(命中), 超ビーム 白;大爆発 青
