ＨｉＭＥ
ミロク！(解説), $(パイロット)はミロクを地面に突き刺して攻撃をかけた。
カグツチ(解説), カグツチは体当たりで攻撃をかけた。
カグツチ(解説), カグツチは炎のショールで攻撃をかけた。
カグツチ(解説), カグツチは爪で攻撃をかけた。
黒いカグツチ(解説), カグツチは体当たりで攻撃をかけた。
黒いカグツチ(解説), カグツチは炎のショールで攻撃をかけた。
黒いカグツチ(解説), カグツチは爪で攻撃をかけた。
火炎弾(解説), カグツチは火炎弾で攻撃をかけた。
特大火炎弾(解説), カグツチは特大火炎弾で攻撃をかけた。
チャージ火炎弾(解説), カグツチはエレメンタルディスクを回転させ、火炎弾で攻撃をかけた。
突撃(解説), カグツチはエレメンタルディスクを回転させて突撃した。
突風(解説), カグツチは突風を起こして攻撃をかけた。
黄金の雷(カグツチ)(解説), カグツチは黄金の雷で攻撃をかけた。
デュラン(解説), デュランは跳びかかって攻撃をかけた。
デュランマックスハート(解説), デュランは跳びかかって攻撃をかけた。
フラッシュカートリッジ(解説), デュランはフラッシュカートリッジで攻撃をかけた。
クロームカートリッジ(解説), デュランはクロームカートリッジで攻撃をかけた。
シルバーカートリッジ(解説), デュランはシルバーカートリッジで攻撃をかけた。
ダイヤモンドカートリッジ(解説), デュランはダイヤモンドカートリッジで攻撃をかけた。
フラッシュマテリア(解説), デュランはフラッシュマテリアで攻撃をかけた。
クロームマテリア(解説), デュランはクロームマテリアで攻撃をかけた。
シルバーマテリア(解説), デュランはシルバーマテリアで攻撃をかけた。
ゴールドマテリア(解説), デュランはゴールドマテリアで攻撃をかけた。
クリムゾンマテリア(解説), デュランはクリムゾンマテリアで攻撃をかけた。
巳六(解説), 巳六は棍棒で攻撃をかけた。
清姫(解説), 清姫は噛み付いて攻撃をかけた。
ハリー(解説), ハリーは跳びかかって攻撃をかけた。
ミキサー(解説), ハリーはミキサーを回転させて攻撃をかけた。
愛情竜巻(解説), ハリーは愛情竜巻で攻撃をかけた。
フィールド発動(愛情防壁)(解説), ハリーは愛情防壁を発動させた。
攻撃無効化(愛情防壁)(解説), ハリーの愛情防壁が攻撃を防いだ。
ダイアナ(解説), ダイアナは触手で攻撃をかけた。
胞子のベール(解説), ダイアナは$(相手パイロット)を胞子のベールで覆った。
プロテクション発動(空間レンズ)(解説), ダイアナは空間レンズを発動させた。
反射(空間レンズ)(解説), ダイアナは空間レンズで$(相手武器)を弾き返した。
ダイアナ(魚)(解説), ダイアナは分身を転移させて攻撃をかけた。
高圧水流(解説), ダイアナは高圧水流で攻撃をかけた。
ミロワール(解説), ミロワールは分身を飛ばして攻撃をかけた。
反射レーザー(解説), ミロワールは光黙天のレーザーを反射して攻撃をかけた。
天誅ビーム(解説), 光黙天は天誅ビームで攻撃をかけた。
粛清フラッシャー(解説), 光黙天は粛清フラッシャーで攻撃をかけた。
スーパー粛清フラッシャー(解説), 光黙天はスーパー粛清フラッシャーで攻撃をかけた。
ツキヨミ(解説), ツキヨミは爪と牙で攻撃をかけた。
真空の刃(解説), ツキヨミは真空の刃で攻撃をかけた。
ヤタガラス(解説), ヤタガラスは飛びかかって攻撃をかけた。
熱線(解説), ヤタガラスは熱線で攻撃をかけた。
羽根手裏剣(解説), ヤタガラスは羽根手裏剣で攻撃をかけた。
催眠蛸(解説), 詩帆のチャイルドは分身を飛ばして攻撃をかけた。
触手(解説), 詩帆のチャイルドは触手で攻撃をかけた。
ジュリア(解説), ジュリアは突進して攻撃をかけた。
粘液(解説), ジュリアは粘液で攻撃をかけた。
蜘蛛の巣(解説), ジュリアは蜘蛛の巣を張って待ち構えていた。
粘糸(解説), ジュリアは粘糸で攻撃をかけた。
ゲンナイ(解説), ゲンナイは跳びかかって攻撃をかけた。
必殺！地獄釜(解説), ゲンナイは必殺！地獄釜で攻撃をかけた。
愕天王(解説), 愕天王はタテガミで攻撃をかけた。
愕天王(解説), 愕天王はツノで攻撃をかけた。
愕天大王(解説), 愕天大王は吶喊して攻撃をかけた。
スパイラルダッシャー(解説), 愕天王はスパイラルダッシャーで攻撃をかけた。
全力必中吶喊(解説), 愕天大王は全力必中吶喊で攻撃をかけた。
碧ダイナミック(解説), 愕天大王は碧ダイナミックで攻撃をかけた。
吶喊(解説), 愕天王は吶喊して攻撃をかけた。
聖ヴラス(解説), 聖ヴラスは胴体で挟み込むように攻撃をかけた。
ヴラス(解説), ヴラスは胴体で挟み込むように攻撃をかけた。
