
ワナ師の風来人シレン
一方通行(解説),         シレンは一方通行の罠を仕掛けた。
バネ(解説),             シレンはバネの罠を仕掛けた。
デロデロの湯(解説),     シレンはデロデロの湯の罠を仕掛けた。
ケロケロの雨(解説),     シレンはケロケロの雨の罠を仕掛けた。
眠りガス(解説),         シレンは眠りガスの罠を仕掛けた。
回転板(解説),           シレンは回転板の罠を仕掛けた。
落し穴(解説),           シレンは落し穴の罠を仕掛けた。
イガイガボトボト(解説), シレンはイガイガボトボトの罠を仕掛けた。
落石(解説),             シレンは落石の罠を仕掛けた。
地雷(解説),             シレンは地雷の罠を仕掛けて、爆発させた。

キツネのおコン
変化ゲイズ(解説),           おコンはゲイズに変身した！
変化ガラ魔道士(解説),       おコンはガラ魔道士に変身した！
変化ノロージョ(解説),       おコンはノロージョに変身した！
変化スコッピー(解説),       おコンはスコッピーに変身した！
変化草子どり(解説),         おコンは草子どりに変身した！
変化すいだすゾウ(解説),     おコンはすいだすゾウに変身した！
変化うたたねバク(解説),     おコンはうたたねバクに変身した！
変化コガタナバチ(解説),     おコンはコガタナバチに変身した！
変化もざらし(解説),         おコンはもざらしに変身した！
変化フラッシュバード(解説), おコンはフラッシュバードに変身した！

謎の生き物ンフー
ジャンガリガン(解説), ンフーは$(武器)の特技を使った！
コクワガッター(解説), ンフーは$(武器)の特技を使った！
イカキング(解説),     ンフーは$(武器)の特技を使った！
ヒャクメ魔人(解説),   ンフーは$(武器)の特技を使った！
パオパ王(解説),       ンフーは$(武器)の特技を使った！
死の使い(解説),       ンフーは$(武器)の特技を使った！
ミノタウロス(解説),   ンフーは$(武器)の特技を使った！
スカイドラゴン(解説), ンフーは$(武器)の特技を使った！
デブーチョ(解説),     ンフーは$(武器)の特技を使った！
爆弾ウニ(解説),       ンフーは$(武器)の特技を使った！


風来のシレン
運命のサイコロ・オカメの目(解説), あたり一面にいかずちが振り注ぐ！
運命のサイコロ・炎の目(解説),     $(パイロット)の周囲に火柱が発生した！
運命のサイコロ・鬼の目(解説),     呼び出された手や魔物が、つぎつぎに襲いかかる！
運命のサイコロ・ヒョットコ(解説), 呼び出された手や魔物が、つぎつぎに襲いかかる！
###
かなしばりの杖(解説), $(パイロット)は、$(武器)を振った。
吹き飛ばしの杖(解説), $(パイロット)は、$(武器)を振った。
引きよせの杖(解説),   $(パイロット)は、$(武器)を振った。
魔道の杖(解説),       $(パイロット)は、$(武器)を振った。
鈍足の杖(解説),       $(パイロット)は、$(武器)を振った。
封印の杖(解説),       $(パイロット)は、$(武器)を振った。
空振りの杖(解説),     $(パイロット)は、$(武器)を振った。
一時しのぎの杖(解説), $(パイロット)は、$(武器)を振った。
クオーターの杖(解説), $(パイロット)は、$(武器)を振った。
いかずちの杖(解説),   $(パイロット)は、$(武器)を振った。
火柱の杖(解説),       $(パイロット)は、$(武器)を振った。
雷光の杖(解説),       $(パイロット)は、$(武器)を振った。
回復の杖(解説),       $(パイロット)は、回復の杖を振った。
加速の杖(解説),       $(パイロット)は、加速の杖を振った。
イカリの杖(解説),     $(パイロット)は、イカリの杖を振った。
オオイカリの杖(解説), $(パイロット)は、オオイカリの杖を振った。
###
混乱の巻物(解説),     $(パイロット)は、$(武器)を読んだ。
バクスイの巻物(解説), $(パイロット)は、$(武器)を読んだ。
分身の巻物(解説),     $(パイロット)は、$(武器)を読んだ。
ゾワゾワの巻物(解説), $(パイロット)は、$(武器)を読んだ。
はりつけの巻物(解説), $(パイロット)は、$(武器)を読んだ。
飛ばずの巻物(解説),   $(パイロット)は、$(武器)を読んだ。
集合の巻物(解説),     $(パイロット)は、$(武器)を読んだ。
ねだやしの巻物(解説), $(パイロット)は、$(武器)を投げつけた。
いかずちの巻物(解説), $(パイロット)は、$(武器)を読んだ。
落石の巻物(解説),     $(パイロット)は、$(武器)を読んだ。
真空切りの巻物(解説), $(パイロット)は、$(武器)を読んだ。
炎上の巻物(解説),     $(パイロット)は、$(武器)を読んだ。
自爆の巻物(解説),     $(パイロット)は、$(武器)を読んだ。
他人回復の巻物(解説), $(パイロット)は、他人回復の巻物を読んだ。
ファイトの巻物(解説), $(パイロット)は、ファイトの巻物を読んだ。
予防の巻物(解説),     $(パイロット)は、予防の巻物を読んだ。


汎用
かつおぶしをかじる(解説), $(パイロット)は、かつおぶしをかじった。

