マリオ(ドンキーコング)
持ち上げ投げ, 投げ飛ばし
タル投げ(マリオ)(攻撃), 投擲武器 DGoods\EFFECT_Bowie01.bmp
タル投げ(マリオ)(命中), ダメージ 
タル投げ(マリオ)(解説), $(ユニット)は弾いたタルを投げつけた。

マリオ(ハンマー)
ハンマー, 大金槌

ドンキーコング
ジャッキ投げ(攻撃), 振り下ろし
ジャッキ投げ(命中), ダメージ
タル投げ(攻撃), 投擲武器 DGoods\EFFECT_Bowie01.bmp
タル投げ(命中), ダメージ 
ジャイアントスイング(攻撃), 格闘
ジャイアントスイング(命中), ジャイアントスイング;投げ飛ばし
地震(準備), Jump.wav;2;地面衝撃 対象ＩＤ
地震(攻撃), ＭＡＰ落盤
地震(命中), -
#ステージによって崩落する物を変えてもいいです
毒キノコタル投げ(攻撃), 投擲武器 DGoods\EFFECT_Bowie01.bmp
毒キノコタル投げ(命中), ダメージ
地震(巨大)(準備), 地面衝撃 対象ＩＤ
地震(巨大)(攻撃), ＭＡＰ落盤
地震(巨大)(命中), -
アームハンマー(準備), -
アームハンマー(攻撃), ロケットパンチ 黄
アームハンマー(命中), 地面衝撃
アームプレス(攻撃), 両手ロケットパンチ 黄
アームプレス(命中), 地面衝撃
毒キノコ投げ(攻撃), 振り下ろし
毒キノコ投げ(命中), ダメージ
体当たり, 格闘
噛み付き, 噛み付き
タマゴ, 光弾 白 -.wav
