
皇騎士ガンダム
ヴァトラスの剣, ソード
ヴァトラスエネルギー, ソード
ヴァトラスアタック, ソード突撃
ヴァトラスアタック(命中), 大斬撃
クラウンジャベリン, 槍
聖剣キングキャリバー, ビームサーベル ホワイト
キングフィニッシュ, ビームサーベル突撃 ホワイト
キングフィニッシュ(命中), 大斬撃

騎士ガンダム物語
########## 円卓の騎士 ##########
サイドワインダー, サーベル
スパット斬り(準備), サーベル突撃
ヴァトラスソード, ソード
烈火流星斬(準備), ソード
烈火流星斬(攻撃), 斬撃
烈火流星斬(命中), 大斬撃
プラチナソード, 剣
ライトニング(白金卿)(準備), 剣
ライトニング(白金卿), 破壊光線 Thunder.wav
ライトニング(白金卿), 破壊光線
スプラッシュゴールド(準備), 剣
スプラッシュゴールド, 斬撃;刺突
ウインドスラッシャー, トライデント
トルネードストリーム(準備), トライデント
トルネードストリーム(攻撃), 連突;旋風
トルネードストリーム(命中), 旋風
ローズソーン(準備), レイピア
ローズソーン, 刺突
スカーレットスワロー, ソード
連続攻撃(準備), 左右別武器 Weapon\EFFECT_Sword02.bmp - - Weapon\EFFECT_Rapier01.bmp - -
連続攻撃, 斬撃;刺突
ダンシングローズ(準備), 左右別武器 Weapon\EFFECT_Sword02.bmp - - Weapon\EFFECT_Rapier01.bmp - -
ダンシングローズ, 斬撃;刺突;斬撃;刺突;斬撃;刺突
アックスブレード(準備), 巨大剣
アックスブレード(攻撃), 斬撃
アックスブレード(命中), 大斬撃 Bazooka.wav
アース(準備), 巨大剣
アース(攻撃), 斬撃;振動
アース(命中), ダメージ
プレッシャーバースト(準備), 巨大剣
プレッシャーバースト(攻撃), 斬撃 AntiShipMissile.wav
プレッシャーバースト(命中), 超斬撃
マックスヒール, @ＳＰアニメ_信頼 相手ユニット 相手ユニット
クロスファイアー, 剣
バーニングソード, ソード
灼熱烈炎剣(準備), 炎剣
バーニングノヴァ(準備), 炎剣
バーニングノヴァ(攻撃), 斬撃;火炎弾 赤 Fire.wav
バーニングノヴァ(命中), 大爆発
サポートソード, 剣
新烈火流星斬(準備), 剣
新烈火流星斬(攻撃), 斬撃
新烈火流星斬(命中), 大斬撃
デストロイドアックス, ハルバード
爆走猛牛殺, スーパータックル ブラック
爆走猛牛殺(命中), 打撃 Crash.wav
破光の剣, 黒剣
チェーンアックス, バイキングアクス
########## 仲間 ##########
########## ザビロニア ##########
岩石ラリアート, タックル
十字剣, 手裏剣
十字剣(命中), 爆発
突撃, 振る武器突撃 -.bmp
突撃(命中), 打撃
三又の槍, トライデント
クチバシ, 刺突
ハリ, 振る武器突撃 -.bmp
ハリ(命中), 刺突
精神攻撃, 光投射 黒
ヘッドアタック, 斬撃;実弾発射 Weapon\EFFECT_IronBall01.bmp Whiz.wav
ヘッドアタック(命中), ダメージ
########## 魔法 ##########
コンフューズ, 光投射 ピンク
スリープ, 光投射 ブルー
メガマインド, 光投射 ブラック
デス, 光投射 ブラック
ライトニング(攻撃), 破壊光線 Thunder.wav
ライトニング(命中), 破壊光線
フレア, 粒子集中 赤
フレア(命中), 火
メガフレア, 粒子集中 赤
メガフレア(命中), 火 Breath.wav
フリーズ, 粒子集中 青
フリーズ(命中), 凍結
メガショック, 気斬
ブラスト, 粒子集中 黒
ブラスト(命中), 連続爆発
メガブラスト, 粒子集中 黒
メガブラスト(命中), 連続大爆発



騎士ディジェ
ダブルソード(準備), 振る武器 Weapon\EFFECT_TwinSword01.bmp 64
ダブルソード, 斬撃;斬撃
連続攻撃(準備), ツインソード
連続攻撃, 回転斬撃

剣士クリス
２回攻撃(準備), 剣
２回攻撃, 連斬撃

魔剣士ザクロード
暗黒天地, ＭＡＰダークネス Storm.wav
暗黒天地(命中), 煙 黒 Inori.wav
大剣, 巨大剣

モンスター・ザクトパス
触手, 触手 白
締め付け, 触手 白

獣騎士ベルガ・ダラス
槍, ランス
破壊光線(準備), ランス
破壊光線(攻撃), 破壊光線 Beam.wav
槍(幻夢), ランス
#幻夢, 実弾発射 SDG_SlugAzieruU.bmp
幻夢, 噛み付き
幻夢界, 隕石
幻夢界, ＭＡＰ炎
幻夢界, ＭＡＰ津波 Splash.wav
超新星大爆発(命中), 大放電 白 Charge.wav
超新星大爆発(とどめ), @戦闘アニメ_超爆発命中

衛騎士ザビ・ギロス
凍てつく風, 吹雪
大剣, 巨大剣
必殺の一撃, 巨大剣
必殺の一撃(命中), 大斬撃
魔法樹海, 多触手 黄

邪獣エレメンタルラフレシア
触手, 触手 緑

邪獣王ギガ・サラマンダー
暗黒の渦, 旋風 黒
邪獣幽牙弾, 重力弾 Storm.wav
邪獣幽牙弾(命中), 噛み付き;重力圧縮 Storm.wav
ギガブラスト, 粒子集中 黒 Charge(high).wav 対象ユニットＩＤ;5;ＭＡＰダークネス Explode.wav
ギガブラスト(命中), 大爆発

邪騎士ゲルベグ
剣, 剣
連続攻撃, 剣

モンスターギガンローパー
触手, 触手 青

モンスターバウゴイル
急降下攻撃, タックル Jet.wav
急降下攻撃(命中), 刺突

恐闘士サザビー
バトルアックス, 銀の斧
連続攻撃(準備), 左右別武器 Weapon\EFFECT_SilverAx01.bmp - - Weapon\EFFECT_Sword02.bmp - -
連続攻撃, 連斬撃
相打ち, 振る武器突撃 -.bmp

魔騎士ヤクトドーガ
必殺の一撃, 剣
必殺の一撃(命中), 大斬撃

騎士ゲルググＪ
サーベル, サーベル
連続攻撃, サーベル


汎用
スロウ, 光投射 黒
スロウ(クリティカル), 2;時間逆行

