ＫＩＴＥ
S-02R, ピストル
S-02S, ピストル
S-02R_EXP(準備), ピストル
S-02R_EXP(攻撃), ピストル
S-02R_EXP(命中), 銃弾;4;小爆発
S-02R&S(準備), ピストル
S-02R&S(攻撃), ピストル;ピストル;ピストル
S-02R&S(命中), 銃弾;銃弾;銃弾
S-02R&S二艇(準備), ピストル;ピストル
S-02R&S二艇(攻撃), ピストル;ピストル;ピストル;ピストル;ピストル;ピストル
S-02R&S二艇(命中), 銃弾;銃弾;銃弾;銃弾;銃弾;銃弾
S-02R&S_EXP(準備), ピストル;ピストル
S-02R&S_EXP(攻撃), ピストル;ピストル;ピストル;ピストル
S-02R&S_EXP(命中), 銃弾;銃弾;銃弾;銃弾;4;小爆発;小爆発;小爆発;小爆発
S-02R&S_EXP(命中), 銃弾;銃弾;銃弾;銃弾;4;連続爆発;小爆発
格闘, 格闘
小型爆弾(準備), 閃光手榴弾
小型爆弾(攻撃), 白兵武器;ＭＡＰ実弾発射 Weapon\EFFECT_WilliePeter01.bmp 16 Swing.wav;ＭＡＰ大爆発

汎用
S-02E, ピストル
